"name","mz","rt","Candidate.number","Compound.name","CAS.ID","HMDB.ID","KEGG.ID","Lab.ID","Adduct","mz.error","mz.match.score","RT.error","RT.match.score","CE","SS","Total.score","Database"
"pHILIC_223.1438_4.1",223.1438,246,1,"Mexacarbate","NA","NA","NA","Mexacarbate","(M+H)+","1.25","0.9987508","NA","NA","NA","0","0.9987508","list1_ms1_database"
"pHILIC_310.1756_5.8",310.1756,348,1,"Isopropalin","NA","NA","NA","Isopropalin","(M+H)+","1.5","0.9982016","NA","NA","NA","0","0.9982016","list2_ms1_database"
"pHILIC_224.1278_6.2",224.1278,372,1,"Prometryne","NA","NA","NA","Prometryne","(M+H-H2O)+","12.25","0.8868761","NA","NA","NA","0","0.8868761","list1_ms1_database"
"pHILIC_203.0813_7.2",203.0813,432,1,"Fluoranthene","NA","NA","NA","Fluoranthene","(M+H)+","10","0.9231163","NA","NA","NA","0","0.9231163","list2_ms1_database"
"pHILIC_163.0534_7.5",163.0534,450,1,"Methomyl","NA","NA","NA","Methomyl","(M+H)+","0.25","0.99995","NA","NA","NA","0","0.99995","list1_ms1_database"
"pHILIC_171.0763_7.5",171.0763,450,1,"ortho-Phenylphenol","NA","NA","NA","ortho-Phenylphenol","(M+H)+","10","0.9231163","NA","NA","NA","0","0.9231163","list1_ms1_database"
"pHILIC_174.1237_7.5",174.1237,450,1,"N,N-Diethy-meta-toluamide (DEET)","NA","NA","NA","N,N-Diethy-meta-toluamide (DEET)","(M+H-H2O)+","10","0.9231163","NA","NA","NA","0","0.9231163","list1_ms1_database"
"pHILIC_245.1492_7.5",245.1492,450,1,"Homosalate (HMS)","NA","NA","NA","Homosalate (HMS)","(M+H-H2O)+","11.25","0.9037071","NA","NA","NA","0","0.9037071","list1_ms1_database"
"pHILIC_263.0732_7.6",263.0732,456,1,"Potassium sorbate","NA","NA","NA","Potassium sorbate","(2M+K)+","15","0.8352702","NA","NA","NA","0","0.8352702","list1_ms1_database"
"pHILIC_152.0705_7.6",152.0705,456,1,"Tetrahydrophthalimide","NA","NA","NA","Tetrahydrophthalimide","(M+H)+","0.25","0.99995","NA","NA","NA","0","0.99995","list2_ms1_database"
