"name","mz","rt"
"pHILIC_142.1225_1.3",142.1225,78
"pHILIC_199.0825_1.5",199.0825,90
"pHILIC_154.1225_1.6",154.1225,96
"pHILIC_302.3046_1.8",302.3046,108
"pHILIC_790.5707_2",790.5707,120
"pHILIC_257.1127_2",257.1127,120
"pHILIC_114.0661_2.5",114.0661,150
"pHILIC_776.5554_3",776.5554,180
"pHILIC_137.0457_3.1",137.0457,186
"pHILIC_750.5399_3.1",750.5399,186
"pHILIC_764.5206_3.4",764.5206,204
"pHILIC_768.5558_3.5",768.5558,210
"pHILIC_740.5213_3.6",740.5213,216
"pHILIC_738.5049_3.9",738.5049,234
"pHILIC_716.5208_3.9",716.5208,234
"pHILIC_223.1438_4.1",223.1438,246
"pHILIC_764.5217_4.2",764.5217,252
"pHILIC_722.5093_4.2",722.5093,252
"pHILIC_752.5554_4.3",752.5554,258
"pHILIC_776.5553_4.3",776.5553,258
"pHILIC_750.5404_4.4",750.5404,264
"pHILIC_724.5254_4.4",724.5254,264
"pHILIC_738.5403_4.4",738.5403,264
"pHILIC_740.522_4.4",740.522,264
"pHILIC_768.5548_4.4",768.5548,264
"pHILIC_728.5563_4.5",728.5563,270
"pHILIC_792.5536_4.5",792.5536,270
"pHILIC_298.1139_4.7",298.1139,282
"pHILIC_834.5972_4.7",834.5972,282
"pHILIC_764.557_4.7",764.557,282
"pHILIC_806.567_4.8",806.567,288
"pHILIC_810.597_4.8",810.597,288
"pHILIC_585.2694_4.9",585.2694,294
"pHILIC_219.0795_5",219.0795,300
"pHILIC_816.5884_5",816.5884,300
"pHILIC_850.6644_5",850.6644,300
"pHILIC_764.5577_5",764.5577,300
"pHILIC_834.5975_5",834.5975,300
"pHILIC_892.6501_5",892.6501,300
"pHILIC_810.5973_5",810.5973,300
"pHILIC_806.5663_5",806.5663,300
"pHILIC_782.5665_5.1",782.5665,306
"pHILIC_778.5358_5.1",778.5358,306
"pHILIC_742.5724_5.1",742.5724,306
"pHILIC_754.5367_5.1",754.5367,306
"pHILIC_768.5508_5.1",768.5508,306
"pHILIC_786.5972_5.1",786.5972,306
"pHILIC_772.5828_5.1",772.5828,306
"pHILIC_758.5668_5.1",758.5668,306
"pHILIC_746.5694_5.1",746.5694,306
"pHILIC_732.5525_5.1",732.5525,306
"pHILIC_247.1437_5.3",247.1437,318
"pHILIC_583.2539_5.3",583.2539,318
"pHILIC_428.3736_5.5",428.3736,330
"pHILIC_400.3413_5.6",400.3413,336
"pHILIC_813.6806_5.6",813.6806,336
"pHILIC_785.6497_5.6",785.6497,336
"pHILIC_372.31_5.6",372.31,336
"pHILIC_731.6033_5.7",731.6033,342
"pHILIC_703.5724_5.7",703.5724,342
"pHILIC_288.2161_5.8",288.2161,348
"pHILIC_310.1756_5.8",310.1756,348
"pHILIC_542.3221_6",542.3221,360
"pHILIC_360.2736_6.1",360.2736,366
"pHILIC_166.0861_6.2",166.0861,372
"pHILIC_158.1174_6.2",158.1174,372
"pHILIC_224.1278_6.2",224.1278,372
"pHILIC_221.0917_6.6",221.0917,396
"pHILIC_104.1069_6.6",104.1069,396
"pHILIC_130.0863_6.6",130.0863,396
"pHILIC_144.1018_6.7",144.1018,402
"pHILIC_282.119_6.7",282.119,402
"pHILIC_205.0969_6.7",205.0969,402
"pHILIC_200.128_6.8",200.128,408
"pHILIC_150.0581_7",150.0581,420
"pHILIC_216.1227_7",216.1227,420
"pHILIC_118.0861_7",118.0861,420
"pHILIC_203.0813_7.2",203.0813,432
"pHILIC_229.1543_7.2",229.1543,432
"pHILIC_237.0865_7.3",237.0865,438
"pHILIC_218.1384_7.3",218.1384,438
"pHILIC_294.1541_7.3",294.1541,438
"pHILIC_179.0484_7.4",179.0484,444
"pHILIC_180.0865_7.4",180.0865,444
"pHILIC_212.1026_7.4",212.1026,444
"pHILIC_160.0967_7.5",160.0967,450
"pHILIC_163.0534_7.5",163.0534,450
"pHILIC_221.0918_7.5",221.0918,450
"pHILIC_146.0811_7.5",146.0811,450
"pHILIC_171.0763_7.5",171.0763,450
"pHILIC_174.1237_7.5",174.1237,450
"pHILIC_234.0766_7.5",234.0766,450
"pHILIC_245.1492_7.5",245.1492,450
"pHILIC_299.1383_7.5",299.1383,450
"pHILIC_178.0532_7.5",178.0532,450
"pHILIC_175.1076_7.6",175.1076,456
"pHILIC_130.0862_7.6",130.0862,456
"pHILIC_263.0732_7.6",263.0732,456
"pHILIC_152.0705_7.6",152.0705,456
"pHILIC_139.0501_7.6",139.0501,456
"pHILIC_173.092_7.6",173.092,456
"pHILIC_182.081_7.7",182.081,462
"pHILIC_186.1123_7.8",186.1123,468
"pHILIC_188.128_8",188.128,480
"pHILIC_280.1384_8",280.1384,480
"pHILIC_173.092_8.1",173.092,486
"pHILIC_161.1283_8.1",161.1283,486
"pHILIC_104.0705_8.1",104.0705,486
"pHILIC_269.1239_8.3",269.1239,498
"pHILIC_157.0607_8.3",157.0607,498
"pHILIC_189.1233_8.4",189.1233,504
"pHILIC_143.0815_8.5",143.0815,510
"pHILIC_170.0923_8.5",170.0923,510
"pHILIC_175.1076_8.9",175.1076,534
"pHILIC_203.1388_8.9",203.1388,534
"pHILIC_132.0766_9",132.0766,540
"pHILIC_147.0763_9.7",147.0763,582
"pHILIC_229.1544_10.4",229.1544,624
"pHILIC_249.1078_10.4",249.1078,624
"pHILIC_189.0869_10.4",189.0869,624
"pHILIC_229.1181_10.5",229.1181,630
"pHILIC_290.1593_10.7",290.1593,642
"pHILIC_263.0868_10.8",263.0868,648
"pHILIC_258.1097_10.8",258.1097,648
"pHILIC_249.1077_10.8",249.1077,648
"pHILIC_229.1181_10.9",229.1181,654
