"name","mz","rt"
"pRPLC_162.1123_0.6",162.1123,36
"pRPLC_290.1601_0.6",290.1601,36
"pRPLC_261.1446_0.8",261.1446,48
"pRPLC_232.1543_0.9",232.1543,54
"pRPLC_261.1446_1",261.1446,60
"pRPLC_100.0756_1.2",100.0756,72
"pRPLC_153.0658_1.2",153.0658,72
"pRPLC_166.0724_1.2",166.0724,72
"pRPLC_295.1292_1.3",295.1292,78
"pRPLC_169.0971_1.6",169.0971,96
"pRPLC_244.1544_1.7",244.1544,102
"pRPLC_153.0658_1.7",153.0658,102
"pRPLC_246.17_1.9",246.17,114
"pRPLC_180.0654_2",180.0654,120
"pRPLC_265.1184_2.6",265.1184,156
"pRPLC_312.1305_2.8",312.1305,168
"pRPLC_146.06_3",146.06,180
"pRPLC_279.1705_3.1",279.1705,186
"pRPLC_195.1128_3.1",195.1128,186
"pRPLC_181.0718_3.1",181.0718,186
"pRPLC_260.1858_3.3",260.1858,198
"pRPLC_181.0719_3.4",181.0719,204
"pRPLC_197.1285_3.4",197.1285,204
"pRPLC_313.1548_3.5",313.1548,210
"pRPLC_146.06_3.6",146.06,216
"pRPLC_352.1657_3.7",352.1657,222
"pRPLC_286.2015_4.3",286.2015,258
"pRPLC_211.1441_4.4",211.1441,264
"pRPLC_195.0875_4.6",195.0875,276
"pRPLC_211.144_4.6",211.144,276
"pRPLC_413.207_4.8",413.207,288
"pRPLC_204.0655_4.8",204.0655,288
"pRPLC_310.2015_4.9",310.2015,294
"pRPLC_310.2014_5.1",310.2014,306
"pRPLC_239.0914_5.1",239.0914,306
"pRPLC_277.0384_5.1",277.0384,306
"pRPLC_288.2172_5.1",288.2172,306
"pRPLC_312.2171_5.4",312.2171,324
"pRPLC_302.2328_5.6",302.2328,336
"pRPLC_319.129_5.7",319.129,342
"pRPLC_319.129_5.8",319.129,348
"pRPLC_301.1185_5.8",301.1185,348
"pRPLC_319.1289_6",319.1289,360
"pRPLC_347.0633_6",347.0633,360
"pRPLC_314.2328_6.1",314.2328,366
"pRPLC_267.1228_6.3",267.1228,378
"pRPLC_355.1265_6.4",355.1265,384
"pRPLC_316.2484_6.6",316.2484,396
"pRPLC_227.0914_6.8",227.0914,408
"pRPLC_464.1915_7",464.1915,420
"pRPLC_330.2637_7.1",330.2637,426
"pRPLC_255.1227_7.2",255.1227,432
