,chaoexpo22_I12,chaoexpo51_I6,chaoexpo56_I5,chaoexpo44_I15,chaoexpo28_I15,chaoexpo74_I6,chaoexpo56_I12,chaoexpo70_I6,chaoexpo62_I6,chaoexpo75_I12
Stereaceae,52413.4231989348,344128.260603149,621479.701789719,406136.850577657,80686.9807220041,320683.241705414,19465.2038976534,1227.65859386855,4283.73866873395,108613.218465699
Pinaceae,57151.2549102387,18204.3890715259,1215.83089325434,112.77049959277,1389.92968693197,5027.65209585676,4872.25388600026,13.0550460814344,4295.43856374364,41.5942524262796
Aspergillaceae,5737.45443836442,3706.34740948583,4441.80685393418,6326.1226255978,207903.213297641,3255.37828871645,44922.3097900457,7873.54948360223,12271.1286272753,4519.45017998817
Sporormiaceae,104394.243153123,4730.44105039262,1020.80188458269,5378.69480173155,6679.83892382963,13989.3382606851,16174.0454589098,12536.7442626834,16585.1804659356,863.002322154321
Propionibacteriaceae,244.843775760436,9.25833038919747,1198.33354439382,158.151088577185,2465.55808087388,21.1307060597318,19098.0136654579,4479.47976980657,48.7298025155199,20.1846345071882
Coriolaceae,4482.58777472278,21022.8550415555,42748.1225670381,65732.1270241331,42686.0565199469,8822.20532848578,114637.741816028,16.5397616386891,20047.8741218262,8479.07380998616
Staphylococcaceae,56.1436752927118,168.562096340994,0.340509494143365,7910.73991150549,120.246825302541,6373.23706350809,546.754478783202,542.21268162243,285.616576390193,26.5160431787911
Bacillaceae,526.789007106201,537.641871523972,678.597540442995,469.969037108413,370.012645424788,4161.63459248862,11187.5368494153,47253.8748674162,7295.55993540676,244.335109935667
Enterobacteriaceae,716.587424310664,46.7699456826526,80.2916809109974,107.289478625157,0,0.172904181199297,0,8.6137435926957,370.123346619034,0
Trichocomaceae,361.772909074604,2859.30679949693,207.098183049018,1485.29446287648,229.876105519837,471.154151439884,3603.34618238675,241775.837349981,138.350628261212,7.84118126205493
Moraxellaceae,434.066945363631,24.8586305819011,0.357384532506023,428.330809958144,49.7847316426732,233.711382379742,333.543508888081,36766.8235775327,14011.368071307,140049.853229635
Malasseziaceae,24.0986560994579,103.859186676247,2879.0153380448,107.604147162624,164.271022758682,0,2708.75907239832,12.7065008878404,139.44870125971,2128.15927485278
Sclerotiniaceae,5918.93689709731,313.301792125174,37.5620520202147,34308.5062453774,10.4903483438354,245674.265084474,11.3784964260208,0,0,0
Poaceae,637.278401758488,70.5027426654891,379.371980411674,233.25972623764,2509.18738670198,75.2665202502787,561.508226276148,254.101559637029,50.1426964748097,0.349802133926627
Hydnodontaceae,68.3985113522781,4036.23569157498,1804.86218247346,6897.01780061436,2011.91354035681,3620.73486884074,13863.7537442463,23.1884500710923,1293.34628272286,158.568231241471
Fagaceae,1138.03183678628,14.7504012192999,0.208196629993072,29.7766633346843,75.8681465747287,51.9168877252704,19.6852591030866,1504.10526447293,734.293927854546,29.4530601963543
Pleosporaceae,4308.13889690666,6.20351554225978,10.6879641338071,47.5348974596248,1183.62466064048,9.64355986665909,43.179098583533,0,0,141.534758353898
Oleaceae,39.9582624373765,3.01473947297005,61.3020512823407,6.30688866874479,0,0,202.725472575213,0.298871506370872,0,0
Streptococcaceae,4.24218724707216,4.48383937760426,24.8493357505402,426.934882568981,23.1318156587567,59.5683657811127,4117.92636222048,151.134879531378,59.8314435200514,145.900810179624
Corynebacteriaceae,10.3956400072463,57.8444533713215,3006.32009675175,329.571772053758,1.8546137788539,31.2111751306089,37.8806824120107,5192.93016811996,7.81972283791768,70.8669351196209
Phanerochaetaceae,1766.1609053802,11985.4378317745,25877.037015487,20179.4166098111,4355.95724989879,11479.0148396472,29833.1851395468,43.6557471122932,3356.05687811874,3378.00269874496
Melampsoraceae,182637.57877275,142.688724776226,46.783393006881,134.495880560547,0,196.739814318531,43.718038144478,47.547455635661,10.1753171613032,0
Atheliaceae,3699.14329480052,11963.7628476405,9016.61941847593,11140.2931697616,2051.2472637362,519.121049630477,312.307608123614,0,516.999558837202,5.28608806192553
Canidae,25.6003473868496,61.3095509628723,0.451907886151216,5330.33704557598,89329.2637942771,4933.74516498016,371.424274226614,12612.621304697,25.9054412272406,1198.92850460022
Cladosporiaceae,6279.39618617977,415.721100620696,179.765575202174,777.353953090505,2662.86822319255,1946.13106528425,1614.26947479106,26.6268229700635,346.603044118196,1.26851515789714
Corticiaceae,419.638736326606,4372.47984819277,5075.8159557004,8775.50347202695,4092.26248481923,12046.9308351552,4649.98148825126,1.83589748547678,5.76465357280918,19.2277146481993
Musaceae,3.2382505528434,0,0,0,49.7712020581027,3.73008595346078,0,0,0,0
Mycobacteriaceae,3.25301721165643,26.4416288179169,0,0.908605857844191,0,0,0,0,0,0
Betulaceae,44323.8166835848,95.0892734483457,18.6697905870226,30.3614429964121,17.7136040035384,275.559050400333,987.192664240117,251.482455501331,22.1639234853262,0.788753141522763
Actinomycetaceae,0,0.268306592898858,0,31.4263565058943,0,0,0.483011877204028,188.065807747301,0.765373439509794,0
Omphalotaceae,154.413633577499,477.513166119098,336.609586230158,643.553023357525,14.7208888245436,157.826914335499,1526.43666693797,0,0,14.9722289545138
Hymenochaetaceae,631.049035464148,2484.71103862262,4650.83596920484,4553.27688450356,716.954031616013,2869.30807683392,4151.22449277662,156.767506554936,264.912412153432,274.127517351152
Ustilaginaceae,593.138650204594,32.0186832141676,48.7539753948046,193.514033168021,0.494852237712964,6.74984622945593,72.7076343448195,0,35.9206692505187,0
Pseudomonadaceae,167.439717591061,25.5646021220402,0,28.6398817093139,0,34.7540745078502,0,0,258.75482845361,0
Aureobasidiaceae,160497.699699193,1024.9851743888,0.23187139891079,76.0799340687503,0,0,258.221531017092,0,1.11914531770028,8789.99434667677
Rhizopogonaceae,3.31044679856564,175.468375911062,226.414830394566,1841.41922584892,10373.1025486525,1170.05097734865,2862.8483092568,1.98189599796948,4.4684997710405,2.03524496548289
Mycosphaerellaceae,2529.44673415287,768.414160056949,26.9487290152256,365.411673620376,141.471323164269,460.901208146797,724.943972722066,6.35795521414675,518.528220362579,0.946519547377954
Tricholomataceae,188.888785728469,692.645102280467,3380.90414609973,1142.42588884629,250.508295731059,521.705081502378,334.80024702302,0.610642071012444,0,20.082020384318
Trichinellidae,0,0,0,0,0,0,0,0,0,0
Amaranthaceae,21.7600151538896,96.3642655711749,0,0.0675798658954229,0,0,0,0,0,0
Nectriaceae,930.719552812836,115.127104557066,783.914488628097,674.767450501833,871.088270545896,244.223123240335,2752.5139905974,1799.83536316466,0.725760974238814,0.241240727640399
Cronartiaceae,0,6110.6391335047,0,1768.78505119917,0,18.3500778004211,0,0,0,0
Cytophagaceae,1481.61862703362,119.75730688647,5.28882344678705,459.93343346698,43.9858956806464,181.493016345089,364.733631724712,3143.14454052254,370.64782480545,53.209053931281
Didymellaceae,22295.0828751968,64.6412637207466,0,50.0066651924386,13297.349156605,1992.36922359217,0,0,1.54284019077698,0
Cannabaceae,3082.93496504651,275.912733872531,2.97804694659685,518.583179631327,404.197244834309,256.650224745331,1983.27293432953,1034.02835583048,79.7404297209304,0.177066752173364
Atopobiaceae,0,0,0,0,0,0,0,0,0,0
Pasteurellaceae,7.33426570056565,0.161334058216454,0,25.3665595736609,0.163510726472887,40.1328919362153,28.3344297571813,18.5885057932751,42.4455236548405,1.97677671369104
Alcaligenaceae,3.72714928596191,0,0.341970595951065,0,0,0,0,0,0,0
Herpotrichiellaceae,1979.85713329119,38.5007349264929,69.6572576585361,60.0275992631189,112.312699899186,373.909878565179,129.600151615177,0,0,36.0162887780708
Tremellaceae,638.447933837585,39.5822139460293,176.09952212369,30.5144070126735,0,0,52.5644542220544,340.408314278349,2191.89574695886,0
Paenibacillaceae,146.488325465377,8.47606696088073,5.71384012289679,121.915798916752,60.213040264509,58.4592156163312,198.288173316989,1187.42608841371,196.456326246642,10.7029987267245
Solanaceae,0,131.072454178849,12.1345027252693,4.73655958401234,0,0.306113255744107,0,0,0.820782739488927,0
Sordariaceae,37.1239626636312,8.89570798885479,0,89.552612758626,0,0,0,1203.34737933066,0,0
Pseudeurotiaceae,221.111911520948,120.1638511712,29.8399886256389,175.378658960476,284.889195056178,424.771683612854,9294.39791442804,742.560892358271,1605.90212136439,3.59507408573887
Myxotrichaceae,265.71926980595,600.728547891399,500.916013401653,420.978538330741,46.4333855992824,589.696854132597,1441.29115142802,3680.76895303032,533.730096889334,243.976322560841
Siphoviridae,5.96908561510899,0.758707166206072,53.6617827531603,95.3026345911826,0,199.591234026895,5.77687590861149,0,0,0
Chitinophagaceae,3035.71749598329,64.3952366385726,12.1850681691332,442.709007911709,9184.86717641879,186.936535733542,151.792674034575,11545.3153790818,2.59233873884309,999.863421184238
Thermoactinomycetaceae,101.418881105543,6.72199311014554,131.018402570131,7.6016602148882,122.046233196057,0,1203.3012244694,19.4553994908817,22.8220142866504,31.9634752927331
Gnomoniaceae,3958.85681257972,770.636559868202,3.32066570500362,1770.98033181231,2.28937967786254,2055.24117784781,473.768246372634,0,1074.13301835203,0.701084365319195
Pleurotaceae,175.401528737263,966.582376449118,45.5325447351814,1134.52316732571,71.3890162099381,30.254568920989,29.7696085123254,0,0.913630944713728,0
Cordycipitaceae,100.652669464486,634.619219053042,25.3395143761601,634.025834212878,7.67109017969173,111.022163227846,10799.7213892043,0,0,91.1926277054569
Thermoascaceae,26.7436781856734,16.5732497860176,50.5201646257401,16.4936382957717,0,0.358972471600881,87.176442769155,36015.815310414,22.3660485976824,0
Sphingobacteriaceae,713.214441667562,143.613492469131,29.416776452745,102.747842090806,268.398142969534,156.793164410776,599.843806504502,568.824084050896,3278.52447483516,35.5382624406448
Flavobacteriaceae,253.04506904836,39.9514911231859,21.4997962104326,295.660690611146,1654.35049549194,603.625723413263,74.8492039388934,576.423921620342,0.352517366776883,2564.88452663832
Peniophoraceae,748.874908692081,2480.53901180106,1302.79372224822,1157.62942648838,17.034624911102,264.018088601016,152.720197119596,0,3.37441744595718,0
Helotiaceae,91.7907399933656,436.334150225067,190.127036591482,747.792209579708,46.5408568456416,1093.28559515291,905.963232611958,48.5950932435278,22.5789903814125,302.138016568519
Pucciniaceae,65.5011907762801,0.953927288061249,4.82769655110766,6.77643547694271,0,2.82421328862464,0,0,125.343439664467,0
Filobasidiaceae,2390.45203075399,1.02603706456895,18.7884844023348,19.122315144118,0,0,0,318.217772904103,52.8489580283511,0
Micrococcaceae,9.53577468508939,30.6207983260297,0,929.832562473535,2.15213878670581,186.448903418982,0,624.108288888666,0,3.9243427514272
Dolichopodidae,0,0,0,0,0,0,0,0,0,0
Agaricaceae,50.7822515024256,144.393851412737,436.147698271015,138.762141276623,1196.79958575845,152.063751822624,89.9173965853935,0,0.463012450481969,0
Culicidae,0,0,0,0,0,43.3038564036188,0,0,0,0
Ancylostomatidae,200.819589679933,1.41906307708351,0,0,0,0,0,1.14551961793253,0,0
Agromyzidae,5.22209117085309,0,0,0.774662371007962,0,0,0,0,0.465792839472754,17.9838044816043
Adinetidae,8.61251964970838,0,0,0,0,0,0,0,0,0
Cryphonectriaceae,3582.10354556849,655.05045800543,2.65910942689539,1899.82969547621,10.1064441516827,619.475893767154,313.385679308255,0,383.27229153916,7.41064431340367
Lachnospiraceae,11.3323354816215,0,0,55.340228079259,13.017314931192,0,22.0756906100221,1008.43871078116,0,9.61354631716986
Marchantiaceae,10.9160995796457,38.7174867093405,1.16765163520531,11.2135362746536,0,0,0,0,0,0
Apiaceae,32.5168531946512,0,0,2.36979020993564,1.97752809054575,0,77.6217043473294,0,57.154942738237,0
Bondarzewiaceae,0,179.64810619247,321.554483975223,200.022512756108,15.5901381646033,30.9997738412384,1039.58730560245,0,27.1205283491902,0
Calliphoridae,0,0,0,0,0,0,0,2033.69933947161,0,0
Rhodobacteraceae,0,0,0,8.11488564126917,0,247.320552485494,0,0,0,10473.3825669424
Schizophyllaceae,103.506622537802,2537.69509087082,2681.34813148348,5414.7039402321,159.506429402008,573.775359549866,621.576658501517,0.512255864257682,2587.12262009186,1.32314979873481
Cucurbitariaceae,376.106916758893,122.149988343727,3.79949377741296,121.589864624013,0,6.52800846762612,32.8093455604802,0,0,0
Debaryomycetaceae,2.20231111540885,9.11039489350441,4.39929779758254,449.421710007572,8.19629963647564,614.999509539476,0,161.127204662221,0,3.91137439615277
Phaffomycetaceae,0,170.723979556366,0.433425373116982,7.87260697981144,0,0,0,0.235206229479151,0,0
Triopsidae,0,0,0,0,0,0,0,0,95.2077581578075,2198.27611317771
Enterococcaceae,0.373825660881385,1.99364741824732,7.33648124138283,0.920246148827531,0,0,7.67108302669643,1935.32627611214,0,0
Prevotellaceae,0,0,0,102.214845684355,3.40688008239593,0,9.46727587422669,2.89615150785357,0,89.3065000557852
Rosaceae,131.650316843692,1422.63342612871,0,15.48913831593,0.213856732342536,3.05114520455965,165.592821509162,5664.97158128961,0,71.5658990241748
Juglandaceae,336.992362893254,22.592253474464,0,31.4623755622967,0,15.3021670417133,0,0,0,1.66529734763139
Xylariaceae,158.528157932907,108.605033092089,474.321716231106,343.121230549031,23.4493735519326,6.34630442833248,572.575735797245,0,0.719573280996131,0
Polyporaceae,13.5037069658282,595.649360425963,319.862920549925,391.857062697388,36.1494422574267,380.458151894516,723.780427458169,0,4.64430007525858,0.68303136050049
Nostocaceae,5.85041108850341,0,0.514827592129452,0.252857563597664,0,0,0.970482045424377,2.57570967573381,0,125231.293518157
Tephritidae,9.79236865304799,16.5027688402527,24.2125725579195,0.728993487834162,0,86.1808106936156,47.2959017603022,0,717.29784959306,17.4695460996086
Didymosphaeriaceae,132.984245335184,12.9486629078485,0,0.311394752080367,2.10368395516199,69.0437031832386,19.7667296554535,0,0,0
Clostridiaceae,19.1825367392301,12.9857805169594,0,25.1855136084513,10.4201164747969,75.0610583278173,156.958530491983,25269.4477578592,0.404505187583621,6.08150264359801
Botryobasidiaceae,93.7494825785972,727.036471957627,1998.66048667873,1706.78973184964,1148.89832884993,284.83959251037,569.626902713811,1.26915730719571,90.1896420001865,0
