,xinexpo22_I12,xinexpo51_I6,xinexpo56_I5,xinexpo44_I15,xinexpo28_I15,xinexpo74_I6,xinexpo56_I12,xinexpo70_I6,xinexpo62_I6,xinexpo75_I12
Propionibacterium acnes,453.958991298233,237.60434797486,10502.0587035775,2813.39463335096,6906.68079862261,6813.88982614348,5152.11528092372,15146.4178819392,3300.95516570456,13474.8837386051
Pinus taeda,198.612667848115,1908.53709735074,234.582904476377,16.3895538740046,189.366350973574,220.556195286694,630.753818667741,35055.4989205955,551.215115716311,85.429090910023
Stereum hirsutum,1002.95606333074,48813.4413526658,61825.1630917299,20695.4113968355,3544.19216655727,39356.2078502146,1361.45781431048,68.6438810956473,24.5794313288841,387.276266226437
Castanea mollissima,25633.1253634625,1444.4991898634,2407.38739334801,1762.76089115852,14608.9420072591,2693.53572134237,5684.98578666079,3943.67952062612,667.819112518398,8360.34459226116
Escherichia coli,45.2211962761952,90.1489336809086,345.993396105374,153.680381486823,234.310166528276,419.278187012427,792.791155933665,3940.15052749211,1248.69574826674,16422.6907068353
Trametes versicolor,1347.08290680903,19500.0534536732,21345.8618845453,25319.950120986,13372.8420565155,16854.1835239072,15903.0264125368,291.476432736019,1.76832286072897,4.29378587296987
Acinetobacter johnsonii,699.06156401922,114.69362290343,298.339256500635,1111.75765050711,4774.88958761182,7035.87692737691,603.393447555769,1382.62546045698,12113.6920816739,36.3880268767559
Acinetobacter baumannii,1757.0094854367,525.923799011456,5.6421266493296,1404.92134076993,943.242278770266,1589.32901543485,623.054527003827,1126.19150525418,19655.6213945065,125.436064572868
Lactobacillus crispatus,36.6326986877009,3956.80627820987,785.155737447765,0.549998202615425,3265.65657570239,5092.26957259703,894.307286455783,3090.51062926767,235.781931100957,2166.6939399256
Betula nana,8414.32550010092,1659.6382169754,1213.5577304509,489.218725194747,5778.80929475308,3081.5995530566,2111.18563108464,2878.49285973179,159.732998372011,1353.90848914974
Fraxinus excelsior,485.64788239601,129.867466713289,359.067876381943,19.6325127279382,126.6329097946,283.159121937617,513.103804325024,415.783750827093,1262.00498626141,206.445607927521
Finegoldia magna,126.165977301942,89.3784813422889,340.231190597799,56.5546384248778,1429.95549924555,239.127888458617,27.2753341239421,19.160858398537,1866.54193620424,2001.44908553201
Rothia mucilaginosa,2.26111902327509,1121.61300608726,936.202945949877,620.855979096816,270.555529891647,29.7414293768719,790.790675778646,564.504448416882,775.396471434839,0
Streptococcus pneumoniae,175.713819061655,298.860996771459,150.371576074887,172.528441654648,599.164193497929,196.946751921298,40.0449717951298,790.609987201683,516.88274254721,0
Malassezia globosa,39.1491529517926,0,1889.09855632542,460.992499314342,4489.52533841563,175.912101053899,429.20395494927,11745.5851790116,169.554092839902,0.591257253774875
Staphylococcus aureus,56.8640062366009,38.8231424312548,636.089947128358,1168.56786852244,35.4988251599585,1088.6566602201,137.685109026634,896.882672395019,2219.90349676765,48.8346636291307
Staphylococcus epidermidis,45.2068325382595,4.24200725727178,958.234670913687,2.17409165557659,15.0191184518699,225.129120056859,426.26426297331,144.001849237968,1630.47356637609,1092.20677549372
Malassezia restricta,141.231137329963,16.8809426681782,3276.94267226324,194.445242982956,1078.61608105603,100.128811417799,725.477878601358,149.492624613271,855.651735969546,0.621492436397435
Pinus lambertiana,583.160904448557,763.007845176693,8019.95881917721,479.532745489001,303.478890242312,534.559491158301,718.867998833765,609.732125374857,1.54967304009846,5.18182600516803
Trametes hirsuta,925.246813994438,6135.1240229933,7904.51623617,3105.68983461039,3872.97321102974,4342.1178573231,4289.15700782917,7.63200481935994,67.9219111898844,9.55141118578222
Phellinus noxius,231.665360947501,3549.16962535039,5983.8236411408,1290.40310250069,1314.45599919141,2611.07956604032,1050.13037053169,2.00591163747784,23.5920554041541,0.746517223584178
Dolosigranulum pigrum,355.463757883299,23.0083203248918,769.244146506336,400.404527848375,133.114266211523,1194.67357196097,721.317976892348,20240.5033191468,16.2955457973626,0
Preussia sp. BSL10,6963.11200279385,199.2870937796,91.1617762551531,253.530661743561,2404.86130977023,1363.13792516659,1593.00816815915,38.2046071554836,79.4312001048377,0
Rhodococcus fascians,4438.74345039447,0,119.553390019677,263.010563466807,2.34454321606034,0,628.52381514053,10475.7905002165,0,0
Streptococcus thermophilus,0,38.9582278943142,593.363806970779,69.4922247500388,0,29.2563789848007,911.15788286726,0,24.9979246807679,16.9868140439458
Ceraceosorus bombacis,1646.86729430721,2759.8251222498,7277.801835914,1079.32502607186,0,1.71180969549875,148.633103322644,0,0,28.5582482343677
Quercus lobata,500.868632889638,3.48474706924183,4399.33031488344,17.3298346654063,12.8727538353379,10.2874330855373,383.868675896329,0,207.739884549115,10019.2880686774
Corynebacterium kroppenstedtii,132.054453122443,53.8517366054157,473.61346355891,74.3445260808722,233.000956936029,892.640896777682,395.803384853791,28.6669007149037,1635.56493948411,0.521292565317684
Corynebacterium jeikeium,102.463167938575,13.6718493591636,246.910114740144,382.607852789205,12.2145924123936,198.787122033633,2157.05493006181,262.528429845528,1222.40545909872,0
Physarum polycephalum,526.569202909078,114.566419434653,0,248.319621540165,0,18.0682370043544,2.92377247377995,0,0,0
Brevibacterium massiliense,0,0,0,0,0,0.844416587810692,424.214679285562,0.403116807263907,1.72473232263656,0
Onygena corvina,256.221518616161,4660.12405460915,3849.74487626217,2452.65040921865,1689.10409434607,1211.37932792127,2958.81615034432,6.7439293047748,245.376515669012,0
Truepera radiovictrix,28.1281479694756,0.950680854315264,242.455429886763,31.6556989251087,6.37444453690121,4074.44060619365,341.278320039278,855.291254612043,14.7449330836954,0.480981033349547
Ophiognomonia clavigignenti-juglandacearum,3755.93282539986,654.415618928474,69.2142959417402,2042.82231302606,123.462078959583,585.250359555045,560.141446040677,0,537.843989995639,5.38251353243364
Capsicum annuum,4.55017730037583,4.7128949424677,0,4.33546246766855,0.719078132427617,3.69352466437377,1.44390843082136,0,0,0.497193750474217
Ktedonobacter racemifer,2.49214674317996,7.23460229972616,3001.29991039219,67.645034781999,66.3414802194754,0,111.256114905296,0,0,0
Peniophora sp. CONT,159.371037842707,1431.8722166535,902.822172805855,1696.78607275233,63.5496872421756,591.878800910349,553.946152788413,0.844283306647061,0.899608792069098,0
Moraxella catarrhalis,30.9400596387169,28.5370017262175,1.37286614455661,206.04381230894,131.635396799582,23.4350770959762,290.255369298622,0,503.684887369122,7.63361680357413
Prevotella sp. oral taxon 473,24.4415469881552,34.3749508111172,0.340230642833196,36.1499611603983,941.428475359735,0,173.496269540729,0.810008450000773,0,56.1053132167039
Kytococcus sedentarius,68.0205804565004,102.502273902376,3.37360047207745,24.1083792536644,7.35821121607798,606.709351812046,297.047566101493,7.34056936581928,0,1.58769031776149
Halomonas sp. KM-1,0.507454183842297,0,0,0,68.4136965140622,0,0,0,0,0
Bacillus anthracis,78.5431857382478,24.8902295328983,0,81.8223208619988,29.0919711217078,0,0,748.362889927173,94.2757609448922,0
Silybum marianum,97.8979902429618,63.6127138490858,156.125458080035,55.8072369712951,390.567316615002,999.428424129112,24.6065612197532,17.0795044346839,331.233759416443,147.275484376079
Corynebacterium pseudogenitalium,101.774363245796,10.0354002644393,0,166.641802531216,3.44877381525107,6.58356051186064,591.709239547048,788.385953690269,35.1262647370732,0
Canis lupus,2.31945912243957,33.0607345982906,100.059045501203,84.5488989576141,43.9892673699988,7312.22291285976,263.652572351374,1.16949938021841,10.6367100010972,555.419417364773
Veillonella sp. oral taxon 780,0,0,0,10.6151288333483,1018.88099199544,0,12.4582465348191,0,0,0
Adineta vaga,58.5141834911449,0.276859041557584,0,6.65359775785964,0,0,0,15.9396868201483,376.045545249346,0
Rhizopogon vinicolor,140.942529611257,2258.1213672986,895.918115203359,679.173090829487,2688.92383629874,1602.47971252166,2903.50020800603,1.44846198489845,68.2178571977604,1.93107928060942
Kocuria rhizophila,0,0,0,425.775344441695,8.51962135733605,0,331.397568728351,2128.36760452642,22.8563446803716,0
Clostridium perfringens,13.3354214369179,0,1.4529592064111,413.420012329911,161.706035840861,634.242669605225,4.72962374196171,373.862546118262,219.13956082425,6.70116088239657
Rothia dentocariosa,18.6803549348567,14.71670454648,0,50.7497909741732,33.1320524005994,80.7314136601692,33.270280459656,1255.45793101221,0,0
Picea glauca,1095.26693829276,320.213001754536,784.870653991405,0.841244248452113,7.12966027755415,383.750453703476,294.889871799047,0,0,0
Fibulorhizoctonia sp. CBS 109695,228.415194677529,2956.89325312064,3923.68714096191,894.615734161691,741.129955775681,23.3793924646691,16.5997141130428,0,0.121600315654734,0
Vicia faba,54.8749267077178,10.6065351903709,0.332452154715475,0.41437535973877,84.619173134924,88.043459501309,2.23399102828998,179.195866940179,749.090075770746,0.0961096797974215
Phlebiopsis gigantea,85.4968922027496,1487.25468588507,5067.81952079958,1183.73703092601,1736.33375859815,3040.85361873691,1394.6131866101,325.365163795528,244.529430587828,341.966935603661
Lautropia mirabilis,32.1208100541737,96.4863070475067,387.7778590665,269.666211394361,159.983860773982,50.0775699916179,27.304659083467,101.40378671326,0,0.410725857647245
Buchnera aphidicola,13.8214072773388,83.1464092927294,0.779070022694302,0,84.2684568291036,630.096804653338,1251.22819774349,230.168857362571,266.427532772254,218.569159677098
Botryobasidium botryosum,105.311562122735,2125.11283240593,455.888024748392,726.603125403592,609.536308927245,281.089309893598,227.481207568699,10.1602549570535,0,0
Gongronella sp. w5,388.69765751999,5933.41662761413,1441.5869884818,1502.44758337414,2047.95016427829,1411.50534576869,1413.23900128075,0.775071369426246,0,154.469604757144
Anaerococcus provenciensis,3.21122720836816,9.4018875587938,264.418735242848,40.1460217325163,39.7693230681567,0,288.657821255146,177.585203373006,180.995131858396,0
Microlunatus phosphovorus,231.3771588071,25.5472426624703,0,481.336782821048,188.094267589503,90.6609973050904,379.113445722525,1145.00466606161,28.4503278678676,17.4841564704894
Adhaeribacter aquaticus,560.947889947178,0,538.568021371475,97.1838816898508,1.9176432753768,40.6194903612577,0,13.4068397866434,7.43890465884541,0
Megamonas funiformis,3.88154596952637,0,1.47469232279226,190.386017033549,8.70643221968389,1124.93158582436,1.95470979347345,17.4939367282532,0,69.5945384299178
Corynebacterium matruchotii,38.7076735417397,26.0669377706847,0,52.4661241617312,1081.51815869095,2174.86983455458,4.49969775216595,0,39.8709243571921,7.6737819818518
Streptococcus sanguinis,87.6766540600307,0,11.1054168292954,93.3766054321334,61.8251216858092,116.780864722315,0,0,793.83089539499,4.88678324583331
Lactobacillus gasseri,139.566205660824,0,0,2166.93588221812,4.20839861158007,903.011548704556,2.1481537671232,895.763520680381,8.75430800814401,1403.35500611583
Nosocomiicoccus massiliensis,0,0,0,0,32.8695691112824,0,0,0,0,0
Haemophilus parainfluenzae,5.51490143893667,0,0,63.1877965508805,2.87867017049729,0,0,20.2490078028846,0,0
Mrakia blollopis,92.1665581348713,1698.31533713602,391.490634685749,3461.82439456922,532.310814951081,689.368621317155,906.230857290315,1040.86072877136,0,44.4649390473567
Stenotrophomonas maltophilia,0.062091717889838,55.2483826911563,0.340229743956701,0,134.710887659323,192.896587097219,0,578.473991022569,722.396905261023,454.748088831017
Gallus gallus,0.28082882667613,0.469668105187691,27.8043970966164,0,0,73.8651736138732,3.33121989677325,0,0,0.0598863818866111
Synechocystis sp. PCC 7509,138.244199218886,138.993073273819,8.87204462504293,96.7324941619254,976.055854947867,870.267195180252,45.4423479645744,0,0.870236133061321,174.117073726332
Staphylococcus warneri,22.7035359656121,83.1372836375209,0.0979368603884165,439.959450979299,14.6955539550599,534.538805563985,112.232608246001,239.683927713676,2.95859728970997,12.5173277465817
Triticum urartu,66.7562754384949,7.59915711751471,0,20.0759727134404,716.215173352576,122.829778075453,633.424986341331,0,0.172823780554919,0
Anaerococcus prevotii,57.9900395802449,4.54377639821821,884.602467046616,0,114.476875348028,9.12106863110572,1.5488571055605,0,0,16.2551942238602
Lactococcus lactis,104.591835829007,25.9733630100064,236.680887983519,31.9710152058201,294.792650556279,226.729709883048,321.724716259939,389.448972561349,17.0976405816526,0
Sphingomonas astaxanthinifaciens,0.346284190142608,150.402244433054,29.4836865621561,290.038872570979,66.9132772011406,9.78519418660516,1073.62443591955,45.9553446300452,97.0065489581969,0
Fibroporia radiculosa,133.779391171583,1344.04472568039,571.370313666006,1169.05880355002,1073.27528376263,251.656442581959,704.904663744344,68.8723392979756,0,780.558281213721
Calothrix sp. PCC 7103,0,104.730522870776,0,13.5241407720272,0,0,0,0,330.156383007109,0
Pseudomonas aeruginosa,40.8615548877845,0,469.02704759054,0,0,174.315770648553,154.667068420146,74.1279473269749,204.457953138923,1.68014571241813
Botrytis cinerea,45.7943598111936,6.05263419404197,0,318.334813308116,0,16464.4694996511,0,0,0,0
Gymnopus luxurians,3.58558044670758,0,6.54999371997434,2.57414976787947,0,11.4924337463131,0,0,0,18.701723519457
Tilletiopsis pallescens,253.582557157428,1450.61524112421,22.0923756088251,326.119087387748,0.97630069225828,233.71951427439,371.217114069997,0,0,19.8329701539622
Lentinus polychrous,129.573831211353,1791.35174975681,1311.93213049743,759.408339493839,539.064123278131,277.559946972833,892.362658540922,0,0,0
Nostoc punctiforme,0,0,0.322654575333966,48.4350810314933,0,38.0335990163931,68.9815329795997,0,0,69896.2015053057
Puccinia sorghi,0,0,63.0692017826983,0,35.5688998358875,0,0,0,0,0
Taiwanofungus camphoratus,175.233533320717,984.909541499739,430.894291813902,267.780165525274,743.143807497773,1527.89975975619,1499.08944516895,6.20222683503459,7.26866487486477,0
Haemophilus sputorum,0,0,0,0,21.0438661464275,0,0,0,74.6086448003051,0
Marchantia polymorpha,195.512051741759,73.2262378404179,10.1021647013017,580.366025807992,241.712136505491,495.202370753865,771.977128994638,0,0,28.9378649061857
Ziziphus jujuba,0,0,0,0,0,3.0263602430469,0,0,0,0
Abiotrophia defectiva,22.1944006639638,13.3913370054081,6.95636158895254,469.16228987493,647.084438209929,2071.50971609324,0.193838763388765,0,4.36681364720017,0
Gardnerella vaginalis,105.25205783248,0,26.2632939001589,44.1539032725385,36.00851923097,143.397487426294,17.0529336090977,0,0,14.5696416335548
Zea mays,0,0.621969237172028,54.1159874027533,0,98.6283951920155,0,0,0,0,0
Amaranthus hypochondriacus,0,0,0,0,0,0,0,0,0,0
Alkanindiges illinoisensis,203.746247019747,41.2612049127882,938.084016659844,135.875736652803,7.63851029307461,0,148.783304645177,3.85880487337086,36.9220755521938,202.65414377835
Kocuria kristinae,7.51731226228978,80.741961524413,0,6.18674443765671,0,1.60454670238785,0,0,0,0
Tissierellia bacterium S7-1-4,40.2973088754448,64.035194535003,0.764449662350094,29.758756930582,0,29.3545118849755,402.872737918062,0,0,76.8521921895376
Chthoniobacter flavus,1300.93622145794,57.0729939171694,17.0357225717199,113.716544473753,1316.53942367962,242.269717402374,902.416556822093,9.9483676707238,0,0
Beta vulgaris,1151.35083245869,2.11482782510402,621.003987690055,87.2303024176397,233.140426458929,398.771337502758,320.066789865055,1159.79027556669,36.8923481012077,0
Baeospora myosura,13.3902695319703,307.237284439274,61.1989940085837,116.243466074111,80.5653411628478,335.293711834903,14.1965616652555,197.295462547299,0,11.6614129067182
Pyrinomonas methylaliphatogenes,918.363985242762,21.0611947053101,13.3707248274562,71.0152139294811,112.920459114109,176.776900508804,242.783883259728,76.2881900057455,19.9246539646222,0
[Eubacterium] rectale,2.71036538593172,0,0,0,16.209032356899,16.54372255779,7.32077455664943,107.360671153228,1280.5968416603,0.304682443018589
Propionibacterium humerusii,28.6131010818508,0,24.3804829518823,0,17.7106392453428,14.3427645079523,57.2747627956708,496.577087297509,0,12.8015656598976
Juglans regia,67.8045531965096,0.709061795524898,0.905180704452461,0,0,0,0,0,0,0
Segetibacter koreensis,638.217442094758,8.84432404271814,471.081443945907,218.15855470693,11.0402843716034,11.6032016928876,21.6919397322462,283.691752082582,60.1884525042217,0
Puccinia striiformis,947.288323719096,136.6453385379,0,25.8178925515643,50.0820551571614,76.9870784751072,71.0886863675861,53.9028868920564,0,0
Cladosporium sphaerospermum,678.478253152638,9.69333220368241,0.250210710958724,82.5585975125629,215.151174533874,217.110352443445,38.2389864847134,0,0.727960390648488,132.802537530355
Brugia timori,17.0152998226559,125.215915428025,0,0,0.478309377839414,0,0,316.264695775331,0,10.7762747695582
Lignosus rhinocerotis,94.2003891951532,1550.044939256,597.6050267684,912.681830461182,667.643888293201,163.380503500315,872.327835165492,0,87.4057445805863,0.616235914287641
Pseudotsuga menziesii,330.018977126265,73.1932225982582,772.533096733476,0,1.46885344288043,0,1.90482952427092,0,91.1585588111091,0.0949393760953254
Schizophyllum commune,128.293223003602,835.0549188295,384.659438334892,1199.04836408438,0,1058.96134013813,15.3095813007104,0,0.121602665426098,1.38568554885704
Puccinia horiana,6.14576406948499,0,0,0.855784425858744,14.010756681844,1.80766233562863,0,0,0,0
Empedobacter falsenii,0,0,0,4.78096423998931,0.29522921836482,65.7395924805141,32.6022640075796,0,2.14099493082418,0
Metaseiulus occidentalis,0,0,0,12.9484713188683,2.21898060431052,2.31826599680946,1.16940324169185,0,50.3257579073192,0
Aegilops tauschii,0,0,0,1.23926005142661,4.00598378533131,20.1765405019016,14.2431300444519,5.49078954508109,0,29.1724370081522
Klebsiella pneumoniae,51.2462682413689,36.402495901402,0,47.4057303229631,15.9216092011212,50.9372000182501,11.0099596607741,1.6697036372702,1257.21473368678,37.8560913248625
Malassezia pachydermatis,99.211976533669,3.72008576794998,269.470703295415,29.55884211099,511.118312152964,168.13737520146,221.348399769846,0,1646.71413594745,0
Pseudoclavibacter faecalis,0,0,0,17.3505053602137,0,0,0,0,0,0
Alysiella crassa,170.743626490624,192.341729470159,0,370.672358105416,0,1822.40373003924,0,0,0,40.5220084394029
