Date,Calories,Steps,Sleep Duration,Sleep Score,Number of Interruptions,Number of Toss and Turns,Interruption Duration,Resting Heart Rate,Bike Calories,Bike Duration,Run Calories,Run Duration,Run Steps,Walk Calories,Walk Duration,Walk Steps
2015-05-19,,,,,,,,,,,,,,,,
2015-05-20,933.9,2057,390,86,0,29,0,,25.4,4,,,,43.4,6,650
2015-05-21,2265.6,6546,413,90,1,20,2,60,165.6,26,,,,208.3,29,3059
2015-05-22,2416.5,7992,341,67,1,19,5,73,177.2,30,,,,215.6,31,3302
2015-05-23,2688.6,15843,517,94,1,38,3,67,66.1,12,496.3,37,6117,380.1,58,5978
2015-05-24,2505.7,11112,461,90,2,35,3,67,93.1,13,,,,420.1,58,6468
2015-05-25,2058.2,6202,541,92,1,46,12,68,62.2,13,,,,208.3,30,3183
2015-05-26,2022.7,6739,410,90,1,33,6,60,,,,,,295.3,39,4301
2015-05-27,2111.2,6055,359,69,3,24,7,65,,,,,,147.9,21,2244
2015-05-28,2419.9,7308,375,74,1,31,3,63,236.9,33,,,,188.5,24,2585
2015-05-29,2401.9,6477,334,65,1,19,1,65,167.8,28,,,,139.9,21,2206
2015-05-30,2958.8,19650,428,94,0,42,0,58,,,561.1,40,6638,604.3,93,9448
2015-05-31,2352.9,9633,517,88,0,34,0,54,,,,,,346,50,5342
2015-06-01,2329.8,11388,568,84,0,57,0,59,,,,,,731.8,93,10076
2015-06-02,2622.3,8865,344,65,1,13,1,66,,,,,,454.9,58,6465
2015-06-03,1459.9,4507,,,,,,58,,,,,,107.1,15,1646
2015-06-04,0,0,,,,,,,,,,,,,,
2015-06-05,0,0,235,38,0,19,0,,,,,,,,,
2015-06-06,2575.1,14365,529,85,1,38,10,64,,,470.9,35,5834,242.3,37,3798
2015-06-07,2946.6,13412,459,94,0,36,0,69,106.2,15,516.8,41,6847,188.5,26,2754
2015-06-08,2819.3,8544,393,81,2,30,4,62,655.8,65,,,,428.7,60,6324
2015-06-09,2384.3,8361,387,72,3,38,11,58,189.2,24,,,,425.4,49,5504
2015-06-10,2374.6,9141,319,57,0,20,0,59,174.9,23,,,,356,51,5488
2015-06-11,2247.3,8529,566,87,2,41,13,62,,,,,,369.4,53,5662
2015-06-12,1995,5196,426,94,0,27,0,64,,,,,,98.9,17,1674
2015-06-13,2374.5,12958,375,77,1,31,8,56,,,,,,533.4,86,9092
2015-06-14,2429.3,9953,,,,,,54,,,318,22,3801,280.2,40,4283
2015-06-15,2580.4,7415,395,83,0,25,0,,553.8,62,,,,277.6,42,4304
