Sleep Start Time (UTC),Sleep Start Time (local),Sleep End Time (UTC),Sleep End Time (local),Start Time (UTC),Start Time (local),End Time (UTC),End Time (local),Stage
2015-05-21 05:24:00,2015-05-20 22:24:00,2015-05-21 10:04:00,2015-05-21 03:04:00,2015-05-21 05:24:00,2015-05-20 22:24:00,2015-05-21 05:33:00,2015-05-20 22:33:00,light sleep
2015-05-21 05:24:00,2015-05-20 22:24:00,2015-05-21 10:04:00,2015-05-21 03:04:00,2015-05-21 05:33:00,2015-05-20 22:33:00,2015-05-21 05:50:00,2015-05-20 22:50:00,deep sleep
2015-05-21 05:24:00,2015-05-20 22:24:00,2015-05-21 10:04:00,2015-05-21 03:04:00,2015-05-21 05:50:00,2015-05-20 22:50:00,2015-05-21 06:06:00,2015-05-20 23:06:00,light sleep
2015-05-21 05:24:00,2015-05-20 22:24:00,2015-05-21 10:04:00,2015-05-21 03:04:00,2015-05-21 06:06:00,2015-05-20 23:06:00,2015-05-21 06:18:00,2015-05-20 23:18:00,deep sleep
2015-05-21 05:24:00,2015-05-20 22:24:00,2015-05-21 10:04:00,2015-05-21 03:04:00,2015-05-21 06:18:00,2015-05-20 23:18:00,2015-05-21 06:23:00,2015-05-20 23:23:00,light sleep
2015-05-21 05:24:00,2015-05-20 22:24:00,2015-05-21 10:04:00,2015-05-21 03:04:00,2015-05-21 06:23:00,2015-05-20 23:23:00,2015-05-21 06:45:00,2015-05-20 23:45:00,REM sleep
2015-05-21 05:24:00,2015-05-20 22:24:00,2015-05-21 10:04:00,2015-05-21 03:04:00,2015-05-21 06:45:00,2015-05-20 23:45:00,2015-05-21 07:10:00,2015-05-21 00:10:00,light sleep
2015-05-21 05:24:00,2015-05-20 22:24:00,2015-05-21 10:04:00,2015-05-21 03:04:00,2015-05-21 07:10:00,2015-05-21 00:10:00,2015-05-21 07:26:00,2015-05-21 00:26:00,deep sleep
2015-05-21 05:24:00,2015-05-20 22:24:00,2015-05-21 10:04:00,2015-05-21 03:04:00,2015-05-21 07:26:00,2015-05-21 00:26:00,2015-05-21 07:39:00,2015-05-21 00:39:00,light sleep
2015-05-21 05:24:00,2015-05-20 22:24:00,2015-05-21 10:04:00,2015-05-21 03:04:00,2015-05-21 07:39:00,2015-05-21 00:39:00,2015-05-21 07:45:00,2015-05-21 00:45:00,deep sleep
2015-05-21 05:24:00,2015-05-20 22:24:00,2015-05-21 10:04:00,2015-05-21 03:04:00,2015-05-21 07:45:00,2015-05-21 00:45:00,2015-05-21 07:48:00,2015-05-21 00:48:00,light sleep
2015-05-21 05:24:00,2015-05-20 22:24:00,2015-05-21 10:04:00,2015-05-21 03:04:00,2015-05-21 07:48:00,2015-05-21 00:48:00,2015-05-21 08:23:00,2015-05-21 01:23:00,REM sleep
2015-05-21 05:24:00,2015-05-20 22:24:00,2015-05-21 10:04:00,2015-05-21 03:04:00,2015-05-21 08:23:00,2015-05-21 01:23:00,2015-05-21 08:29:00,2015-05-21 01:29:00,light sleep
2015-05-21 05:24:00,2015-05-20 22:24:00,2015-05-21 10:04:00,2015-05-21 03:04:00,2015-05-21 08:29:00,2015-05-21 01:29:00,2015-05-21 09:01:00,2015-05-21 02:01:00,deep sleep
2015-05-21 05:24:00,2015-05-20 22:24:00,2015-05-21 10:04:00,2015-05-21 03:04:00,2015-05-21 09:01:00,2015-05-21 02:01:00,2015-05-21 09:10:00,2015-05-21 02:10:00,light sleep
2015-05-21 05:24:00,2015-05-20 22:24:00,2015-05-21 10:04:00,2015-05-21 03:04:00,2015-05-21 09:10:00,2015-05-21 02:10:00,2015-05-21 09:17:00,2015-05-21 02:17:00,REM sleep
2015-05-21 05:24:00,2015-05-20 22:24:00,2015-05-21 10:04:00,2015-05-21 03:04:00,2015-05-21 09:17:00,2015-05-21 02:17:00,2015-05-21 09:22:00,2015-05-21 02:22:00,light sleep
2015-05-21 05:24:00,2015-05-20 22:24:00,2015-05-21 10:04:00,2015-05-21 03:04:00,2015-05-21 09:22:00,2015-05-21 02:22:00,2015-05-21 09:25:00,2015-05-21 02:25:00,deep sleep
