"","peak","cluster"
"1","PM0594",1
"2","PM0006",1
"3","PM0626",1
"4","PM0034",1
"5","PM2000",1
"6","PM2688",1
"7","PM2644",1
"8","PM2846",1
"9","PM2342",1
"10","PM1015",1
"11","PM1594",1
"12","PM1836",1
"13","PM1935",1
"14","PM1979",1
"15","PM2201",1
"16","NM2328",1
"17","NM3850",1
"18","PM2002",1
"19","PM2262",1
"20","PM2654",1
"21","PM2187",1
"22","PM0834",1
"23","NM1550",1
"24","PM0711",1
"25","PM1307",1
"26","PM0682",1
"27","NM2680",1
"28","PM2128",1
"29","PM2384",1
"30","NM1254",1
"31","PM1900",1
"32","PM1880",1
"33","NM1240",1
"34","PM1180",2
"35","PM2871",2
"36","PM1171",2
"37","NM3853",2
"38","NM4280",2
"39","PM0901",2
"40","PM2291",2
"41","NM0104",2
"42","NM2174",2
"43","NM1145",2
"44","PM2532",2
"45","PM1527",3
"46","PM1062",3
"47","PM1888",3
"48","PM0799",3
"49","PM1013",3
"50","NM0522",3
"51","PM1049",3
"52","PM2363",3
"53","NM4327",3
"54","PM1244",3
"55","PM1843",3
"56","PM1111",3
"57","NM4287",3
"58","PM2540",3
"59","PM2739",3
"60","PM2367",3
"61","PM2756",3
"62","PM2260",3
"63","PM1976",3
"64","PM2198",3
"65","PM2850",3
"66","PM2702",3
"67","PM1971",3
"68","PM2336",3
"69","PM2297",3
"70","PM1048",3
"71","PM2056",3
"72","NM1340",3
"73","NM0692",3
"74","PM1801",3
"75","PM0996",3
"76","PM1018",3
"77","PM1454",3
"78","PM1499",3
"79","PM1849",3
"80","PM2255",3
"81","PM1860",3
"82","PM1890",3
"83","PM1902",3
"84","PM1936",3
"85","PM1944",3
"86","PM1956",3
"87","PM1977",3
"88","PM1990",3
"89","NM3793",3
"90","PM2318",3
"91","NM3057",3
"92","NM3471",3
"93","PM2493",3
"94","PM2632",3
"95","PM0716",3
"96","PM1019",3
"97","PM1121",3
"98","NM2977",3
"99","PM1811",3
"100","PM2134",3
"101","NM3981",3
"102","NM3982",3
"103","PM1926",3
"104","PM2293",3
"105","PM2151",3
"106","PM1704",3
"107","NM4272",3
"108","NM4350",3
"109","PM2004",3
"110","PM1795",3
"111","PM2126",3
"112","PM1996",3
"113","PM1768",3
"114","PM1927",3
"115","PM1024",3
"116","PM2111",3
"117","PM0320",3
"118","PM3167",3
"119","PM2383",3
"120","PM2807",3
"121","PM3023",3
"122","PM1040",3
"123","PM2594",3
"124","NM4337",3
"125","NM4281",3
"126","PM2233",3
"127","PM2226",3
"128","PM2312",3
"129","PM2286",3
"130","NM4270",3
"131","PM2159",3
"132","PM2158",3
"133","NM3747",3
"134","PM2143",3
"135","PM2295",3
"136","PM1149",3
"137","PM2839",3
"138","PM1838",3
"139","PM2019",3
"140","NM4256",3
"141","NM3534",4
"142","NM1446",4
"143","PM2549",4
"144","PM3083",4
"145","PM3067",4
"146","PM3706",4
"147","PM2246",4
"148","PM2619",4
"149","PM2296",4
"150","NM4303",4
"151","PM1810",4
"152","PM2325",4
"153","PM0964",4
"154","PM0466",4
"155","PM2308",4
"156","NM2302",4
"157","PM2804",4
"158","PM2541",4
