mz-peak	score	PIUMet-ID	Metabolite-Name	HMDB-ID	origin	super-class	Cellular-location	monisotopic-moleculate-weight	Chemical-formula
m/z=849.6644	1.0	met43740	PC(o-22:1(13Z)/20:4(8Z,11Z,14Z,17Z))	HMDB0013451	Endogenous|Food	Organic compounds	Extracellular|Membrane	849.66114081	C50H92NO7P
m/z=763.557	0.5	met37076	PC(P-18:1(11Z)/18:4(6Z,9Z,12Z,15Z))	HMDB0011280	Endogenous|Food	Organic compounds	Extracellular|Membrane	763.55159037	C44H78NO7P
m/z=763.557	0.5	met13402	PC(P-16:0/20:5(5Z,8Z,11Z,14Z,17Z))	HMDB0011222	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	763.55159037	C44H78NO7P
m/z=106.0192	1.0	met11672	Glyceric acid	HMDB0000139	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	106.02660868	C3H6O4
m/z=106.0192	1.0	met50265	L-Glyceric acid	HMDB0006372	Endogenous	Organic compounds	Cytoplasm|Extracellular	106.02660868	C3H6O4
m/z=805.5663	0.5	met30657	PC(20:4(8Z,11Z,14Z,17Z)/18:2(9Z,12Z))	HMDB0008467	Endogenous|Food	Organic compounds	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	0.5	met12419	PC(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))	HMDB0008116	Endogenous|Food	Organic compounds	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=179.0865	1.0	met27315	Glucosamine	HMDB0001514	Drug|Endogenous|Food	Organic oxygen compounds	Cytoplasm|Extracellular|Membrane	179.07937253	C6H13NO5
m/z=513.2683	1.0	met68977	Sulfolithocholylglycine	HMDB0002639	Endogenous|Food|Microbial	Organic compounds	Extracellular	513.27602342	C26H43NO7S
m/z=90.0243	0.5	met27515	Glyceraldehyde	HMDB0001051	Endogenous	Organic oxygen compounds	Cytoplasm (predicted from logP)	90.03169406	C3H6O3
m/z=90.0243	1.0	met28986	Dihydroxyacetone	HMDB0001882	Endogenous	Organic oxygen compounds	Cytoplasm (predicted from logP)	90.03169406	C3H6O3
m/z=90.0243	1.0	met13305	D-Lactic acid	HMDB0001311	Endogenous|Microbial	Organic acids and derivatives	Extracellular|Mitochondria	90.03169406	C3H6O3
m/z=815.5884	1.0	met65611	PC(P-18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	HMDB0011328	Endogenous|Food	Organic compounds	Extracellular|Membrane	815.5828905	C48H82NO7P
m/z=152.0261	1.0	met7015	Xanthine	HMDB0000292	Drug metabolite|Endogenous	Organic compounds	Cytoplasm|Peroxisome	152.03342539	C5H4N4O2
m/z=436.3481	1.0	met49188	Cholestane-3,7,12,25-tetrol	HMDB0000655	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane (predicted from logP)	436.35526002	C27H48O4
m/z=781.5665	0.5	met29997	PC(18:1(11Z)/18:3(9Z,12Z,15Z))	HMDB0008074	Endogenous|Food	NULL	Membrane|Extracellular	781.56215505	C44H80NO8P
m/z=781.5665	0.5	met48813	PC(18:3(6Z,9Z,12Z)/18:1(9Z))	HMDB0008170	Endogenous|Food	Organic compounds	Extracellular|Membrane	781.56215505	C44H80NO8P
m/z=737.5403	1.0	met62127	PC(P-16:0/18:4(6Z,9Z,12Z,15Z))	HMDB0011214	Endogenous|Food	Organic compounds	Extracellular|Membrane	737.5359403	C42H76NO7P
m/z=169.0923	1.0	met70335	1-Methylhistidine	HMDB0000001	Endogenous	Organic compounds	Cytoplasm	169.08512661	C7H11N3O2
m/z=529.2633	1.0	met23242	Glycochenodeoxycholate-3-sulfate	HMDB0002497	Endogenous|Food	Lipids and lipid-like molecules	Extracellular	529.27093805	C26H43NO8S
m/z=529.2633	1.0	met5706	N-[(3a,5b,7a)-3-hydroxy-24-oxo-7-(sulfooxy)cholan-24-yl]-Glycine	HMDB0002496	Endogenous|Food	Lipids and lipid-like molecules	Extracellular	529.27093805	C26H43NO8S
m/z=181.081	1.0	met50143	L-Tyrosine	HMDB0000158	Endogenous	Organic acids and derivatives	Cytoplasm|Extracellular|Mitochondria	181.07389322	C9H11NO3
m/z=164.0765	1.0	met53543	Eugenol	HMDB0005809	Cosmetic|Drug|Food	Benzenoids	Membrane (predicted from logP)	164.08372963	C10H12O2
m/z=187.128	1.0	met24868	N-Heptanoylglycine	HMDB0013010	Endogenous	Organic compounds	NULL	187.12084341	C9H17NO3
m/z=775.5553	0.5	met64675	PE(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	HMDB0011394	Endogenous|Food	Organic compounds	Extracellular|Membrane	775.55159037	C45H78NO7P
m/z=775.5553	0.5	met54624	PE(P-18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))	HMDB0011458	Endogenous|Food	Organic compounds	Extracellular|Membrane	775.55159037	C45H78NO7P
m/z=390.2702	0.5	met70388	7-Hydroxy-3-oxocholanoic acid	HMDB0000460	Endogenous|Food	Lipids and lipid-like molecules	Extracellular	390.2770097	C24H38O4
m/z=390.2702	0.5	met27842	12-Ketodeoxycholic acid	HMDB0000328	Endogenous|Food	Lipids and lipid-like molecules	Extracellular	390.2770097	C24H38O4
