"from","to","cor","p_value","p_adjust","from_id","to_id"
"PM1527","PM1843",1,0.0166666666666667,0.0166944213155704,"Diethyltoluamide","4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone"
"PM1527","PM2336",1,0.0166666666666667,0.0166944213155704,"Diethyltoluamide","Diazinon"
"PM1527","PM2056",1,0.0166666666666667,0.0166944213155704,"Diethyltoluamide","3-Hydroxycarbofuran"
"PM1527","PM1018",1,0.0166666666666667,0.0166944213155704,"Diethyltoluamide","Cyromazine"
"PM1527","PM1979",1,0.0166666666666667,0.0166944213155704,"Diethyltoluamide","Dioxacarb"
"PM1527","PM1019",1,0.0166666666666667,0.0166944213155704,"Diethyltoluamide","Fluorene"
"PM1527","NM3982",1,0.0166666666666667,0.0166944213155704,"Diethyltoluamide","Benzo[k]fluoranthene"
"PM1527","PM2262",1,0.0166666666666667,0.0166944213155704,"Diethyltoluamide","Dibenz[a,j]acridine"
"PM1527","NM4270",0.974679434480896,0.00481823046819854,0.0166944213155704,"Diethyltoluamide","Musk xylene"
"PM1527","PM2295",1,0.0166666666666667,0.0166944213155704,"Diethyltoluamide","Octyl-methoxycinnamate"
"PM1527","PM1149",1,0.0166666666666667,0.0166944213155704,"Diethyltoluamide","Aspirin"
"PM0594","NM0522",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","Hexanoic acid"
"PM0594","PM1049",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","4-Aminobiphenyl"
"PM0594","PM0626",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","o-Toluidine"
"PM0594","PM2000",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","2,4,6-Trinitrotoluene"
"PM0594","PM2540",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","Perfluoroheptanoic acid (PFHpA)"
"PM0594","PM1976",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","Mono-n-butyl phthalate"
"PM0594","PM2619",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","Ethion"
"PM0594","PM2297",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","Parathion"
"PM0594","NM1340",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","4-Nitrophenol"
"PM0594","PM1015",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","Ethylparaben"
"PM0594","PM1499",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","Aldicarb"
"PM0594","PM1849",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","Aminocarb"
"PM0594","PM2255",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","Fenitrothion"
"PM0594","PM1860",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","Ethirimol"
"PM0594","PM2201",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","Diethofencarb"
"PM0594","NM2328",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","Methylparaben"
"PM0594","PM2002",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","Chrysene"
"PM0594","PM1926",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","7H-Benzo[c]fluorene"
"PM0594","PM0834",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","Chloral"
"PM0594","PM1996",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","Cyclopenta[cd]pyrene"
"PM0594","PM0711",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","Dimethyl sulfate"
"PM0594","PM1768",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","2-Amino-3-methylimidazo(4,5-f)quinoline"
"PM0594","PM2807",0.974679434480896,0.00481823046819854,0.0166944213155704,"Diethylene glycol","Fusarin C"
"PM0594","NM4281",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","Saxitoxin"
"PM0594","NM3747",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","Oxybenzone"
"PM0594","NM1240",1,0.0166666666666667,0.0166944213155704,"Diethylene glycol","4-Hydroxybenzoic acid"
"PM1062","PM0799",1,0.0166666666666667,0.0166944213155704,"Decanoic acid","Octanoic acid"
"PM1062","PM0006",1,0.0166666666666667,0.0166944213155704,"Decanoic acid","Pyridine"
"PM1062","PM0034",1,0.0166666666666667,0.0166944213155704,"Decanoic acid","1,4-Dioxane"
"PM1062","PM2260",1,0.0166666666666667,0.0166944213155704,"Decanoic acid","Mono(2-ethylhexyl) phthalate"
"PM1062","PM1890",1,0.0166666666666667,0.0166944213155704,"Decanoic acid","Simetryn"
"PM1062","PM1936",1,0.0166666666666667,0.0166944213155704,"Decanoic acid","Pyracarbolid"
"PM1062","PM0901",-1,0.0166666666666667,0.0166944213155704,"Decanoic acid","Acenaphthylene"
"PM1062","NM2977",1,0.0166666666666667,0.0166944213155704,"Decanoic acid","Phenanthrene"
"PM1062","PM2291",-1,0.0166666666666667,0.0166944213155704,"Decanoic acid","3,3′,4,4′-Tetrachlorobiphenyl (PCB77)"
"PM1062","PM2187",1,0.0166666666666667,0.0166944213155704,"Decanoic acid","Tetrachloronaphthalene"
"PM1062","NM4350",1,0.0166666666666667,0.0166944213155704,"Decanoic acid","Hexachloronaphthalene"
"PM1062","PM2004",1,0.0166666666666667,0.0166944213155704,"Decanoic acid","Bisphenol A"
"PM1062","PM0320",1,0.0166666666666667,0.0166944213155704,"Decanoic acid","N-Nitrosodiethylamine"
"PM1062","PM0682",1,0.0166666666666667,0.0166944213155704,"Decanoic acid","Styrene oxide"
"PM1062","PM2143",1,0.0166666666666667,0.0166944213155704,"Decanoic acid","Enzacamene"
"PM1062","NM4256",1,0.0166666666666667,0.0166944213155704,"Decanoic acid","Diclofenac"
"PM1888","NM4287",1,0.0166666666666667,0.0166944213155704,"Omethoate","Perfluorobutanesulfonic acid (PFBS)"
"PM1888","PM2688",1,0.0166666666666667,0.0166944213155704,"Omethoate","Perfluorohexanesulfonic acid (PFHxS)"
"PM1888","NM3850",1,0.0166666666666667,0.0166944213155704,"Omethoate","Bentazone"
"PM1888","PM2632",1,0.0166666666666667,0.0166944213155704,"Omethoate","1,2,3,7,8,9-Hexachlorodibenzo-P-dioxin"
"PM1888","PM2134",1,0.0166666666666667,0.0166944213155704,"Omethoate","Benzo[a]pyrene"
"PM1888","PM2293",1,0.0166666666666667,0.0166944213155704,"Omethoate","3,4,4',5-Tetrachlorobiphenyl (PCB 81)"
"PM1888","PM2126",1,0.0166666666666667,0.0166944213155704,"Omethoate","Bisphenol S"
"PM1888","PM2384",1,0.0166666666666667,0.0166944213155704,"Omethoate","Zearalenone"
"PM1888","PM1040",1,0.0166666666666667,0.0166944213155704,"Omethoate","4-Ipomeanol"
"PM1888","PM2312",1,0.0166666666666667,0.0166944213155704,"Omethoate","Norethindrone"
"PM1888","PM2158",1,0.0166666666666667,0.0166944213155704,"Omethoate","Tonalid"
"PM0799","PM0006",1,0.0166666666666667,0.0166944213155704,"Octanoic acid","Pyridine"
"PM0799","PM0034",1,0.0166666666666667,0.0166944213155704,"Octanoic acid","1,4-Dioxane"
"PM0799","PM2260",1,0.0166666666666667,0.0166944213155704,"Octanoic acid","Mono(2-ethylhexyl) phthalate"
"PM0799","PM1890",1,0.0166666666666667,0.0166944213155704,"Octanoic acid","Simetryn"
"PM0799","PM1936",1,0.0166666666666667,0.0166944213155704,"Octanoic acid","Pyracarbolid"
"PM0799","PM0901",-1,0.0166666666666667,0.0166944213155704,"Octanoic acid","Acenaphthylene"
"PM0799","NM2977",1,0.0166666666666667,0.0166944213155704,"Octanoic acid","Phenanthrene"
"PM0799","PM2291",-1,0.0166666666666667,0.0166944213155704,"Octanoic acid","3,3′,4,4′-Tetrachlorobiphenyl (PCB77)"
"PM0799","PM2187",1,0.0166666666666667,0.0166944213155704,"Octanoic acid","Tetrachloronaphthalene"
"PM0799","NM4350",1,0.0166666666666667,0.0166944213155704,"Octanoic acid","Hexachloronaphthalene"
"PM0799","PM2004",1,0.0166666666666667,0.0166944213155704,"Octanoic acid","Bisphenol A"
"PM0799","PM0320",1,0.0166666666666667,0.0166944213155704,"Octanoic acid","N-Nitrosodiethylamine"
"PM0799","PM0682",1,0.0166666666666667,0.0166944213155704,"Octanoic acid","Styrene oxide"
"PM0799","PM2143",1,0.0166666666666667,0.0166944213155704,"Octanoic acid","Enzacamene"
"PM0799","NM4256",1,0.0166666666666667,0.0166944213155704,"Octanoic acid","Diclofenac"
"PM0006","PM0034",1,0.0166666666666667,0.0166944213155704,"Pyridine","1,4-Dioxane"
"PM0006","PM2260",1,0.0166666666666667,0.0166944213155704,"Pyridine","Mono(2-ethylhexyl) phthalate"
"PM0006","PM1890",1,0.0166666666666667,0.0166944213155704,"Pyridine","Simetryn"
"PM0006","PM1936",1,0.0166666666666667,0.0166944213155704,"Pyridine","Pyracarbolid"
"PM0006","PM0901",-1,0.0166666666666667,0.0166944213155704,"Pyridine","Acenaphthylene"
"PM0006","NM2977",1,0.0166666666666667,0.0166944213155704,"Pyridine","Phenanthrene"
"PM0006","PM2291",-1,0.0166666666666667,0.0166944213155704,"Pyridine","3,3′,4,4′-Tetrachlorobiphenyl (PCB77)"
"PM0006","PM2187",1,0.0166666666666667,0.0166944213155704,"Pyridine","Tetrachloronaphthalene"
"PM0006","NM4350",1,0.0166666666666667,0.0166944213155704,"Pyridine","Hexachloronaphthalene"
"PM0006","PM2004",1,0.0166666666666667,0.0166944213155704,"Pyridine","Bisphenol A"
"PM0006","PM0320",1,0.0166666666666667,0.0166944213155704,"Pyridine","N-Nitrosodiethylamine"
"PM0006","PM0682",1,0.0166666666666667,0.0166944213155704,"Pyridine","Styrene oxide"
"PM0006","PM2143",1,0.0166666666666667,0.0166944213155704,"Pyridine","Enzacamene"
"PM0006","NM4256",1,0.0166666666666667,0.0166944213155704,"Pyridine","Diclofenac"
