"pHILIC_223.1438_4.1","pHILIC_585.2694_4.9","pHILIC_203.0813_7.2","pHILIC_174.1237_7.5","pHILIC_178.0532_7.5","pHILIC_152.0705_7.6","pHILIC_290.1593_10.7","nHILIC_279.2328_1","nHILIC_160.0615_10.7","nHILIC_281.2484_1","nHILIC_459.1407_2.1","nHILIC_212.0022_3","nHILIC_151.0261_4.3","nHILIC_133.0506_4.4","nHILIC_103.04_4.6","nHILIC_245.0432_6.5","nHILIC_114.0559_7.8","nHILIC_280.0754_8.9","nHILIC_74.0246_9.6","nHILIC_104.0352_9.7","nHILIC_147.0297_10.2","nHILIC_239.0164_12.1","nHILIC_88.988_11","nHILIC_88.0403_8.9","nHILIC_105.0192_7.8","nHILIC_116.0716_7.3","nHILIC_89.0243_5.8","pRPLC_301.1185_5.8","nRPLC_381.1387_4.6","nRPLC_329.2487_10.7","nRPLC_407.2804_9.2","nRPLC_213.1497_8.1","nRPLC_333.2073_7.6","nRPLC_153.0193_2.1","nRPLC_187.007_2.3","nRPLC_149.0607_4.6","nRPLC_155.0713_4.9","nRPLC_381.0762_6","nRPLC_367.1585_8.9","nRPLC_281.1394_9","nRPLC_271.2279_9.6","nRPLC_343.2853_9.8","nRPLC_313.2385_10.3","nRPLC_241.2174_10.5","nRPLC_445.3323_11","nRPLC_399.3268_11.1","nRPLC_357.2801_11.2","nRPLC_311.2957_11.4","nRPLC_297.2799_11.7","nRPLC_269.2487_11","nRPLC_417.3009_10.8","nRPLC_227.2017_10.2","nRPLC_467.2649_8.8","nRPLC_183.139_8.5","nRPLC_199.1703_7.7","nRPLC_165.092_7.2","nRPLC_201.1133_6.3","nRPLC_187.0976_5.4"
1,0.8,0.8,0.6,-0.6,0.1,0,-0.7,-0.6,-0.6,0.1,0.3,0.6,0.6,-0.2,0.4,0.1,0.2,0,-0.9,-0.7,-0.5,-0.3,0.9,0.2,0.3,0.9,0.5,0.7,-0.7,-0.3,-0.3,0.1,-0.5,0.1,0.2,-0.4,0.9,0.2,0.1,-0.3,-0.2,-0.2,-0.3,-0.7,-0.5,-0.6,-0.6,-0.3,-0.3,0.8,-0.4,-0.6,-0.5,-0.1,0,-0.8,-0.7
0.8,1,0.7,0.9,-0.9,-0.1,-0.3,-0.8,-0.6,0,-0.1,-0.3,0.6,0.9,0.2,0.5,-0.1,-0.2,-0.3,-0.6,-0.8,-0.1,0,0.9,-0.2,0,0.6,0.7,0.8,-0.2,-0.3,-0.3,-0.1,-0.1,-0.1,0.7,0.1,0.9,0.7,-0.1,-0.3,0.2,0.2,-0.3,-0.2,-0.7,0,0,0.3,-0.3,1,-0.5,-0.6,-0.1,0.1,0.3,-1,-0.5
0.8,0.7,1,0.5,-0.5,0.6,0.2,-0.7,-0.6,-0.4,0.6,0.3,0.9,0.5,0.3,0.1,-0.4,0.5,-0.3,-0.5,-0.5,-0.1,0.3,0.6,0.5,-0.3,0.9,0.7,0.5,-0.3,-0.2,-0.7,0.5,-0.1,0.5,0.3,-0.6,0.6,0.3,0,0.2,-0.2,0.3,-0.2,-0.3,-0.2,-0.4,-0.4,0,0.2,0.7,-0.1,-0.4,-0.1,-0.5,-0.2,-0.7,-0.8
0.6,0.9,0.5,1,-1,-0.3,-0.1,-0.9,-0.2,0.2,-0.3,-0.4,0.3,1,0.1,0.2,-0.3,-0.5,-0.6,-0.5,-0.5,-0.2,0.1,0.7,-0.5,-0.1,0.3,0.4,0.5,-0.1,0.1,-0.4,0,-0.2,0,0.6,0.3,0.7,0.6,-0.5,-0.1,0.6,0.1,0.1,-0.1,-0.9,0.2,0.2,0.5,-0.1,0.9,-0.2,-0.8,-0.2,0,0.1,-0.9,-0.1
-0.6,-0.9,-0.5,-1,1,0.3,0.1,0.9,0.2,-0.2,0.3,0.4,-0.3,-1,-0.1,-0.2,0.3,0.5,0.6,0.5,0.5,0.2,-0.1,-0.7,0.5,0.1,-0.3,-0.4,-0.5,0.1,-0.1,0.4,0,0.2,0,-0.6,-0.3,-0.7,-0.6,0.5,0.1,-0.6,-0.1,-0.1,0.1,0.9,-0.2,-0.2,-0.5,0.1,-0.9,0.2,0.8,0.2,0,-0.1,0.9,0.1
0.1,-0.1,0.6,-0.3,0.3,1,0.4,0,-0.3,-0.3,1,0.5,0.7,-0.3,0.5,-0.3,-0.5,0.9,-0.1,0.2,0.1,0.3,0.6,-0.2,0.9,-0.6,0.5,0.4,-0.1,0.1,-0.1,-0.6,0.7,0.3,0.7,-0.1,-0.8,-0.2,-0.1,0.2,0.6,-0.5,0.5,-0.1,0.1,0.6,-0.3,-0.3,-0.1,0.6,-0.1,0.3,0.3,0.3,-0.7,-0.4,0.1,-0.6
0,-0.3,0.2,-0.1,0.1,0.4,1,-0.3,0.6,-0.4,0.4,0.7,-0.1,-0.1,-0.3,-0.9,-0.6,0.3,-0.5,-0.1,0.7,-0.5,0.3,-0.4,0.3,-0.3,0.1,-0.5,-0.7,-0.3,0.8,-0.7,0.9,-0.5,0.9,-0.7,-0.6,-0.4,-0.7,-0.6,0.8,0.2,-0.3,0.8,-0.3,0,-0.4,-0.4,-0.2,0.8,-0.3,0.9,-0.4,-0.5,-0.9,-1,0.3,0.2
-0.7,-0.8,-0.7,-0.9,0.9,0,-0.3,1,0.1,0.1,0,0,-0.4,-0.9,0,0.1,0.5,0.2,0.7,0.6,0.3,0.4,-0.2,-0.6,0.2,0.2,-0.5,-0.3,-0.3,0.3,-0.3,0.7,-0.4,0.4,-0.4,-0.3,0.1,-0.6,-0.3,0.6,-0.2,-0.5,0,-0.3,0.3,0.8,0.1,0.1,-0.3,-0.2,-0.8,-0.1,0.9,0.4,0.4,0.3,0.8,0.2
-0.6,-0.6,-0.6,-0.2,0.2,-0.3,0.6,0.1,1,0.2,-0.3,0.1,-0.8,-0.2,-0.4,-0.8,-0.3,-0.4,-0.4,0.3,0.9,-0.3,0.1,-0.7,-0.4,-0.1,-0.7,-0.9,-0.9,0.1,0.9,-0.1,0.3,-0.3,0.3,-0.6,0.2,-0.7,-0.6,-0.7,0.5,0.6,-0.4,0.9,0.1,-0.1,0.2,0.2,0.1,0.5,-0.6,0.8,-0.2,-0.3,-0.3,-0.6,0.6,0.9
-0.6,0,-0.4,0.2,-0.2,-0.3,-0.4,0.1,0.2,1,-0.3,-0.9,-0.2,0.2,0.6,0,-0.3,-0.6,-0.4,0.7,0.1,0.7,0.5,-0.3,-0.6,-0.5,-0.7,0.1,-0.1,0.9,0.1,0.1,-0.3,0.7,-0.3,0.6,0.8,-0.3,0.6,-0.3,0.1,0.6,0.6,0.1,0.9,-0.1,1,1,0.9,0.1,0,0,0.2,0.7,0.3,0.4,0,0.5
0.1,-0.1,0.6,-0.3,0.3,1,0.4,0,-0.3,-0.3,1,0.5,0.7,-0.3,0.5,-0.3,-0.5,0.9,-0.1,0.2,0.1,0.3,0.6,-0.2,0.9,-0.6,0.5,0.4,-0.1,0.1,-0.1,-0.6,0.7,0.3,0.7,-0.1,-0.8,-0.2,-0.1,0.2,0.6,-0.5,0.5,-0.1,0.1,0.6,-0.3,-0.3,-0.1,0.6,-0.1,0.3,0.3,0.3,-0.7,-0.4,0.1,-0.6
0.3,-0.3,0.3,-0.4,0.4,0.5,0.7,0,0.1,-0.9,0.5,1,0.1,-0.4,-0.5,-0.4,0,0.7,0.2,-0.4,0.3,-0.6,-0.2,-0.1,0.7,0.2,0.5,-0.3,-0.3,-0.7,0.2,-0.3,0.6,-0.6,0.6,-0.8,-0.9,-0.1,-0.8,0.1,0.3,-0.5,-0.5,0.2,-0.7,0.3,-0.9,-0.9,-0.8,0.3,-0.3,0.4,-0.1,-0.6,-0.6,-0.7,0.3,-0.3
0.6,0.6,0.9,0.3,-0.3,0.7,-0.1,-0.4,-0.8,-0.2,0.7,0.1,1,0.3,0.6,0.3,-0.3,0.6,-0.1,-0.2,-0.6,0.3,0.4,0.5,0.6,-0.4,0.8,0.9,0.6,0,-0.5,-0.5,0.3,0.3,0.3,0.5,-0.5,0.5,0.5,0.3,0.1,-0.4,0.6,-0.5,0,0.1,-0.2,-0.2,0.1,0.1,0.6,-0.3,0,0.3,-0.3,0.1,-0.6,-0.9
