"from","to","Correlation","p_value","fdr","from_name","to_name","from_number","to_number"
"NM0104","class_Bacilli",1,0.0166666666666667,1.77815125038364,"Ethyl carbamate","class_Bacilli",3,32
"NM0104","order_Lactobacillales",1,0.0166666666666667,1.77815125038364,"Ethyl carbamate","order_Lactobacillales",3,32
"NM0104","family_Streptococcaceae",1,0.0166666666666667,1.77815125038364,"Ethyl carbamate","family_Streptococcaceae",3,32
"NM0522","class_Betaproteobacteria",-1,0.0166666666666667,1.77815125038364,"Hexanoic acid","class_Betaproteobacteria",11,34
"NM0522","order_Burkholderiales",-1,0.0166666666666667,1.77815125038364,"Hexanoic acid","order_Burkholderiales",11,34
"NM0522","family_Clostridiaceae.1",1,0.0166666666666667,1.77815125038364,"Hexanoic acid","family_Clostridiaceae.1",11,34
"NM0522","family_Rikenellaceae",1,0.0166666666666667,1.77815125038364,"Hexanoic acid","family_Rikenellaceae",11,34
"NM0522","family_Sutterellaceae",-1,0.0166666666666667,1.77815125038364,"Hexanoic acid","family_Sutterellaceae",11,34
"NM0522","genus_Alistipes",1,0.0166666666666667,1.77815125038364,"Hexanoic acid","Alistipes",11,34
"NM0522","genus_Clostridium.sensu.stricto",1,0.0166666666666667,1.77815125038364,"Hexanoic acid","Clostridium.sensu.stricto",11,34
"NM0522","genus_Eggerthella",1,0.0166666666666667,1.77815125038364,"Hexanoic acid","Eggerthella",11,34
"NM0522","genus_Odoribacter",1,0.0166666666666667,1.77815125038364,"Hexanoic acid","Odoribacter",11,34
"NM0522","genus_Parasutterella",1,0.0166666666666667,1.77815125038364,"Hexanoic acid","Parasutterella",11,34
"NM0522","genus_Roseburia",-1,0.0166666666666667,1.77815125038364,"Hexanoic acid","Roseburia",11,34
"NM1145","genus_Barnesiella",-1,0.0166666666666667,1.77815125038364,"4-Nitrotoluene","Barnesiella",3,12
"NM1145","genus_Clostridium.IV",-1,0.0166666666666667,1.77815125038364,"4-Nitrotoluene","Clostridium.IV",3,12
"NM1145","genus_unclassified_Ruminococcaceae",-1,0.0166666666666667,1.77815125038364,"4-Nitrotoluene","unclassified_Ruminococcaceae",3,12
"NM1240","family_Peptostreptococcaceae",-1,0.0166666666666667,1.77815125038364,"4-Hydroxybenzoic acid","family_Peptostreptococcaceae",5,29
"NM1240","family_unclassified_Clostridiales",1,0.0166666666666667,1.77815125038364,"4-Hydroxybenzoic acid","family_unclassified_Clostridiales",5,29
"NM1240","genus_Clostridium.XI",-1,0.0166666666666667,1.77815125038364,"4-Hydroxybenzoic acid","Clostridium.XI",5,29
"NM1240","genus_Clostridium.XlVa",-1,0.0166666666666667,1.77815125038364,"4-Hydroxybenzoic acid","Clostridium.XlVa",5,29
"NM1240","genus_unclassified_Clostridiales",1,0.0166666666666667,1.77815125038364,"4-Hydroxybenzoic acid","unclassified_Clostridiales",5,29
"NM1340","class_Betaproteobacteria",-1,0.0166666666666667,1.77815125038364,"4-Nitrophenol","class_Betaproteobacteria",11,34
"NM1340","order_Burkholderiales",-1,0.0166666666666667,1.77815125038364,"4-Nitrophenol","order_Burkholderiales",11,34
"NM1340","family_Clostridiaceae.1",1,0.0166666666666667,1.77815125038364,"4-Nitrophenol","family_Clostridiaceae.1",11,34
"NM1340","family_Rikenellaceae",1,0.0166666666666667,1.77815125038364,"4-Nitrophenol","family_Rikenellaceae",11,34
"NM1340","family_Sutterellaceae",-1,0.0166666666666667,1.77815125038364,"4-Nitrophenol","family_Sutterellaceae",11,34
"NM1340","genus_Alistipes",1,0.0166666666666667,1.77815125038364,"4-Nitrophenol","Alistipes",11,34
"NM1340","genus_Clostridium.sensu.stricto",1,0.0166666666666667,1.77815125038364,"4-Nitrophenol","Clostridium.sensu.stricto",11,34
"NM1340","genus_Eggerthella",1,0.0166666666666667,1.77815125038364,"4-Nitrophenol","Eggerthella",11,34
"NM1340","genus_Odoribacter",1,0.0166666666666667,1.77815125038364,"4-Nitrophenol","Odoribacter",11,34
"NM1340","genus_Parasutterella",1,0.0166666666666667,1.77815125038364,"4-Nitrophenol","Parasutterella",11,34
"NM1340","genus_Roseburia",-1,0.0166666666666667,1.77815125038364,"4-Nitrophenol","Roseburia",11,34
"NM1446","class_Betaproteobacteria",-1,0.0166666666666667,1.77815125038364,"Trimethyl Phosphate","class_Betaproteobacteria",11,34
"NM1446","order_Burkholderiales",-1,0.0166666666666667,1.77815125038364,"Trimethyl Phosphate","order_Burkholderiales",11,34
"NM1446","family_Clostridiaceae.1",1,0.0166666666666667,1.77815125038364,"Trimethyl Phosphate","family_Clostridiaceae.1",11,34
"NM1446","family_Rikenellaceae",1,0.0166666666666667,1.77815125038364,"Trimethyl Phosphate","family_Rikenellaceae",11,34
"NM1446","family_Sutterellaceae",-1,0.0166666666666667,1.77815125038364,"Trimethyl Phosphate","family_Sutterellaceae",11,34
