"from","to","Correlation","p_value","fdr"
"NM1254","Triglyceride._Ser.Plas",-0.974679434480896,0.00481823046819854,2.31711243043294
"NM2680","Triglyceride._Ser.Plas",1,0.0166666666666667,1.77815125038364
"PM1307","Triglyceride._Ser.Plas",-1,0.0166666666666667,1.77815125038364
"PM2541","BASO._.",-1,0.0166666666666667,1.77815125038364
"PM2541","BASOS._ABS",-1,0.0166666666666667,1.77815125038364
"PM3067","MCH",1,0.0166666666666667,1.77815125038364
"PM3067","MCHC",1,0.0166666666666667,1.77815125038364
"PM3067","MONO._.",-1,0.0166666666666667,1.77815125038364
"PM3067","MONO._ABS",-1,0.0166666666666667,1.77815125038364
"PM3067","Creatinine._Ser.Plas",-1,0.0166666666666667,1.77815125038364
"PM3067","eGFR",0.974679434480896,0.00481823046819854,1.9191724217609
"PM3067","Glucose._Ser.Plas",0.974679434480896,0.00481823046819854,1.9191724217609
"PM3067","Anion_Gap",-1,0.0166666666666667,1.77815125038364
"PM3067","Hemoglobin_A1c",-0.974679434480896,0.00481823046819854,1.9191724217609
"PM3067","High_Sensitivity_CRP",0.974679434480896,0.00481823046819854,1.9191724217609
"NM1254","IL17A",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","GROA",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","MCP3",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1446","IL17A",-1,0.0166666666666667,1.77815125038364
"NM1446","MCP3",-1,0.0166666666666667,1.77815125038364
"NM1550","IL6",1,0.0166666666666667,1.77815125038364
"NM1550","NGF",1,0.0166666666666667,1.77815125038364
"NM1550","IL12P40",1,0.0166666666666667,1.77815125038364
"NM1550","IL15",1,0.0166666666666667,1.77815125038364
"NM1550","ICAM1",1,0.0166666666666667,1.77815125038364
"NM2680","IL17A",-1,0.0166666666666667,1.77815125038364
"NM2680","MCP3",-1,0.0166666666666667,1.77815125038364
"NM3057","FASL",1,0.0166666666666667,1.77815125038364
"NM3057","IL27",1,0.0166666666666667,1.77815125038364
"NM3057","IL4",1,0.0166666666666667,1.77815125038364
"NM3057","IL5",1,0.0166666666666667,1.77815125038364
"NM3057","IL7",1,0.0166666666666667,1.77815125038364
"NM3057","IFNB",1,0.0166666666666667,1.77815125038364
"NM3057","IL13",1,0.0166666666666667,1.77815125038364
"NM3057","IL31",1,0.0166666666666667,1.77815125038364
"NM3057","IFNG",1,0.0166666666666667,1.77815125038364
"NM3057","GCSF",1,0.0166666666666667,1.77815125038364
"NM4303","CHEX4",-0.974679434480896,0.00481823046819854,2.31711243043294
"NM4337","IL17A",1,0.0166666666666667,1.77815125038364
"NM4337","MCP3",1,0.0166666666666667,1.77815125038364
"PM1171","IL23",1,0.0166666666666667,1.77815125038364
"PM1880","IL6",1,0.0166666666666667,1.77815125038364
"PM1880","NGF",1,0.0166666666666667,1.77815125038364
"PM1880","IL12P40",1,0.0166666666666667,1.77815125038364
"PM1880","IL15",1,0.0166666666666667,1.77815125038364
"PM1880","ICAM1",1,0.0166666666666667,1.77815125038364
"PM1935","IL17A",1,0.0166666666666667,1.77815125038364
"PM1935","MCP3",1,0.0166666666666667,1.77815125038364
"PM2296","EGF",1,0.0166666666666667,1.77815125038364
"PM2296","CD40L",1,0.0166666666666667,1.77815125038364
