"node","Class","true_name","Degree"
"exposome_genus_Albophoma","Exposome (biological)","Albophoma","1"
"exposome_genus_Cyberlindnera","Exposome (biological)","Cyberlindnera","6"
"exposome_genus_Ornithinibacillus","Exposome (biological)","Ornithinibacillus","1"
"exposome_genus_Rhinocladiella","Exposome (biological)","Rhinocladiella","2"
"genus_unclassified_Erysipelotrichaceae","Gut microbiome","unclassified_Erysipelotrichaceae","10"
"genus_Clostridium.XVIII","Gut microbiome","Clostridium.XVIII","2"
"class_Deltaproteobacteria","Gut microbiome","class_Deltaproteobacteria","2"
"order_Desulfovibrionales","Gut microbiome","order_Desulfovibrionales","2"
"family_Desulfovibrionaceae","Gut microbiome","family_Desulfovibrionaceae","2"
"genus_unclassified_Porphyromonadaceae","Gut microbiome","unclassified_Porphyromonadaceae","2"
