"node","Class","true_name","Degree"
"SDF1A","Cytokine","SDF1A","4"
"IL1A","Cytokine","IL1A","4"
"RESISTIN","Cytokine","RESISTIN","4"
"exposome_genus_Chryseobacterium","Exposome (biological)","Chryseobacterium","43"
"exposome_genus_Arabis","Exposome (biological)","Arabis","42"
"exposome_genus_Corynebacterium","Exposome (biological)","Corynebacterium","42"
"exposome_genus_Rubrobacter","Exposome (biological)","Rubrobacter","76"
"pHILIC_752.5554_4.3","Metabolome","PE(P-38:4)","4"
"pHILIC_792.5536_4.5","Metabolome","PC(37:6)","4"
"pHILIC_585.2694_4.9","Metabolome","Bilirubin","4"
"pHILIC_834.5975_5","Metabolome","PC(40:6)(1)","4"
"pHILIC_754.5367_5.1","Metabolome","PC(34:4)","4"
"pHILIC_786.5972_5.1","Metabolome","PC(36:2)","4"
"pHILIC_758.5668_5.1","Metabolome","PC(34:2)","4"
"pHILIC_746.5694_5.1","Metabolome","PC(33:1)","4"
"pHILIC_732.5525_5.1","Metabolome","PC(32:1)","4"
"pHILIC_203.0813_7.2","Metabolome","C11H12N2O3(3)","4"
"pHILIC_163.0534_7.5","Metabolome","C5H10N2O2S","4"
"nHILIC_224.0617_4.8","Metabolome","""Androstenediol (3beta,17beta) disulfate""","4"
"nHILIC_245.0431_7.2","Metabolome","C7H14O7(1)","4"
"nHILIC_133.0506_4.4","Metabolome","""2,3-Dihydroxyvaleric acid(1)""","4"
"nHILIC_742.5417_4.6","Metabolome","PE(36:2)","4"
"nHILIC_105.0192_7.8","Metabolome","Glyceric acid","4"
"nHILIC_360.1302_7.8","Metabolome","C15H23NO9","4"
"pRPLC_169.0971_1.6","Metabolome","Cyclo(ala-pro)","4"
"pRPLC_211.144_4.6","Metabolome","C11H18N2O2(2)","4"
"pRPLC_315.1341_7.4","Metabolome","C17H18N2O4(1)","4"
"pRPLC_494.324_9.5","Metabolome","LysoPC(16:1)","4"
"pRPLC_454.2927_9.9","Metabolome","LysoPE(16:0)","4"
"pRPLC_504.3082_10","Metabolome","LysoPE(20:3)","4"
"pRPLC_572.3708_10.3","Metabolome","LysoPC(22:4)","4"
"pRPLC_482.3238_10.5","Metabolome","LysoPE(18:0)","4"
"pRPLC_552.402_11.1","Metabolome","LysoPC(20:0)","4"
"nRPLC_478.2939_10.1","Metabolome","LysoPE(18:1)","4"
"nRPLC_508.3404_10.6","Metabolome","LysoPE(20:0)","4"
"nRPLC_609.5098_10.5","Metabolome","Unknown_nRPLC_667.5325_10.5 (contains C18:2 FA)","4"
"nRPLC_375.254_10.2","Metabolome","MG(20:5)","4"
"nRPLC_453.3223_9.8","Metabolome","C26H46O6(2)","4"
"nRPLC_369.1729_8.9","Metabolome","Androsterone sulfate(2)","4"
"nRPLC_165.092_7","Metabolome","C10:3 FA(1)","4"
"F2","Proteome","F2","4"
"F12","Proteome","F12","4"
"C8A","Proteome","C8A","4"
"CFH","Proteome","CFH","4"
"FBLN1","Proteome","FBLN1","4"
"INPP5E","Proteome","INPP5E","4"
