ID,Name,Classification,Synonyms,Level,Description,CAS Number,PubChem ID,ChEBI ID,FooDB ID,HMDB ID,SMILES,Formula,InChI,InChIKey,Average mass,Mono. mass,No. of Publications,No. of Concentration values,No. of Reproducibility values,No. of Correlation values,No. of Metabolomic associations,No. of Microbiota associations,No. of Cancer associations
1,Polyphenols,Phenylpropanoids and polyketides,,Combined,,,,,,,,,,,,,6,18,0,23,0,0,1
4,Daidzein,Isoflavones,,Single,,486-66-8,5281708,28197,FDB002608,HMDB0003312,OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,C15H10O4,"InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8,16-17H",ZQSIJRDFPHDXIC-UHFFFAOYSA-N,254.241,254.057908802,45,46,5,73,0,2,23
3,Genistein,Isoflavones,,Single,,446-72-0,5280961,28088,FDB011828,HMDB0003217,OC1=CC=C(C=C1)C1=COC2=CC(O)=CC(O)=C2C1=O,C15H10O5,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-7,16-18H",TZBJGXHYKVUXJN-UHFFFAOYSA-N,270.24,270.052823422,43,44,5,75,0,0,25
15,Glycitein,Isoflavones,,Single,,40957-83-3,5317750,34778,FDB000698,HMDB0005781,COC1=C(O)C=C2OC=C(C(=O)C2=C1)C1=CC=C(O)C=C1,C16H12O5,"InChI=1S/C16H12O5/c1-20-15-6-11-14(7-13(15)18)21-8-12(16(11)19)9-2-4-10(17)5-3-9/h2-8,17-18H,1H3",DXYUAIFZCFRPTH-UHFFFAOYSA-N,284.267,284.068473486,14,13,0,18,0,0,14
17,O-Desmethylangolensin,Alpha-methyldeoxybenzoin flavonoids,ODMA,Single,Metabolite of daidzein.,21255-69-6,89472,88902,FDB023387,HMDB0004629,CC(C(=O)C1=C(O)C=C(O)C=C1)C1=CC=C(O)C=C1,C15H14O4,"InChI=1S/C15H14O4/c1-9(10-2-4-11(16)5-3-10)15(19)13-7-6-12(17)8-14(13)18/h2-9,16-18H,1H3",JDJPNKPFDDUBFV-UHFFFAOYSA-N,258.2693,258.089208936,21,25,2,27,0,4,11
10,Equol,Isoflavanols,"4',7-Dihydroxyisoflavan; 4',7-Isoflavandiol",Single,Product of intestinal bacterial metabolism of dietary isoflavones (pmid:12468591).,531-95-3,91469,34741,FDB021824,HMDB0002209,OC1=CC=C(C=C1)[C@H]1COC2=C(C1)C=CC(O)=C2,C15H14O3,"InChI=1S/C15H14O3/c16-13-4-1-10(2-5-13)12-7-11-3-6-14(17)8-15(11)18-9-12/h1-6,8,12,16-17H,7,9H2/t12-/m1/s1",ADFCQWZHKCXPAJ-GFCCVEGCSA-N,242.2699,242.094294314,36,28,4,31,0,10,20
5,Isoflavones,Isoflavones,,Combined,,,,,,,,,,,,,19,25,1,65,0,0,8
36,Lignans,Oxatriazolidines,,Combined,,,,25036,,,,,,,,,9,4,0,20,0,0,6
30,Enterodiol,Dibenzylbutanediol lignans,(-)-Enterodiol,Single,,80226-00-2,115089,81556,FDB021828,HMDB0005056,OC[C@H](CC1=CC(O)=CC=C1)[C@H](CO)CC1=CC(O)=CC=C1,C18H22O4,"InChI=1S/C18H22O4/c19-11-15(7-13-3-1-5-17(21)9-13)16(12-20)8-14-4-2-6-18(22)10-14/h1-6,9-10,15-16,19-22H,7-8,11-12H2/t15-,16-/m0/s1",DWONJCNDULPHLV-HOTGVXAUSA-N,302.3649,302.151809192,17,14,2,50,0,1,13
31,Enterolactone,Dibenzylbutyrolactone lignans,(-)-Enterolactone,Single,Mostly measured after enzymatic hydrolysis.,78473-71-9,10685477,81555,FDB002488,HMDB0006101,OC1=CC=CC(C[C@H]2COC(=O)[C@@H]2CC2=CC(O)=CC=C2)=C1,C18H18O4,"InChI=1S/C18H18O4/c19-15-5-1-3-12(8-15)7-14-11-22-18(21)17(14)10-13-4-2-6-16(20)9-13/h1-6,8-9,14,17,19-20H,7,10-11H2/t14-,17+/m0/s1",HVDGDHBAMCBBLR-WMLDXEAASA-N,298.3331,298.120509064,48,25,13,100,0,3,35
18,Dihydrodaidzein,Isoflavanones,,Single,,17238-05-0,176907,75842,FDB023752,HMDB0005760,OC1=CC=C(C=C1)C1COC2=C(C=CC(O)=C2)C1=O,C15H12O4,"InChI=1S/C15H12O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-7,13,16-17H,8H2",JHYXBPPMXZIHKG-UHFFFAOYSA-N,256.2534,256.073558872,7,3,0,10,0,5,0
78,Phloretin,2'-Hydroxy-dihydrochalcones,,Single,,60-82-2,4788,17276,FDB015553,HMDB0003306,OC1=CC=C(CCC(=O)C2=C(O)C=C(O)C=C2O)C=C1,C15H14O5,"InChI=1S/C15H14O5/c16-10-4-1-9(2-5-10)3-6-12(18)15-13(19)7-11(17)8-14(15)20/h1-2,4-5,7-8,16-17,19-20H,3,6H2",VGEREEWJJVICBM-UHFFFAOYSA-N,274.2687,274.084123558,4,3,0,49,0,0,0
