ID,Name,Classification,Synonyms,Level,Description,CAS Number,PubChem ID,ChEBI ID,FooDB ID,HMDB ID,SMILES,Formula,InChI,InChIKey,Average mass,Mono. mass,No. of Microbiota associations,No. of Experimental evidences,Reduced by antibiotics (No. of Publications),Reduced in germ-free animals (No. of Publications),Produced by human faecal bacteria (No. of Publications)
2,Quercetin,Flavonols,,Single,,117-39-5,5280343,16243,FDB011904,HMDB0005794,OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C=C2)=C1,C15H10O7,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N,302.2357,302.042652674,5,2,0,1,3
4,Daidzein,Isoflavones,,Single,,486-66-8,5281708,28197,FDB002608,HMDB0003312,OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,C15H10O4,"InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8,16-17H",ZQSIJRDFPHDXIC-UHFFFAOYSA-N,254.241,254.057908802,2,2,1,0,1
10,Equol,Isoflavanols,"4',7-Dihydroxyisoflavan; 4',7-Isoflavandiol",Single,Product of intestinal bacterial metabolism of dietary isoflavones (pmid:12468591).,531-95-3,91469,34741,FDB021824,HMDB0002209,OC1=CC=C(C=C1)[C@H]1COC2=C(C1)C=CC(O)=C2,C15H14O3,"InChI=1S/C15H14O3/c16-13-4-1-10(2-5-13)12-7-11-3-6-14(17)8-15(11)18-9-12/h1-6,8,12,16-17H,7,9H2/t12-/m1/s1",ADFCQWZHKCXPAJ-GFCCVEGCSA-N,242.2699,242.094294314,10,3,1,2,2
17,O-Desmethylangolensin,Alpha-methyldeoxybenzoin flavonoids,ODMA,Single,Metabolite of daidzein.,21255-69-6,89472,88902,FDB023387,HMDB0004629,CC(C(=O)C1=C(O)C=C(O)C=C1)C1=CC=C(O)C=C1,C15H14O4,"InChI=1S/C15H14O4/c1-9(10-2-4-11(16)5-3-10)15(19)13-7-6-12(17)8-14(13)18/h2-9,16-18H,1H3",JDJPNKPFDDUBFV-UHFFFAOYSA-N,258.2693,258.089208936,4,3,1,1,2
18,Dihydrodaidzein,Isoflavanones,,Single,,17238-05-0,176907,75842,FDB023752,HMDB0005760,OC1=CC=C(C=C1)C1COC2=C(C=CC(O)=C2)C1=O,C15H12O4,"InChI=1S/C15H12O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-7,13,16-17H,8H2",JHYXBPPMXZIHKG-UHFFFAOYSA-N,256.2534,256.073558872,5,3,1,1,2
19,Dihydrogenistein,Isoflavanones,,Single,,21554-71-2,9838356,34707,FDB023788,HMDB0005897,OC1=CC=C(C=C1)C1COC2=CC(O)=CC(O)=C2C1=O,C15H12O5,"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-6,11,16-18H,7H2",UQGVUYNHDKMLSE-UHFFFAOYSA-N,272.2528,272.068473494,6,2,0,1,1
20,Kaempferol,Flavonols,,Single,,520-18-3,5280863,28499,FDB000633,HMDB0005801,OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O1)C=C(O)C=C2O,C15H10O6,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N,286.2363,286.047738052,2,1,0,0,1
21,Naringenin,Flavanones,(S)-Naringenin,Single,,480-41-1,439246,17846,FDB000678,HMDB0002670,[H][C@]1(CC(=O)C2=C(O1)C=C(O)C=C2O)C1=CC=C(O)C=C1,C15H12O5,"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2/t13-/m0/s1",FTVWIRXFELQLPI-ZDUSSCGKSA-N,272.2528,272.068473494,1,1,0,0,1
30,Enterodiol,Dibenzylbutanediol lignans,(-)-Enterodiol,Single,,80226-00-2,115089,81556,FDB021828,HMDB0005056,OC[C@H](CC1=CC(O)=CC=C1)[C@H](CO)CC1=CC(O)=CC=C1,C18H22O4,"InChI=1S/C18H22O4/c19-11-15(7-13-3-1-5-17(21)9-13)16(12-20)8-14-4-2-6-18(22)10-14/h1-6,9-10,15-16,19-22H,7-8,11-12H2/t15-,16-/m0/s1",DWONJCNDULPHLV-HOTGVXAUSA-N,302.3649,302.151809192,1,1,0,0,1
31,Enterolactone,Dibenzylbutyrolactone lignans,(-)-Enterolactone,Single,Mostly measured after enzymatic hydrolysis.,78473-71-9,10685477,81555,FDB002488,HMDB0006101,OC1=CC=CC(C[C@H]2COC(=O)[C@@H]2CC2=CC(O)=CC=C2)=C1,C18H18O4,"InChI=1S/C18H18O4/c19-15-5-1-3-12(8-15)7-14-11-22-18(21)17(14)10-13-4-2-6-16(20)9-13/h1-6,8-9,14,17,19-20H,7,10-11H2/t14-,17+/m0/s1",HVDGDHBAMCBBLR-WMLDXEAASA-N,298.3331,298.120509064,3,2,0,1,1
