"name","mz","rt"
"NM0041",83.8980055774416,276.8025
"NM0044",84.2724216262857,277.861
"NM0045",84.6493480081525,278.3665
"NM0046",84.99002740758,68.153
"NM0074",87.0444023175031,50.9435
"NM0104",88.2397326841174,291.77
"NM0108",88.6172795474611,284.454
"NM0110",88.6436341922909,290.047
"NM0128",89.4330213032674,66.1243
"NM0129",89.4330684264943,284.0715
"NM0130",89.6664673041243,353.757
"NM0131",89.7694386251744,540.9585
"NM0132",89.8451588102844,66.2341
"NM0133",89.8451650476146,284.454
"NM0137",90.0802042928899,353.026
"NM0138",90.1838991269614,539.5315
"NM0139",90.2601219480026,65.3758
"NM0140",90.2601621677441,283.674
"NM0141",90.6012463034893,539.123
"NM0142",90.6780021285586,64.7912
"NM0143",90.6780241395603,283.286
"NM0144",90.9505531209539,539.116
"NM0145",90.9978174256263,540.546
"NM0146",91.0214226784844,547.419
"NM0151",91.0303832320879,542.038
"NM0152",91.0451185310989,539.96
"NM0153",91.0924671367294,536.9155
"NM0154",91.0987685201759,284.136
"NM0156",91.8707499004311,541.0455
"NM0157",92.0210703148392,538.491
"NM0160",92.2998446226733,539.2855
"NM0161",92.5997836530488,288.714
"NM0162",92.7319758131202,539.452
"NM0170",92.9606724153317,281.3825
"NM0173",93.0094678849452,281.401
"NM0175",93.0339883616243,282.5125
"NM0178",93.0431616798764,280.805
"NM0179",93.0583568653297,281.252
"NM0180",93.1072189659706,278.949
"NM0181",93.1671174606031,540.1135
"NM0182",93.4712960919792,288.714
"NM0183",93.6053747759488,538.259
"NM0184",93.6459678648429,279.3845
"NM0185",93.9116661234252,288.714
"NM0189",94.0373733832702,282.2615
"NM0191",94.532360384319,280.168
"NM0192",94.7882756471238,267.07
"NM0207",95.0559855005311,278.491
"NM0214",96.343258741406,279.7805
"NM0216",96.6255536064132,460.8835
"NM0217",96.8041190023631,279.3845
"NM0241",97.4248418251196,266.6405
"NM0244",97.5546138698325,367.193
"NM0243",97.5546817046758,457.202
"NM0245",97.7357799264235,279.869
"NM0262",98.840972185791,266.475
"NM0263",98.9553110738428,267.393
"NM0266",98.9714172264211,319.574
"NM0275",99.0081863895076,951.657
"NM0284",99.081026642552,278.4455
"NM0286",99.4859398543519,1030.195
"NM0287",99.4884000122783,280.397
"NM0302",100.080830303895,294.499
"NM0303",100.532552603908,358.282
"NM0304",100.532592564603,282.895
"NM0305",100.56871649596,296.9355
"NM0306",100.569925637039,348.385
"NM0309",100.987438595433,428.339
"NM0311",100.987459439403,281.876
"NM0315",101.060238428948,281.744
"NM0318",101.532508776227,283.2835
"NM0321",101.555423380631,294.68
"NM0320",101.556633612627,351.927
"NM0319",101.556682765508,53.69085
"NM0322",101.82810785349,346.398
"NM0338",102.533468640386,66.2341
"NM0339",102.533473374795,283.674
"NM0341",102.557953527245,351.795
"NM0340",102.557987807534,53.0542
"NM0354",103.549293214484,65.515
"NM0355",103.5493185284,284.0715
"NM0356",103.574145204417,350.356
"NM0362",104.062886786996,65.8435
"NM0367",104.580253146572,283.3005
"NM0366",104.580258189159,65.4346
"NM0369",104.974303919178,276.048
"NM0377",105.626714842844,279.913
"NM0386",106.342277359539,341.2295
"NM0387",106.491484635568,287.171
"NM0394",108.021135857988,441.729
"NM0430",111.780078738454,269.181
"NM0431",111.827626647918,68.2756
"NM0432",112.00348818226,271.018
"NM0443",112.356155280522,268.922
"NM0444",112.404114848332,68.2079
"NM0445",112.478710678185,54.6589
"NM0461",113.043176416045,64.7934
"NM0467",113.161447260192,174.728
"NM0469",113.298391364175,297.395
"NM0471",113.570422427839,68.0858
