"name","mz","rt","Candidate.number","Compound.name","CAS.ID","HMDB.ID","KEGG.ID","Lab.ID","Adduct","mz.error","mz.match.score","RT.error","RT.match.score","CE","SS","Total.score","Database"
"nHILIC_174.0883_10.1",174.0883,40,1,"Isoprocarb","NA","NA","NA","Isoprocarb","(M-H2O-H)-","9.5","0.9303448","NA","NA","NA","0","0.9303448","list1_ms1_database"
"nHILIC_279.2328_1",279.2328,92,1,"Linoleic acid","NA","NA","NA","T3D4928","(M-H)-","0.32567","0.9999152","NA","NA","NA","0","0.9999152","t3db_ms1_database"
"nHILIC_441.1596_3.7",441.1596,11,1,"Cortisol 21-sulfate","1253-43-6","HMDB0062779","NA","HMDB0062779","(M-H)-","1.724773","0.997623","NA","NA","NA","0","0.997623","hmdbMS1Database0.0.1"
"nHILIC_151.0611_5.4",151.0611,10,1,"ortho-Phenylphenol","NA","NA","NA","ortho-Phenylphenol","(M-H2O-H)-","15","0.8352702","NA","NA","NA","0","0.8352702","list1_ms1_database"
"nHILIC_204.0665_5.1",204.0665,40,1,"Dioxacarb","NA","NA","NA","Dioxacarb","(M-H2O-H)-","1","0.9992003","NA","NA","NA","0","0.9992003","list1_ms1_database"
"nHILIC_512.2684_5.7",512.2684,22,1,"Sulfolithocholylglycine","15324-64-8","HMDB0002639","C11301","HMDB0002639","(M-H)-","0.6313585","0.9996812","NA","NA","NA","0","0.9996812","hmdbMS1Database0.0.1"
"nHILIC_194.0458_6.6",194.0458,40,1,"Chlorpropham","NA","NA","NA","Chlorpropham","(M-H2O-H)-","20.25","0.720327","NA","NA","NA","0","0.720327","list2_ms1_database"
"nHILIC_245.0431_7.2",245.0431,50,1,"Pimpinellin","NA","NA","NA","T3D0822","(M-H)-","6.058575","0.9710619","NA","NA","NA","0","0.9710619","t3db_ms1_database"
"nHILIC_190.0356_10.6",190.0356,0,1,"Nitrilotriacetic Acid","NA","NA","NA","T3D4705","(M-H)-","0.2175625","0.9999621","NA","NA","NA","0","0.9999621","t3db_ms1_database"
"nHILIC_160.0615_10.7",160.0615,0,1,"Aminoadipic acid","NA","NA","NA","T3D4259","(M-H)-","0.0196125","0.9999997","NA","NA","NA","0","0.9999997","t3db_ms1_database"
"nHILIC_133.0142_10.4",133.0142,30,1,"Xanthine","NA","NA","NA","T3D4409","(M-H2O-H)-","3.31348","0.9912551","NA","NA","NA","0","0.9912551","t3db_ms1_database"
"nHILIC_165.0403_11",165.0403,50,1,"Fuberidazole","NA","NA","NA","Fuberidazole","(M-H2O-H)-","14.5","0.8451848","NA","NA","NA","0","0.8451848","list1_ms1_database"
"nHILIC_401.0758_7.6",401.0758,10,1,"4'-Phosphopantothenoylcysteine","7196-09-0","HMDB0001117","C04352","HMDB0001117","(M-H)-","7.698161","0.9536969","NA","NA","NA","0","0.9536969","hmdbMS1Database0.0.1"
"nHILIC_119.0349_5.7",119.0349,90,1,"2-Nitroaniline","NA","NA","NA","2-Nitroaniline","(M-H2O-H)-","24.5","0.6186596","NA","NA","NA","0","0.6186596","list2_ms1_database"
"nHILIC_188.9862_0.9",188.9862,89,1,"cis/trans-3-(2,2-Dichlorovinyl)-2,2-dimethylcylopropane carboxylic acid (DCCA)","NA","NA","NA","cis/trans-3-(2,2-Dichlorovinyl)-2,2-dimethylcylopropane carboxylic acid (DCCA)","(M-H2O-H)-","4.75","0.9821119","NA","NA","NA","0","0.9821119","list1_ms1_database"
"nHILIC_281.2484_1",281.2484,12,1,"Oleic acid","NA","NA","NA","T3D4802","(M-H)-","0.45083","0.9998374","NA","NA","NA","0","0.9998374","t3db_ms1_database"
"nHILIC_115.0399_2",115.0399,50,1,"Propylene thiourea","NA","NA","NA","Propylene thiourea","(M-H)-","15.5","0.8251418","NA","NA","NA","0","0.8251418","list1_ms1_database"
"nHILIC_459.1407_2.1",459.1407,91,1,"Oxytetracycline","NA","NA","NA","T3D3953","(M-H)-","0.3928556","0.9998765","NA","NA","NA","0","0.9998765","t3db_ms1_database"
"nHILIC_281.089_2.2",281.089,10,1,"Desmedipham","NA","NA","NA","Desmedipham","(M-H2O-H)-","10.25","0.9193853","NA","NA","NA","0","0.9193853","list1_ms1_database"
"nHILIC_165.0768_3.4",165.0768,50,1,"Benzidine","NA","NA","NA","Benzidine","(M-H2O-H)-","13.25","0.8689671","NA","NA","NA","0","0.8689671","list2_ms1_database"
"nHILIC_111.0199_3.4",111.0199,10,1,"Maleic hydrazide","NA","NA","NA","T3D3871","(M-H)-","0.193455","0.9999701","NA","NA","NA","0","0.9999701","t3db_ms1_database"
"nHILIC_343.0993_3.5",343.0993,30,1,"Clotrimazole","NA","NA","NA","T3D2729","(M-H)-","3.565653","0.9898804","NA","NA","NA","0","0.9898804","t3db_ms1_database"
"nHILIC_87.045_4.2",87.045,70,1,"Diethylene glycol","NA","NA","NA","Diethylene glycol","(M-H2O-H)-","0.235","0.9999558","NA","NA","NA","0","0.9999558","select_exposome_ms1_database"
"nHILIC_151.0261_4.3",151.0261,10,1,"Xanthine","NA","NA","NA","T3D4409","(M-H)-","0.06348","0.9999968","NA","NA","NA","0","0.9999968","t3db_ms1_database"
"nHILIC_133.0506_4.4",133.0506,30,1,"Acenaphthylene","NA","NA","NA","Acenaphthylene","(M-H2O-H)-","13.75","0.8596328","NA","NA","NA","0","0.8596328","list2_ms1_database"
"nHILIC_87.0087_4.4",87.0087,70,1,"Glyceric acid","NA","NA","NA","T3D4330","(M-H2O-H)-","0.0217","0.9999996","NA","NA","NA","0","0.9999996","t3db_ms1_database"
"nHILIC_176.0387_4.9",176.0387,60,1,"L-Dopaquinone","NA","NA","NA","T3D4967","(M-H2O-H)-","8.605547","0.9424764","NA","NA","NA","0","0.9424764","t3db_ms1_database"
"nHILIC_131.0349_5.1",131.0349,10,1,"D-Xylose","NA","NA","NA","T3D4926","(M-H2O-H)-","0.058575","0.9999973","NA","NA","NA","0","0.9999973","t3db_ms1_database"
"nHILIC_833.5227_5.2",833.5227,35,1,"1-hexadecanoyl-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phospho-D-myo-inositol","NA","HMDB0062653","NA","HMDB0062653","(M-H)-","5.003341","0.9801725","NA","NA","NA","0","0.9801725","hmdbMS1Database0.0.1"
"nHILIC_481.244_5.2",481.244,12,1,"11-beta-Hydroxyandrosterone-3-glucuronide","NA","HMDB0010351","NA","HMDB0010351","(M-H)-","0.5876728","0.9997238","NA","NA","NA","0","0.9997238","hmdbMS1Database0.0.1"
"nHILIC_130.0872_6.3",130.0872,0,1,"Triethanolamine","NA","NA","NA","T3D4835","(M-H2O-H)-","0.2333775","0.9999564","NA","NA","NA","0","0.9999564","t3db_ms1_database"
"nHILIC_245.0432_6.5",245.0432,50,1,"Pimpinellin","NA","NA","NA","T3D0822","(M-H)-","5.808575","0.9733694","NA","NA","NA","0","0.9733694","t3db_ms1_database"
"nHILIC_194.0458_6.9",194.0458,40,1,"Chlorpropham","NA","NA","NA","Chlorpropham","(M-H2O-H)-","20.25","0.720327","NA","NA","NA","0","0.720327","list2_ms1_database"
"nHILIC_173.0567_7.6",173.0567,30,1,"Myristicin","NA","NA","NA","T3D3114","(M-H2O-H)-","10.11062","0.9214749","NA","NA","NA","0","0.9214749","t3db_ms1_database"
"nHILIC_120.0124_7.6",120.0124,0,1,"4-Nitrophenol","NA","NA","NA","4-Nitrophenol","(M-H2O-H)-","8.25","0.9470059","NA","NA","NA","0","0.9470059","list1_ms1_database"
"nHILIC_146.0458_7.6",146.0458,60,1,"L-Glutamic acid","NA","NA","NA","T3D4296","(M-H)-","0.1444525","0.9999833","NA","NA","NA","0","0.9999833","t3db_ms1_database"
