"name","mz","rt"
"nRPLC_381.1387_4.6",381.1387,11
"nRPLC_167.1077_7.2",167.1077,71
"nRPLC_391.2856_9.2",391.2856,12
"nRPLC_365.2333_9.7",365.2333,52
"nRPLC_391.2856_9.8",391.2856,12
"nRPLC_263.1038_2.7",263.1038,31
"nRPLC_230.9968_4.1",230.9968,9
"nRPLC_159.1027_5.5",159.1027,91
"nRPLC_171.1027_5.6",171.1027,11
"nRPLC_263.1289_6.8",263.1289,31
"nRPLC_185.1183_6.8",185.1183,51
"nRPLC_229.0868_7.2",229.0868,90
"nRPLC_187.134_7.5",187.134,71
"nRPLC_513.27_8.6",513.27,32
"nRPLC_448.3067_8.6",448.3067,83
"nRPLC_257.1759_8.8",257.1759,71
"nRPLC_495.2962_9.1",495.2962,52
"nRPLC_235.1703_9.5",235.1703,51
"nRPLC_514.2838_9.6",514.2838,42
"nRPLC_371.189_9.7",371.189,11
"nRPLC_391.2856_9.5",391.2856,12
"nRPLC_301.2173_10.3",301.2173,12
"nRPLC_253.2172_10.3",253.2172,32
"nRPLC_431.3166_10.4",431.3166,13
"nRPLC_393.3013_10.7",393.3013,33
"nRPLC_329.2487_10.7",329.2487,92
"nRPLC_471.3474_11.3",471.3474,13
"nRPLC_473.3632_11.4",473.3632,33
"nRPLC_407.2804_9.2",407.2804,72
"nRPLC_213.1497_8.1",213.1497,31
"nRPLC_333.2073_7.6",333.2073,32
"nRPLC_229.1445_7.4",229.1445,91
"nRPLC_209.0819_5.9",209.0819,90
"nRPLC_199.0976_5.6",199.0976,90
"nRPLC_172.9914_0.9",172.9914,29
"nRPLC_129.0558_1",129.0558,90
"nRPLC_182.0458_1",182.0458,20
"nRPLC_131.0714_1.6",131.0714,10
"nRPLC_165.0418_1.9",165.0418,50
"nRPLC_153.0193_2.1",153.0193,30
"nRPLC_165.0556_2.3",165.0556,50
"nRPLC_187.007_2.3",187.007,70
"nRPLC_283.0822_2.4",283.0822,30
"nRPLC_172.098_2.8",172.098,20
"nRPLC_204.0665_3",204.0665,40
"nRPLC_165.0557_3.2",165.0557,50
"nRPLC_159.1026_3.8",159.1026,91
"nRPLC_204.0666_4.3",204.0666,40
"nRPLC_149.0607_4.6",149.0607,90
"nRPLC_155.0713_4.9",155.0713,50
"nRPLC_159.1026_5.1",159.1026,91
"nRPLC_201.1133_5.9",201.1133,11
"nRPLC_381.0762_6",381.0762,10
"nRPLC_183.1026_6.2",183.1026,31
"nRPLC_255.1141_6.4",255.1141,51
"nRPLC_541.2651_6.6",541.2651,12
"nRPLC_215.1288_6.8",215.1288,51
"nRPLC_501.1739_7.1",501.1739,11
"nRPLC_331.1762_7.2",331.1762,11
"nRPLC_227.1289_7.3",227.1289,71
"nRPLC_297.1344_7.6",297.1344,71
"nRPLC_227.1289_7.7",227.1289,71
"nRPLC_243.1601_7.9",243.1601,31
"nRPLC_329.2336_7.9",329.2336,92
"nRPLC_169.1234_8",169.1234,91
"nRPLC_243.1601_8",243.1601,31
"nRPLC_169.1233_8.2",169.1233,91
"nRPLC_243.1601_8.2",243.1601,31
"nRPLC_243.1601_8.3",243.1601,31
"nRPLC_215.1653_8.4",215.1653,51
"nRPLC_257.176_8.5",257.176,71
"nRPLC_465.2489_8.6",465.2489,52
"nRPLC_195.139_8.6",195.139,51
"nRPLC_499.2911_8.7",499.2911,92
"nRPLC_241.1809_8.8",241.1809,11
"nRPLC_407.2438_8.8",407.2438,72
"nRPLC_389.2699_8.8",389.2699,92
"nRPLC_367.1585_8.9",367.1585,71
"nRPLC_413.2004_8.9",413.2004,32
"nRPLC_567.3173_8.9",567.3173,73
"nRPLC_281.1394_9",281.1394,11
"nRPLC_315.2541_9.2",315.2541,52
"nRPLC_377.2698_9.2",377.2698,72
"nRPLC_299.2228_9.3",299.2228,92
"nRPLC_389.27_9.4",389.27,92
"nRPLC_247.1703_9.4",247.1703,71
"nRPLC_309.2073_9.4",309.2073,92
"nRPLC_211.1704_9.4",211.1704,11
"nRPLC_371.1881_9.5",371.1881,11
"nRPLC_369.1741_9.5",369.1741,91
"nRPLC_487.3427_9.5",487.3427,73
"nRPLC_243.1964_9.6",243.1964,31
"nRPLC_271.2279_9.6",271.2279,12
"nRPLC_285.2072_9.6",285.2072,52
"nRPLC_295.2279_9.6",295.2279,52
"nRPLC_567.3171_9.6",567.3171,73
"nRPLC_284.2232_9.8",284.2232,42
"nRPLC_311.223_9.8",311.223,12
"nRPLC_225.186_9.8",225.186,51
"nRPLC_343.2853_9.8",343.2853,32
"nRPLC_319.2278_9.8",319.2278,92
"nRPLC_293.2122_9.9",293.2122,32
"nRPLC_321.2435_9.9",321.2435,12
