,chaoexpo22_I12,chaoexpo51_I6,chaoexpo56_I5,chaoexpo44_I15,chaoexpo28_I15,chaoexpo74_I6,chaoexpo56_I12,chaoexpo70_I6,chaoexpo62_I6,chaoexpo75_I12
Stereum,52129.0985120524,337139.796184273,620137.026812316,404757.546832111,79655.188947611,319508.270960884,19521.3765945624,1227.57223237366,4250.21131547311,108102.469149233
Pinus,11710.7836760298,5474.00702920682,1196.68171099525,111.431901704458,1331.53849564597,4941.91619750895,4858.77946981509,0,4261.81963941756,41.3986571175709
Aspergillus,873.763356836331,1202.38766023094,2071.1810781093,1863.68239201943,409.677641897416,1056.28174521511,35620.5261457393,7816.70208815998,11651.7473145877,4039.7431808121
Penicillium,4693.72281206017,2368.4919296172,2199.50933198583,4364.37469637705,203760.546443701,1929.26054326986,8058.16517469816,55.6926588156728,403.922380124647,444.222757853506
Preussia,103827.940502289,4634.3765222765,1018.59649453798,5360.42791982802,6594.41990338537,13938.08187727,16220.7205288517,12535.862346505,16455.3739470565,858.944088245267
Propionibacterium,243.014057291359,9.07031469879846,1195.74460631586,157.613982947577,2434.02954275818,21.0532839864753,19153.1267245779,4479.16465404787,48.3484110652913,20.089717070588
Staphylococcus,53.8854274034858,164.121838090114,0.339773840869352,7883.87381163187,116.486186386481,6349.63391377614,430.084172828449,513.646653138598,282.8833957195,26.3913525461014
Trametes,4177.31483994092,19033.0112051827,40899.1067770896,63985.2939034341,39586.0867296486,7886.54228383561,111918.125393294,10.9826601828023,2738.12976487791,145.551261188002
Talaromyces,256.372772576569,2742.07052346371,179.445733943457,1479.24110664539,226.936544853637,469.153458557005,3530.70055729805,241758.829264145,137.267805347333,7.31892925065092
Bacillus,374.064485131974,475.558341672942,627.248590066698,278.134169347737,341.767591488667,4138.26804200324,10162.1630467244,45611.9109873333,7238.46009013019,39.3690107222131
Malassezia,23.9679292277602,101.75004216894,2872.79537326909,107.23870678703,162.170392786698,0,2716.57601092995,12.7056070298762,138.357284105105,2118.15169096643
Botrytis,5866.05033196016,109.299382609928,4.65901433652112,34121.655139689,0,244723.008007941,5.36457561755132,0,0,0
Acinetobacter,311.278172582681,14.4722381907725,0,220.008291648879,46.8214410680953,189.074849402101,12.0445878063486,5632.57441843288,11663.9021707151,124200.679181092
Sistotremastrum,68.0274730926772,3954.26889969531,1800.96287042338,6873.59445828049,1986.1860212062,3607.46863914329,13903.7617729929,23.1868188446077,1283.22370497881,157.822570475094
Fraxinus,39.7415026883949,2.95351695232583,61.1696113489314,6.28546949648508,0,0,203.310497863753,0.298850481804108,0,0
Corynebacterium,10.3392472568857,56.6697637265178,2999.82509658304,328.45249519185,1.83089774406645,31.096818616418,37.9899985076974,5192.56486361722,7.75852054938821,70.5336861911416
Streptococcus,4.21917484896677,4.00821064748235,16.3849761661987,415.203709050201,22.6593597463431,59.1925557268562,3833.00327468577,136.558941348828,59.3631633334836,141.075102901428
Alternaria,2086.61417161382,0.193067166417271,0,16.6331443201447,872.845135088028,0,36.7065485480616,0,0,0
Melampsora,181646.833096772,139.791040423521,46.6823198890181,134.03911168682,0,196.018967401557,43.8441996847865,47.5441108382008,10.0956784439607,0
Quercus,174.049697560816,5.28085118738371,0,0.0675064254663808,0,0,0,17.861902706655,213.694187765501,11.3845610412209
Escherichia,0.282141664210119,0.512680048086344,0,0,0,0,0,0,0,0
Canis,25.4614743594723,60.0644930455412,0.450931562372533,5312.23439411373,88186.9580744351,4915.66811736461,372.496130616637,12611.7340508336,25.7026882241821,1193.29059125167
Cladosporium,6245.33263441233,407.278748008411,179.377200909454,774.713938480683,2628.81656449374,1939.00051784881,1618.92793459522,26.624949866053,343.890300974864,1.26255001609418
Schizopora,416.967508784845,4209.08132274734,4439.71238272956,8607.03784502213,3833.70519979504,6168.42415035787,4630.49592058154,1.83576833649994,5.71953560654,19.1372970889694
Fibulorhizoctonia,3165.48391340039,8047.97503273492,5731.21810524733,8202.96529683135,480.250344941038,211.228163386979,168.180377642195,0,3.58291121828095,4.16237042821577
Mycobacterium,3.23537071876058,25.9046593117006,0,0.905520091405695,0,0,0,0,0,0
Musa,0,0,0,0,47.220450642074,0,0,0,0,0
Betula,44083.3753132099,93.1582259867223,18.6294554633132,30.2583308262518,17.4870897537528,274.549412912297,990.041505413873,251.464764588805,21.9904540583132,0.785044061416455
Phanerochaete,613.550052512655,5014.97213854049,6681.982563144,6410.2940136265,2812.12157271047,4226.18463514953,14308.678947062,40.9235159638945,501.318152741147,420.842432761138
Phialocephala,29.0152639810909,2420.41651315659,1301.47281788718,2056.13359580233,1165.74386424493,2236.75715343255,190.950704505154,18.6789828589811,5295.29445074424,5.46281071341281
Pseudomonas,165.359495043294,25.0454430387395,0,28.5426162283376,0,34.6267369501319,0,0,256.729643162819,0
Aureobasidium,159627.055207245,1004.17005037504,0.231370452662029,75.8215548109395,0,0,258.966706863874,0,1.11038615115947,8748.65974976743
Ustilago,466.083458231557,4.21022260288029,12.1629852474831,129.167417572057,0,6.72511505919737,0,0,0,0
