,chaoexpo22_I12,chaoexpo51_I6,chaoexpo56_I5,chaoexpo44_I15,chaoexpo28_I15,chaoexpo74_I6,chaoexpo56_I12,chaoexpo70_I6,chaoexpo62_I6,chaoexpo75_I12
Basidiomycota,260768.429191094,443941.728890526,763811.296453239,581777.565081463,168311.194215987,378701.698885551,242946.50180083,5435.02630999477,65540.7152666212,142457.611967377
Ascomycota,370217.847935897,27273.6891644259,12386.7775141477,71313.4386023032,252215.268185573,314206.855883911,131035.787706083,372903.603879068,52904.8788433781,23086.4711140013
Streptophyta,108290.018659082,76447.8238139431,1732.58828183481,1045.98833150138,5345.98100271469,6077.86186131871,9044.88928017751,16898.6929285247,5219.99626088644,1767.0320810194
Firmicutes,1255.08087124509,1809.6273922883,943.771905449367,13880.843090252,859.603211485634,11953.5971258149,25619.6635200262,109985.336021042,8453.19328717416,1596.36785779378
Actinobacteria,411.080262011306,130.23796862043,4291.91211489288,1528.0449606699,2462.42257650281,269.963599761816,19433.9108388591,11113.119918889,58.3708124940199,130.602053911833
Proteobacteria,2606.00825914418,207.03202025669,110.008931489594,828.229458885651,159.053555030101,575.02986941881,4328.05550831228,36820.3578060284,14711.0357359194,150605.309252507
Bacteroidetes,6264.60715079375,456.237594957894,97.6810400802411,2208.77610411656,11071.9094854387,1354.28134623251,1917.98254611096,16965.0463533268,3948.55632034756,3902.9079633232
Arthropoda,55.4426606430048,40.4743310362218,35.0989122695305,364.926958270476,92.5956612007219,177.436534333599,96.0646843024673,7115.24414505817,52802.2959609235,2247.65693156366
Chordata,280.147314428749,3167.22850064042,23.7035317237747,5389.03284963816,88217.8140431647,5035.36538287087,474.823122772679,12611.7660030131,25.7019383139156,1201.20031103485
Nematoda,200.359058399527,2.32254473200264,7.72316617159724,2.0548341462539,0,0.19412857321108,0,1.14462850750395,0,0
Cyanobacteria,310.330176937673,10.6483221128917,52.5766504049905,200.207083126796,0,3.1127906093408,72.3704091511214,2.57370600707801,76.4191744417925,136462.14636403
Rotifera,8.55254492042899,0,0,0,0,0,0,0,0,0
Deinococcus-Thermus,0.546513553927362,0,0,0,0,0.361812498598843,0,0,0,0.671325166413357
Cnidaria,0,0,0,0,0,0,0,0,0,19.3370073880751
Chlorophyta,2.19003558027441,0,0,1.43696228857887,0,0,0,0,0,0
Verrucomicrobia,36.5306363570124,7.97831766173054,0,12.117117528954,0,0.785956756218154,0.708569610739223,3.45464405958117,155.916990135823,47.2496955366591
Spirochaetes,0,0,0,11.1972629390382,0,0,10.9069817306831,0,0,0
Apicomplexa,0,265.413914436849,0,0,0,0.274867080663981,0,0,0,0
Euryarchaeota,14.2675759298842,0,0,0,0,0,0,0.506065333018411,0,0
Acidobacteria,50.7515479496807,0,0,0.280309131052669,0,0,17.9625865183667,0,0,20.7969781408696
Chlamydiae,6.50989821526381,5.80225241023385,0,0,0,0,0,0,0,0
Chloroflexi,42.0229964544864,0,35.0984362993008,31.287919626569,0.274758891532927,0,7.32181203236262,69.4533470066058,0,0
Platyhelminthes,0,3.70324130411156,6.0810116909529,9.33616611622093,0,0,0,0,0,0
Mollusca,8.89212554373322,34.3074718175069,0.279953251370843,22.9285846690539,0,0,0.292421102325634,0,0,0.151942986691438
Fusobacteria,0,0,0,2.92676589720539,0,0,1.50889110167929,0,0,0.846999203612333
Echinodermata,0,0,0,0,0,0,0,0,0,0
Candidatus Saccharibacteria,21.3634828369677,0,0,2.64676663308696,0,17.8935648837529,242.147688075323,0,0,0
Thaumarchaeota,46.1573958015207,1.23057153065118,0,1.19268563152592,0,4.88483068278809,20.4574286694242,2.37235099729551,0,0
Planctomycetes,1.08516343795767,0.727236337391812,0,1.51376107385484,0,0,24.9136557978548,0,0,0
Priapulida,0,0,0,1.9655235979994,0,0,0,0,0,0
Phaeophyceae,2.32270797030066,0,0,1.48720442719408,0,0,0,0,0,0
Ctenophora,0,13.3039826286496,0,0,0,0,0,0,0,0
Chytridiomycota,108.921665302472,0.538260653255821,0,0,0,0,0,0,0,0
Bacillariophyta,0,0.613134543293178,0,0,0,0,0,0,0,0
Chlorobi,0,0,0,0,0,0,0,0,0,0
Microsporidia,0.179625844571962,0,0,0,0,0,0,0,0,0
Tenericutes,0,0,0,0,0,0,0,0,0,0
Nitrospirae,8.72724889502727,0,0,0,0,0,0,0,0,0
Eustigmatophyceae,0,0,0,0,0,0,0,0,0,0
Ignavibacteriae,0,0,0,0,0,0,0,0,0,0
Entomophthoromycota,0,0,4.4548053604615,0,0,0,0,0,0,0
Xanthophyceae,0,0,0,0,0,0,0,0,0,0
Lentisphaerae,0,0,0,0,0,0,0,0,0,0
