,chaoexpo22_I12,chaoexpo51_I6,chaoexpo56_I5,chaoexpo44_I15,chaoexpo28_I15,chaoexpo74_I6,chaoexpo56_I12,chaoexpo70_I6,chaoexpo62_I6,chaoexpo75_I12
Stereum hirsutum,52059.6316508185,336873.724551699,620213.73027155,404981.911744127,79452.6355862446,319323.204722746,19500.8230846664,1234.44142725238,4250.99005773119,108248.836091526
Pinus taeda,3020.01505682474,2922.67423663149,1131.09886116738,101.511560992454,1133.99385181577,3933.67480076853,4746.69189581627,0,4188.82452339301,31.2181794768465
Preussia sp. BSL10,103689.580136564,4630.71905987901,1018.72248262015,5363.39930837411,6577.65110357032,13930.0086328056,16203.642187153,12606.0099754266,16458.3889724549,860.107068339859
Propionibacterium acnes,104.937607110942,6.40539024144065,1017.37991160572,116.686654103327,1399.30307505803,21.0410894600046,16205.3324560902,3035.41390550065,14.1144550569486,1.6774558358902
Trametes versicolor,4085.95859592903,17746.8186486121,37471.6116716282,60349.0458604678,36739.2043287132,7214.12806365855,101090.639678713,6.61872692518687,1541.37499254612,136.158167959168
Botrytis cinerea,5823.21571506899,83.7705954382932,4.65959060031571,33440.8963569423,0,233227.380562973,4.70798423250182,0,0,0
Pinus lambertiana,6599.40628259514,1425.29703307199,37.4813424111954,7.39166160377071,138.635000547827,168.605414497774,43.3284933076293,0,0,7.05624595787471
Aspergillus fumigatus,2.80003226423947,107.595119578227,8.05508344946434,429.103616668795,69.6195272184262,279.965638293051,612.970745990859,166.123481220423,31.6822508700227,0
Fraxinus excelsior,39.6885434481378,2.95118602881508,61.1771772909533,6.2889536534121,0,0,203.096437942846,0.300522776227992,0,0
Aspergillus sp. Z5,149.151412121858,646.625626909066,12.2614432110897,415.604070825905,4.01641179789319,21.9600533970496,3628.02249993128,3.39628379865346,15.8998138671412,52.463061341617
Malassezia restricta,18.1201234279595,6.91957889229808,39.4249732020685,26.1449098776135,132.970837224042,0,1075.08474294378,3.1401958696439,132.81039145026,4.88660281461367
Malassezia globosa,5.81586630993318,0,2798.94560526897,71.0400463551648,22.139013890157,0,1634.68187058595,0,5.5722430799998,2116.13299106614
Melampsora pinitorqua,181404.771835241,130.157910444968,46.6880939280865,134.113412150729,0,157.919850401686,43.7980373566464,47.8101560892015,10.097528218206,0
Quercus lobata,173.817760187384,5.27668352544435,0,0.0675438455795543,0,0,0,17.9618535587198,213.73334174679,11.399975336584
Canis lupus,25.427544582119,60.0170899863201,0.450987337159743,5315.17906805934,87962.709472145,4912.82085396301,372.103939888192,12682.3062393119,25.7073975828423,1194.90626475555
Cladosporium sphaerospermum,6237.01014912373,406.957322526693,179.399387702409,775.143377353424,2622.13180687043,1937.8774059791,1617.22341077931,26.773936593223,343.953310055974,1.2642594644241
Escherichia coli,0.281765684260428,0.512275439615538,0,0,0,0,0,0,0,0
Penicillium citrinum,160.546705819325,111.951425289843,48.8509758180731,1195.08549874434,201392.547291552,42.7197768680638,524.955346730516,1.58889215591554,23.3910349779454,0
Acinetobacter baumannii,32.4323010980957,0,0,6.44282719265989,0,2.93660266151981,0,0,27.9555717632582,37769.3650531679
Schizopora paradoxa,416.411860885714,4205.7595044635,4440.26152152153,8611.80889204505,3823.95655836984,6164.85126302912,4625.6206012993,1.84604084847362,5.72058356480437,19.1632083163512
Fibulorhizoctonia sp. CBS 109695,3161.26561233578,8041.6235492254,5731.92698769636,8207.51235865021,479.029127303488,211.105815375551,168.003305239568,0,3.58356769490423,4.16800613142461
Betula nana,44024.630124764,93.0847052645873,18.6317597019184,30.2751036024155,17.4426222324659,274.390387836427,988.999118480737,252.87190009378,21.9944832452355,0.786106983473081
Penicillium capsulatum,381.598203932653,196.260158186543,66.726220046291,574.190176336155,262.634425215751,181.055708444853,257.589004940722,23.9186953258224,36.5549260797938,0.393857123290454
Talaromyces islandicus,14.9981121679612,1690.71465770748,27.6918786631034,618.383612342831,92.1864464596561,80.4992480287187,33.9115964962227,241207.678029093,57.190023243013,0
Staphylococcus epidermidis,0.562817878283467,1.44028882151443,0.154050017547167,180.291274071013,0,389.640383050593,10.7479642385793,37.5432369193356,200.331729671829,24.8644890079975
Phialocephala scopiformis,28.9765984492829,2418.50631394412,1301.63379435354,2057.27335029716,1162.77952078765,2235.4615743517,190.749657864018,18.7835058923399,5296.26467769336,5.47020716704369
Propionibacterium humerusii,0,1.20275384372729,11.429808496123,0,10.6291379593226,0,0,63.0281621509515,0,0
Corynebacterium durum,0,42.1838598971607,0,1.12988704673118,1.17289341410789,0,6.75545573348463,22.7081265251918,0,0
Rhizopogon vinicolor,3.28810122320843,171.769343298323,225.953617058483,1836.1827481205,10214.4153780695,1165.08872053617,2868.08700749256,1.99284600508503,4.43433868604345,2.02841699920933
Musa acuminata,0,0,0,0,46.880191629539,0,0,0,0,0
Tilletiopsis pallescens,1628.54092036432,949.927949597834,319.023950274383,249.546523889397,34.6666034067698,1133.80463289519,0.673141530409403,0,2.12352291081405,0.138885246127171
Trichinella papuae,0,0,0,0,0,0,0,0,0,0
Phytophthora lateralis,20.6409936094953,15576.8100969633,0,0,30.6683578636725,0.418362478162634,0,0,0,4663.91427032764
Staphylococcus aureus,5.00660246805577,30.3763263110541,0,2843.37178447267,0.207657688270456,3.83908127821137,103.224020315688,0,42.623477857721,0
Cronartium comandrae,0,5981.82131478295,0,1763.75512460943,0,0,0,0,0,0
Sistotremastrum suecicum,19.9104610254341,402.35631168373,99.8711779773208,120.494376303033,47.9171183888233,723.249207592629,6834.93851533537,14.1599765249992,311.863782199475,7.89473442043239
