,xinexpo22_I12,xinexpo51_I6,xinexpo56_I5,xinexpo44_I15,xinexpo28_I15,xinexpo74_I6,xinexpo56_I12,xinexpo70_I6,xinexpo62_I6,xinexpo75_I12
Streptococcaceae,2671.83359446911,1464.21082464376,12492.6697572197,8269.06120722312,14141.148736799,13722.4060531489,7726.53233421435,11790.0464540033,9470.93986562906,1426.06070983314
Corynebacteriaceae,3802.8923308307,1759.79516770813,4823.73600991578,10208.0713122154,15251.2100287316,8759.15635956797,19671.0557094596,4164.7139386384,17358.1845100381,8588.36440970714
Moraxellaceae,13457.5563213267,5894.4134346257,3734.76611582236,11768.0535128061,18171.5910198253,17336.4022512812,9888.9386267457,33665.022576953,93260.8827320933,26309.8629203708
Staphylococcaceae,2238.13099965321,2248.62494610722,4505.75990751623,7554.38666736262,5180.86728968959,7397.18737269803,4831.43173649949,17433.5655585955,14568.8810803454,4078.47316539072
Pseudomonadaceae,8383.46556448779,4372.51649079857,3408.40237663528,12023.984424222,11736.7728611692,6568.80576753969,6794.86097383324,4921.02092241574,89015.0938463782,7035.63709042222
Propionibacteriaceae,958.934761365922,417.785000149347,11520.5706836236,4230.09594816501,8789.55105784731,9138.5118740538,8503.1596126537,25183.0089506202,5597.82383146313,15083.2581401431
Pinaceae,5906.34404191683,8688.94005972303,12898.8394817115,562.346757523015,759.60293917374,1392.0023715323,2268.13633500371,37974.2493166426,696.663512455893,187.881555403691
Fagaceae,26593.1959021424,1473.30868814364,6829.22925893005,1787.95384767609,14935.0089746089,2727.66049874615,6685.10007585564,4169.95133466625,3855.16896218544,50018.1445779815
Enterobacteriaceae,9158.83913262736,1387.92651801134,1808.86468839691,8522.69315247032,4821.2337594532,2399.45525878281,5739.99598682433,5565.82974926096,53398.514046295,21782.7792903938
Micrococcaceae,1500.72200266834,4063.29467099946,1541.41742294173,3533.58449990147,2654.75200087286,4038.34865199657,5070.79405203145,30480.4924859348,1938.77204962908,135.57429879704
Poaceae,357.819166984272,2018.82341111866,4167.19916233895,725.665090748812,7402.59088730634,2014.19176335076,49900.1494349428,5544.70204198985,7155.16417609117,4265.32281398441
Lactobacillaceae,924.281678138614,4557.76716759572,10460.6574734576,7070.05117491477,6578.98211297649,24184.6460807892,2196.6808744447,6241.78396612706,4178.25534586636,13039.0817109117
Neisseriaceae,1675.33896764912,2245.28265687449,84.7968791004555,6670.95590679416,2123.93736927653,19573.3450603369,799.88336309021,786.403853846954,2893.38265517389,17823.824901938
Nocardioidaceae,17672.5911819889,1629.23499112733,1603.50157666708,5080.86777526605,5400.10694276516,9781.33000955343,6640.7439803253,16461.4839800593,7446.29372540507,1574.09634777129
Pasteurellaceae,777.167345848081,1371.99366959518,374.045819669545,3907.11184217399,2389.50894225287,2695.94438484639,2519.96868550761,4451.36809264218,832.25117642041,2412.96242510095
Microbacteriaceae,16551.8528173366,1412.3360050249,2042.00210036062,2149.05939010637,2798.79964187246,4070.27758895027,3655.52208395557,24123.0683866739,3927.23182142231,781.31322023536
Peptoniphilaceae,847.957766088993,248.944552452884,2548.24783051011,822.639541343522,2450.45495241881,594.820042595783,566.19828656019,290.868176307531,4819.20511441407,3070.1117487803
Cytophagaceae,18583.4500993988,4951.52908312936,7950.10846966174,4585.98000831765,17195.5844164467,19166.0012456143,6776.27300410481,35357.912950236,1051.01242663131,3599.81302334205
Coriolaceae,2622.65799710612,28291.1142086383,32591.1428729422,30417.9736658534,18609.6861471803,31556.4738656434,22656.9492181087,308.299789746268,1792.90885912159,167.916464732779
Malasseziaceae,398.152737923858,107.218434948666,9427.06232554942,905.612137658466,9237.97925459278,810.197188941253,3826.65628648414,13567.3837290646,7696.33659970633,23.2877906563453
Comamonadaceae,4045.67053933267,978.51326307502,3066.42859957572,1521.48004299427,2716.41694122649,8109.81062182546,3383.36136729865,6747.96147956727,3696.568133797,6931.32893803121
Nocardiaceae,11128.2130002639,1159.76871436473,420.46899862711,1044.42941538943,2754.07094483061,101.305655493486,1064.68839463314,14935.1326842605,57.3013900541839,0
Streptomycetaceae,887.207093106331,23.3671782148573,654.130134956903,822.148721120291,1218.71231667318,1098.687238439,5995.35896901583,7170.47937673022,808.075534010907,234.20061380799
Flavobacteriaceae,2721.07675599038,1172.31043896134,2275.18357730538,3485.75123768642,7332.81388389911,7385.50594532399,3373.34249608643,7320.96341404038,1562.1103314154,1432.42526513541
Rhodobacteraceae,1801.29027425391,871.773667032891,1568.89101486092,485.473015730201,1272.97575378978,2279.55006949436,1407.91289675209,3587.19132707706,4117.74118445007,220.611232790789
Stereaceae,1009.58208229385,49008.7925592964,61914.7638124582,20786.8283899321,3568.74891948297,39582.5183880489,1369.89329739565,69.1526759975426,24.7426266789069,388.636890433813
Oxalobacteraceae,4369.18751790784,1834.6304851083,253.395193090487,3481.37767904684,2580.29017907278,1239.92980975534,7016.89370141322,992.527251688708,14042.0737811553,1851.80341706852
Aspergillaceae,1063.90913207814,1253.37935332291,8391.30078556673,1151.25157677375,1679.54769031088,2618.51520120009,5866.31396185417,791.880653091146,209.896789621414,505.891534494726
Sphingomonadaceae,9648.53165225785,1049.87531389742,2654.79291825844,3687.14396954061,5783.10141509965,1183.90873398548,7588.32962289843,9597.31798328223,9546.44479371827,499.10175533882
Bacillaceae,1146.69476936769,560.670321349655,26.7355912072301,670.686044435029,214.090455615017,1315.97611049787,79.6666328567439,2122.9184070652,629.131887080728,16.861369796495
Veillonellaceae,271.436196339121,59.6209143467148,1386.78181853874,583.243188605422,1448.19282617405,1437.62514265371,1158.3840233059,1056.60543694976,1697.15975180794,7587.70520563549
Pucciniaceae,978.169645783972,137.416479013892,78.3990267925378,42.6311848521395,426.72611771975,87.6305363218891,88.6998903802479,54.3024201586837,4.52897876268712,0
Mycobacteriaceae,1882.45977697388,43.9404593057984,1784.6498646505,1130.93518108336,5217.07335043866,358.795273273245,102.062881742333,940.453455932758,2195.87410359019,79.0870310187732
Betulaceae,8469.91465536295,1666.28008280727,1215.31649083027,491.379731031562,5818.84910788597,3099.3197169224,2124.26636740528,2899.82851949923,160.793547016555,1358.66519857286
Oleaceae,488.856310158504,130.387195821123,359.588259004573,19.7192346222801,127.510315119128,284.787375691696,516.282954216284,418.865579088187,1270.38407944333,207.170916747474
Lachnospiraceae,277.808621608154,149.124658692085,1249.8081387357,1131.73632913698,1000.92710329742,1430.3483341556,883.063411180807,166.867529319147,2967.02640830474,2286.25384000367
Clostridiaceae,571.120093868516,19.8776363763761,1.45506492171492,1117.9096268169,936.834773873602,1233.16379063105,39.9248959998299,3254.91729057961,239.421014087226,855.395750275843
Actinomycetaceae,129.750679657713,176.801671235347,611.493477337223,1253.75053534238,2258.8529598685,896.165910545667,102.822087471365,0.767436168574327,394.122178474056,14314.8238936295
Pseudonocardiaceae,1314.43306566234,453.181020031109,123.306147896879,894.962202345207,102.662282434575,113.00755342454,1207.363548987,1114.80501118582,31.6613402780548,0.769369310257591
Chitinophagaceae,4791.45606446073,513.850376908126,941.04317262764,1145.77477486364,2331.11612072994,2044.09747826337,1673.25084226078,2265.44889045088,1993.24113074845,30.656394306791
Deinococcaceae,114.814268266697,260.551268200677,913.734699920784,304.470612516281,3589.86632662787,827.695118759766,202.96218934806,1816.20371519727,342.910446814387,21886.8809114885
Prevotellaceae,181.673916536392,86.8257623794236,5.12766672773125,171.900249001929,1331.76544753185,2587.9175420357,1182.0348984901,10.0804291627206,40.2632555568178,73.9478260773412
Carnobacteriaceae,420.088031823507,164.294342401818,1789.19349003461,513.9293108195,213.225444359294,1424.27534753009,781.383131189165,20914.5549695166,128.874135766763,773.001840357218
Methylobacteriaceae,2332.21936236867,191.340177010949,467.291079408107,509.300656507791,797.87244465743,255.818919657187,579.974584576441,188.59794769406,1250.44800713736,230.153547409634
Leuconostocaceae,27.0806450589433,198.155772249341,1363.60408959615,508.806411140212,2221.93903968547,1736.31670540839,44.5170884042931,289.295467077263,1241.15291811383,5.72418448989026
Intrasporangiaceae,2553.23701032617,440.553330204103,23.6060577181221,712.51540357951,1353.30739894518,4626.84731341956,1280.77942033719,4358.0853552815,187.271640815661,2021.83641349931
Halomonadaceae,0.510806674712022,0,952.574469752348,2.5481033089912,84.1595388156831,12.203203012736,7.84005366073233,260.851095397839,157242.697546841,4.91171938074103
Fusobacteriaceae,67.6041986545177,133.408620618468,261.055052178783,206.852187071403,271.156814579602,960.717183898757,55.1382939601497,0.285331561809965,402.939819243103,2729.88498758308
Geodermatophilaceae,1181.61075091398,848.920558326,108.62851981827,268.370429362351,548.87845975583,7.75332160321466,2156.70618140459,14261.9837558245,167.053143755326,427.370134236908
Hymenochaetaceae,238.475573040125,4770.73558843013,6249.23788559052,1555.97018420752,1364.81285819215,4559.66128778558,1134.8570881019,2.02077964316912,23.7486950630592,0.74913997507765
Peptostreptococcaceae,49.3839094692137,48.190482720583,35.1493112916755,147.204134336286,83.4062716701313,119.238617425934,0,9.29465074417982,517.941043093611,1410.53580112078
Xanthomonadaceae,589.964614081621,344.285004681032,457.729299510463,153.440324811256,632.566105904534,765.368762890339,239.37849904707,960.832742332445,1040.69870065579,562.056179776134
Brevibacteriaceae,0,4.21282204907576,0,7.43735105726393,567.415548089115,2.53052476130239,538.779318330841,20.9613305584227,375.303993377665,0
Porphyromonadaceae,77.5706712560632,215.215708258676,15.0125687303866,990.145218520822,1293.67575899432,2404.86888151234,379.62881067971,234.034947239379,11.0674609250071,1523.8902527875
Bacteroidaceae,89.0529024497277,8.11515631551316,1375.13080284715,103.244224990388,820.918898903001,148.460464759554,1384.84850547323,672.598451457565,996.809800062275,71.690580324677
Polyangiaceae,1316.0643380737,464.842237266193,1683.76975383635,2017.61710137184,283.408710323264,572.035796630232,8207.63971788955,338.89595460986,1666.82563159717,1351.5743663587
Leptotrichiaceae,10.3145201493959,90.5889677720841,3.1216072097188,245.627585280916,245.333716751993,599.48948861453,1353.87637158119,706.572655895649,128.349272859749,211.331000718396
Aeromonadaceae,325.162177531707,430.335220673981,448.178937566407,476.654709979465,3167.71671540362,111.795778077226,82.7302750916251,0.509865932119169,162.617600501851,131.886472076802
Sporormiaceae,7009.11373094491,200.084639970914,91.2938933486933,254.650572351278,2421.5239460578,1370.97639573674,1602.87831860803,38.4877832964501,79.95858425504,0
Dermabacteraceae,78.0719718819171,119.987474604958,10.9029156811006,357.068771731681,28.2151413519758,881.505159176867,376.149991807958,0,216.612316511785,0
Ruminococcaceae,64.5356864609521,242.103334655745,26.6666657219486,160.451905914818,145.909706799256,427.081215662413,589.103430941768,314.917247229652,2715.31574536434,0
Acetobacteraceae,1994.90801035698,181.806092842161,37.9660608979966,363.216002898019,1116.37585817282,424.32528655682,2090.66179003159,5938.55718884878,3608.94728833418,2691.96491555522
Pleosporaceae,6238.72778183527,8.16659828779486,27.7596492396805,4.59055818899525,99.7922030381059,30.5084679140173,6.83254398253724,36.5345834097757,0,18.7835540466492
Micromonosporaceae,2303.39794737966,94.9445570008378,268.915372280624,163.100173303945,117.837053243467,7.95974453999163,1179.93498325925,5102.29428042506,1.44074674464307,0
Ceraceosoraceae,1657.74730622476,2770.86993189201,7288.34926122119,1084.09268430128,0,1.721653138097,149.554022072969,0,0,28.6585824072994
Planctomycetaceae,3594.2006617369,427.506947897451,473.399398145295,742.44736866859,658.812410614374,318.890935419038,1344.36652954957,781.463507592231,1996.19336616029,187.226355362265
Burkholderiaceae,429.543296107211,469.947337356674,409.019921626805,543.52426355088,431.86508305429,715.732690597558,819.100507146474,206.356527247844,1.40834278269335,283.775124342838
Phyllobacteriaceae,1175.46150661992,0,4188.69074119616,63.4557347261308,88.9533831849244,2406.54630926978,1628.34247688977,821.947619457991,0,9113.75685249714
Physaraceae,530.047976956548,115.024913809475,0,249.416513633431,0,18.1721350335989,2.94188793280351,0,0,0
Dermacoccaceae,118.532114912825,205.975049477347,3.3784896954718,73.8961946220757,89.242966599721,610.198120858095,387.985099127399,9.31398383750422,0,1.59326837680758
Planococcaceae,36.7925445366429,733.33297141754,4.45817315957146,269.44745564989,669.565454054647,1095.90162222696,339.456543839752,136.070458490805,128.647890494314,163.629431276065
Atheliaceae,545.966281332125,7273.76908467005,6161.61648070588,1920.44460085148,1052.73456627933,270.884254794622,134.892369347316,0,14.9535317802289,0
Fabaceae,60.9091057224529,50.8570953211859,52.1227947604965,0.416205763042877,102.834156472952,175.631379577526,511.275178607634,184.62759300666,1085.588149877,11.3299349873241
Onygenaceae,257.914243455443,4678.77385335083,3855.32415657917,2463.48440141279,1700.80744167076,1218.3451389635,2977.14873716854,6.79391594297538,247.005695198276,0
Solanaceae,4.58023800012144,5.68034576639791,7.77902486454187,19.9448992123298,335.437421357938,235.942423253995,28.7544728551937,0,0,0.498940549624195
Trueperaceae,28.3139762910315,0.954485475478303,242.806810783731,31.7955303473797,6.41861134619793,4097.8699174848,343.392853053645,861.630753822117,14.8428321963095,0.482670872088286
Aerococcaceae,211.614995369035,18.315155693349,6.96644316384612,624.402356897927,832.575051755852,2083.42154661722,89.2366862195011,261.917248204004,68.5273259231544,0
Phanerochaetaceae,172.140139028745,2734.16190733562,6801.11894598469,2473.14494585969,3403.87739411324,4207.79041564883,2565.11454690553,659.993004991359,246.152985888261,343.546979672504
Gnomoniaceae,3780.74635715382,657.034587746346,69.3146054353339,2051.84598835711,124.317514451291,588.615732665755,563.612037375725,0,541.415009887456,5.40142400758389
Amaranthaceae,1158.95721994463,20.6887659785593,733.062684633289,87.6156212596292,234.75579367958,441.491449731271,322.049897944977,1201.65382116904,37.1372951702013,0
Listeriaceae,1.56628503998845,0,0,0,0,4.24299746317664,83.3117889301385,0,73.2559559193628,0.904952369987349
Bifidobacteriaceae,120.435124383184,19.4400466506458,44.8021876986682,257.997081996577,107.609870536582,159.291526818382,152.664120821257,0,0.706537591919363,14.6208294000879
Omphalotaceae,27.9353308180132,62.3993664730891,28.5223782101464,148.639611246274,22.2007560465342,52.154202588366,178.062196889086,0.695399401319709,0.211583391547928,51.9940151122414
Polyporaceae,362.409934021401,2979.55609986624,1503.06200479349,2380.53418390478,1763.19759715324,441.561241303625,2511.98699994744,104.965424486288,112.284958479702,783.919030672683
Rhizobiaceae,573.320495427634,186.920745015776,4.44634852651908,173.689409225212,91.5169706680646,417.432096993768,842.078934288744,203.300995373288,4.41354907203389,675.895640650896
Caulobacteraceae,968.003057429399,476.185648625197,1512.20928043782,1242.00125535717,318.618561614187,48.1658357652872,433.40756979644,187.19160959212,0,3543.78850273832
Ktedonobacteraceae,2.50861108512166,7.26355515061274,3005.64957356565,67.9438404234577,66.8011424674334,0,111.945448842448,0,0,0
Asteraceae,98.5447523131232,78.5578938235556,158.614396413507,145.213937197527,393.273452356023,1291.76083291524,194.880908492509,17.2060993276964,341.281296739237,147.792909807665
Phasianidae,1.36094489240501,0.471547715158261,1050.50577684808,0.278155327637626,1.24087221670677,89.6063548212006,30.0353829998386,0.710107358392176,220.388866909547,0.0600967817174116
Campylobacteraceae,337.033096188089,489.154157671499,0,317.382952853805,1885.59084590852,36.3828326828029,17.9083140242897,602.282809317428,1278.1566871795,2899.15855733645
Peniophoraceae,160.423920972412,1437.6025638184,904.130596647015,1704.28121637257,63.9900059085384,595.28228963763,557.378358584895,0.850541213911641,0.905581752539211,0
Sphingobacteriaceae,1215.6096672888,160.447730179279,105.400504427203,103.656339934586,15.5559405672488,274.48347248061,313.027192962582,550.466588985768,50.209767451042,0
Alcaligenaceae,75.5421307555616,88.8971954440254,0,430.836959997961,967.900861861947,0.265646086289744,330.023457098251,27.3894549959636,300.5249703864,13.4049887636313
Cellulomonadaceae,516.020798461605,6.50956762682651,38.3481713160519,129.685937937601,419.605148847194,0,509.941410573568,3268.66951578979,1834.32087359699,0
Enterococcaceae,34.2861466554258,542.877144249088,33.5996591537707,66.5708718387699,603.839459138303,73.7300072972079,137.175583399749,2117.27721267939,1149.5684111968,39.9655028024918
Acidobacteriaceae,3174.8721542718,46.009446763339,285.546244092976,181.676216085421,738.311355377701,21.7083233451978,688.837305441747,114.788606363516,9.45534132035755,0
Canidae,2.33478260538299,33.1930435324059,100.204057048993,84.9223733459276,44.2940571554909,7354.27048783121,265.286142478229,1.17816781960335,10.7073325304996,557.370781727678
Bradyrhizobiaceae,4752.63119331925,36.3434089262314,23.0445865541486,102.255532017783,526.143975702827,600.201342245514,1144.2416832907,2337.91829913493,164.947960900197,171.845091378293
Musaceae,0,0,0,0,3.65257198145527,0,0,0,0,784.606163909394
Nocardiopsaceae,35.9287399707127,0,33.8109985508029,60.5954782699933,4.53124911364403,0,2222.57688803483,1675.09394451092,0,0
Paenibacillaceae,221.773517071746,21.3809391881539,9.67719672310236,54.4541949793318,303.132153972624,0.310938887643956,522.421715204945,0,15.7749052832945,155.144954471377
Nostocaceae,0,57.848996011749,406.021256713786,93.5211936444508,1.3905356051914,40.6120569667814,936.293485965412,0,0,86709.9280934777
Tsukamurellaceae,14.4082950250367,4.26996378179241,837.338629822605,0,0,32.4833710200486,34.662681207064,34.7644387439052,85.4995848974833,0
Patulibacteraceae,762.254110018242,58.4091985943538,0,219.929059769102,0,447.353876590966,27.6481797613642,1605.41125610487,2110.75143831209,0
Adinetidae,58.9007568452517,0.27796703038886,0,6.68298842270966,0,0,0,16.0578332778143,378.54230294729,0
Sclerotiniaceae,91.4379415664012,55.2523243244248,0,705.318557411683,710.269288241741,23681.8048476533,0,0.39453942805339,41.8154141345785,0
Hyphomicrobiaceae,444.199116542877,56.9307010513321,13.0122910499406,57.6293447026575,148.485083984346,92.8666417374133,205.288525287627,2209.93044823162,0,2253.10978038253
Rhizopogonaceae,141.873664990021,2267.15836042173,897.216533271688,682.173174305248,2707.55466532293,1611.69447343027,2921.49006170182,1.45919812134269,68.6707902593202,1.93786377386319
Brucellaceae,0.226824226859655,0,1769.96218629952,57.2521575325195,0,208.305878458928,1607.28828612669,810.234002892282,0,4161.75209303265
Trichocomaceae,59.3576655015916,53.0489104047621,6.89725235410423,132.435982081086,124.235156890837,23.3673876900281,105.286181833883,154.066129948458,0.388869352132858,0
Erysipelotrichaceae,69.1186648297236,44.3280088743578,0,117.18614086416,11.7472100097841,62.1381273783003,717.649847830668,234.82947596526,258.05434884395,2.25901153841102
Cystofilobasidiaceae,99.3404729258709,1889.89521746582,392.058006307142,3733.36422555204,615.089850618951,720.210421961248,949.893713180694,2654.48887912048,7.02385507762246,44.6211584641488
Cunninghamellaceae,391.265584614515,5957.16213838999,1443.67622248784,1509.08428354519,2062.13985936957,1419.62194417605,1421.99531643447,0.780816271303511,0,155.012305412633
Ustilaginaceae,227.25053037724,425.420245949273,21.6276796644327,57.1065737236574,431.097803875811,4.46839882353679,8.07501397849294,0,0,0
Botryobasidiaceae,106.007301879613,2133.61752587832,456.548724915542,729.812719628383,613.759621838664,282.705661579299,228.890662829428,10.2355637222572,0,0
Spirochaetaceae,7.36528132976627,0,0,10.2818697525388,260.442886870781,178.686468636292,0.506758424391397,0,30.8930697703896,0.0819346865910995
Didymellaceae,3546.29344682716,0,2.20073365567474,40.5193592645086,12379.1499988112,3757.31474679452,0,0,21.6488360705167,0
Tricholomataceae,56.8758877218095,1085.25164803625,358.407011599595,524.51080953259,436.30816906764,457.358605480106,77.2077365084148,263.966929603956,0,20.6872664219257
Nakamurellaceae,838.091811822562,57.3284336713146,4.60636849238773,377.851794223342,144.998743866912,195.627381483158,992.453308907184,2975.20361776695,11.2221582032049,0
