,xinexpo22_I12,xinexpo51_I6,xinexpo56_I5,xinexpo44_I15,xinexpo28_I15,xinexpo74_I6,xinexpo56_I12,xinexpo70_I6,xinexpo62_I6,xinexpo75_I12
Streptococcus,2554.93225535793,1314.27010308292,12253.9064669033,8197.91265183345,13710.3134681859,13455.7883375046,7371.53287496717,11386.4156951283,9404.65233750648,1425.59340030279
Corynebacterium,3785.67701799461,1752.3652751391,4822.11736139585,10182.645106066,15183.4253560511,8659.18710240952,19587.9336149115,4160.58669892045,17268.0743883535,8585.55006631271
Pseudomonas,8320.49370527177,4273.46566300162,3390.83512194923,11938.5771781731,10876.4333176999,6541.52534204711,6737.61238615317,4761.59428315296,88440.5368593983,7033.3315642677
Staphylococcus,1416.96899264308,1484.71283762154,4479.59496582461,7039.29175084119,3978.49022486678,7238.1489706954,4001.04618103213,16810.8892014028,13938.6284605234,3256.74176716466
Acinetobacter,12066.2853193852,2819.65635025479,2035.58132426217,5778.67258509693,14125.6601468976,13756.5871611742,3603.5938079679,13084.3477466416,73921.1368344317,19301.5678941725
Propionibacterium,687.605820173174,318.015893435768,11518.935619383,3524.59302950247,8267.95675739403,8852.31873494185,7776.80745667814,23827.9436604589,5244.44001423925,15060.7756338796
Pinus,1043.90391156741,4750.30146144471,8357.31604840639,498.086903666776,687.34780893879,942.719706837762,1412.52972665839,37935.2725603952,579.936832598759,105.994499398041
Lactobacillus,917.303727067309,4502.87230425257,10458.7641897788,7052.55274350428,6549.74153808053,24024.3545929877,2183.74382802348,6229.39512538166,4137.42316652054,13032.9720407364
Malassezia,396.350340342329,106.800754753599,9425.72438379928,903.370740604432,9196.9206501396,807.880605368689,3810.48635181738,13553.9384250605,7656.38323781388,23.2801594198632
Trametes,2379.61937725312,26896.8894038444,32091.6052614976,29971.3840257458,17505.6986432897,29016.384978724,20617.7004162097,301.752257700519,628.31915187183,167.861439751212
Stereum,1005.01180528667,48817.8738796314,61905.9765206599,20735.3808286876,3552.8874582002,39469.3407405452,1364.10467059957,69.0841455593938,24.6141823073458,388.509537003841
Castanea,25685.6651438157,1444.6303582759,2410.53415787381,1766.16534396015,14644.7834643184,2701.27852731911,5696.03816024494,3968.9732820164,668.763290896037,8386.96788311016
Rhodococcus,10995.2412050052,1153.33703376616,399.522354615297,864.50716290489,2542.62294219639,101.015993889462,970.583543993216,14770.3530475224,57.0039260407385,0
Nocardioides,10326.5018370935,707.735003586587,472.119974701549,2235.32322427436,2689.52194344389,8940.0899187299,4604.67604865853,11833.9211485138,6590.39041700519,626.601193901633
Streptomyces,636.134874551778,21.9265621462901,640.578704573064,751.095200597503,1017.58328134053,927.817082658497,5719.31056356769,5045.13201905735,669.850896936245,13.0777960215055
Escherichia,45.3138853917817,90.1571196962435,346.445653913169,154.880829762171,234.88502114595,420.483439137576,874.289091725279,4178.02894144831,1310.59519618761,16483.9044690538
Haemophilus,173.806799145353,175.13318037209,323.622624738996,638.079308569992,252.847794392218,543.284850487067,201.808911840037,2977.95648505816,734.352365073353,2123.31425578422
Rothia,25.1598386510489,1514.62696648112,985.091122882103,783.991311791426,337.511444458281,839.59760047361,825.663041078308,2183.69337436947,1128.47671257734,49.2290136353685
Hymenobacter,11105.3484756664,3304.66923911375,5373.3252253958,3141.29654207723,10270.5578327571,16519.2646648512,5084.10470920715,26092.1674526915,994.259069784627,3481.56705906957
Bacillus,848.525039796012,430.298638077804,0,275.542834898204,116.281052332139,1311.60058156943,66.3903672822968,1845.66308298061,357.681743781332,16.8558444505217
Kocuria,45.9351546689994,406.559865378179,340.056896384908,814.599438892795,470.462618652571,753.502698587749,888.034040143254,8882.35379765228,288.552329903589,0
Mycobacterium,1873.93807003539,43.7692848279863,1784.39657709592,1128.13610775188,5193.88583884165,357.769375816029,101.631604406162,939.521464705174,2184.47484218907,79.0611147845853
Psychrobacter,726.336183062925,2247.24147757841,527.859884282447,4300.83740127114,1939.57571993188,932.447102541608,1601.35314142826,18910.0738037422,16801.9250088489,6439.83013764243
Puccinia,973.741569731854,136.8811593015,78.3878999613476,31.3082558963912,399.316285185383,87.3799757624732,86.1149240995399,54.2486063533271,0,0
Veillonella,108.451631707176,27.1730071803088,135.367472356647,359.836922408576,1248.04750751361,249.140636694559,489.695393659943,1037.95220047349,1455.67742070981,315.625100155559
Delftia,27.3539070995523,30.1751786939288,2761.67109325288,240.333004783379,95.2842088848018,5307.0495228725,1792.54586463024,1749.56621422527,1069.98115053761,3599.05598369592
Betula,8431.57219972598,1659.78892118609,1215.14400627288,490.163562391868,5792.98697750993,3090.45788274135,2115.29005863747,2896.95478372356,159.958832644243,1358.21997405228
Fraxinus,486.643306586711,129.879259388262,359.537224214734,19.6704293638783,126.943589924376,283.973087805727,514.101346824806,418.450482474119,1263.78923861083,207.103028372779
Sphingomonas,6413.50687670091,582.338788604201,1679.14416967515,1989.02713747975,4323.06954124197,417.253377898632,3012.1886257143,2740.75006357019,7900.15432185348,498.938203390942
Finegoldia,126.424577556163,89.3865973963453,340.675916462902,56.6638634469418,1433.46374019808,239.815282662931,27.3283610256236,19.2837512902719,1869.18089712059,2007.82264592005
Anaerococcus,420.22071649972,91.511345375234,1875.35093823181,191.391489600435,770.079191407735,44.3703659963608,306.321986721831,262.06585944576,1523.98571936591,1061.28304998357
Clostridium,529.305677586303,19.8002010450068,1.45485841071067,1084.83536721695,882.856907656508,1202.59374617881,39.7561891937928,3008.570360416,236.24847381432,855.115443425252
Penicillium,805.602795462372,1193.43651252254,488.009902503186,732.787750469649,1049.41736871509,756.491825818921,719.765206226326,36.9270165483843,23.2219739457654,9.36745621621435
Microbacterium,2213.75440787292,278.781686839657,187.039156474337,746.26018446757,932.46720336657,1660.94911357791,224.59652799227,3781.1331812326,16.4377705401462,663.734437288666
Deinococcus,114.294515569458,259.536264534759,913.605017548762,303.717045392393,3573.91100810174,825.328503642628,202.104551479414,1814.40385373747,341.130323894763,21879.7087427519
Paracoccus,228.277669670793,251.601390236313,1095.29569853024,29.3172909004113,863.127745172651,92.85485775445,5.47779239285878,184.611830852032,2416.96965610339,5.31555013884426
Actinomyces,76.6510000592139,67.8213882575147,610.670664781443,1053.27104049172,2186.96499986847,889.066265556674,102.387602032319,0,392.076204285893,14310.1330318838
Neisseria,329.531914837076,242.98799770035,32.9319428213329,952.508908097398,871.313797899493,3197.05937898844,130.500126684914,11.7764356387032,152.206088483727,6029.8896037173
Moraxella,88.888917082976,505.159419854627,40.4797456101099,1006.94303547317,1479.46863895796,1410.7188853944,3578.05047025154,1184.85531830736,995.706816600848,7.65792584946914
Aspergillus,154.645388140952,53.3073117437299,6742.74918653932,169.368652191739,93.3967188127697,890.584602116535,4340.38954166464,478.247402604566,118.94194065499,455.332440901764
Peptoniphilus,210.393777495238,18.1976327417536,331.859314139219,107.791199673913,166.191553721226,32.2243330488384,157.127000470105,9.23031463574925,1401.02095308975,0
Methylobacterium,2227.81697906248,186.992656402861,400.695375014847,503.338251832451,794.326265541148,255.087460803814,572.431021519159,125.299703312621,724.401723104819,230.078127797126
Fusobacterium,8.96255534811261,132.888913921479,261.0180017763,188.588837279219,269.951646210224,957.97022096618,54.182675584441,0.28504879767009,400.848070758543,2728.99042449565
Oryza,22.0490888244616,101.74575105708,716.114510954152,20.2977446325641,734.456705747426,62.0314074322031,7925.17043843589,82.0648092095468,449.337448633675,31.9201059873316
Brevibacterium,0,4.19641057714856,0,7.41894355580015,564.893644769404,2.52328927323601,536.502650209906,20.9405578385442,373.355708492663,0
Phellinus,232.140201491018,3549.49190932861,5991.64526719677,1292.89528194463,1317.68087462921,2618.58534452674,1052.17196458359,2.01877704656167,23.6254104072966,0.748894487457448
Bacteroides,88.6497688763144,8.08354290803819,1374.935636543,102.988694733983,817.270288808814,148.035974180554,1378.9966838879,671.931905067108,991.635142981742,71.6670878525887
Dolosigranulum,356.192345891896,23.0104096059883,770.249647406856,401.177836538994,133.440847647334,1198.10776650308,722.720315623306,20370.3207798953,16.318584823508,0
Preussia,6977.3841748374,199.305190135698,91.2809364054562,254.020310212619,2410.76137654611,1367.05638534904,1596.10518934053,38.4496418273799,79.5435018048686,0
Prevotella,156.359852494811,28.990069861429,4.78626361242334,128.915196226201,252.437028891696,2564.31087839903,943.972228877899,9.25523579856219,40.054240215637,17.6396148559483
Aeromonas,323.690200909258,428.658806547985,448.11532948879,475.47498588091,3100.81132132563,110.227674522111,82.3806896982571,0.50936065397597,161.773417070063,131.843253856918
Pantoea,1432.31816314374,334.882952679548,0,406.529572363695,432.839198707177,119.28112939259,229.927826079744,0,4103.37556464969,0
Curtobacterium,5302.84296949359,352.241225364924,322.82682117801,68.4425957329274,183.065431880109,377.526932083393,314.049283227142,1.09216241731281,1018.54900389863,0
Leuconostoc,16.5747355755406,149.815146061992,1041.38075028606,161.420699924444,1892.18336765254,43.7893160991229,27.0837658337217,270.686961675683,1224.11078287817,0
Porphyromonas,52.4071950895625,114.609660439496,15.0104380621267,799.166081831867,479.975027695544,2290.66380360966,243.928265354048,129.683859798614,0,1523.10794230705
Ceraceosorus,1650.24285014314,2760.07572943782,7287.31485766795,1081.4095465121,0,1.71673044343475,148.922065977353,0,0,28.6491912021474
Halomonas,0.508494304037565,0,557.807554977939,2.54179673356818,83.7854880498214,12.16831059393,2.51457286228887,2.26916011194995,69362.0389707399,4.61427149415696
Quercus,501.895254793314,3.48506350330025,4405.08080465108,17.3633040964984,12.9043357427475,10.3170052192011,384.614968001969,0,208.033592086812,10051.1942200817
Spirosoma,3592.57619552259,795.132163876165,998.070679135346,638.881651149359,1980.28454830537,1488.77869707438,299.30269286573,1227.55394773476,2.95948848165087,50.0259746670617
Arthrobacter,525.943992507728,1126.76783718994,32.0806562609122,752.157947627709,576.681011214371,259.8171195898,1959.67329804459,12631.8511143989,2.62487514663749,0.140081148239724
Leptotrichia,7.25507380200135,43.7852596636655,0,81.341880583136,83.0360741685202,16.8639478363551,522.836147459844,705.872441001663,127.145066081168,12.2383487975891
Physarum,527.64850283327,114.576822690999,0,248.799205830632,0,18.1201757450801,2.92945667895968,0,0,0
Flavobacterium,1180.06035772438,171.228869273099,728.385025623115,1020.62192740579,88.0235971177484,1203.25352510023,1091.86898356332,4465.76118923317,9.44425953591973,0
Onygena,256.746691497695,4660.54721931466,3854.77698727326,2457.38725844134,1693.24812831076,1214.86154463219,2964.56848512362,6.78718315889144,245.723434761521,0
Truepera,28.1858017551574,0.950767181326957,242.772350274385,31.7168361635359,6.39008354621708,4086.15294504534,341.941810790319,860.776876047611,14.7657798170943,0.48251270441913
