,xinexpo22_I12,xinexpo51_I6,xinexpo56_I5,xinexpo44_I15,xinexpo28_I15,xinexpo74_I6,xinexpo56_I12,xinexpo70_I6,xinexpo62_I6,xinexpo75_I12
Firmicutes,15694.9904333328,19593.7171822592,41449.0582766634,51723.9413712942,59036.0582276187,80336.5190574524,47603.0835680128,104187.187936371,101822.107132592,49350.4064092378
Proteobacteria,101729.74263994,28245.9660287127,37620.7770314137,71981.9856822813,75731.6784612423,75356.8498889296,77853.7709218602,98692.8444455718,482170.593705276,142311.347565777
Actinobacteria,97986.6748604447,18641.3280128417,44229.5103456115,44629.6061455068,67495.5734943474,64600.7190435917,76781.5940457437,205850.395905224,61002.063369588,128215.551921492
Basidiomycota,29296.991366018,422697.266031404,292771.505789977,343137.357393967,155198.586933193,185938.735033256,170453.467407598,23762.0660974122,16311.827450226,20150.7783115924
Streptophyta,55453.2578850171,16870.9732804817,31510.695809653,6323.90463987892,35691.8980302855,16442.6028543676,75164.9232567143,95864.1924876267,19316.7638736846,59620.4148262618
Ascomycota,77980.7827800463,15718.1555870551,37264.9949629998,24499.9091245834,54762.9816207311,70865.6193135219,30282.1593036486,6618.1467139192,8493.30421361935,10136.8357048177
Bacteroidetes,34269.5401645932,9120.07637878817,13481.4922761527,12539.808656874,34241.0916058801,36701.0971098219,16882.3024225915,48365.8920672332,11051.9520955776,6810.28937729776
Cyanobacteria,2162.51715722382,2138.40869506853,4172.10845735476,3546.42485748087,3637.31522633454,4454.43485608925,9385.81886752714,178.229762421039,7385.99392321728,239074.486376663
Deinococcus-Thermus,142.451627664486,262.252862145639,1156.61848784021,335.445093842685,3579.19745650826,4906.51336372709,545.027673633031,2658.06662919712,355.449344878824,21805.0281682075
Fusobacteria,81.2873291983013,224.63753796366,264.194242469065,451.374968666353,514.036464834192,1674.80121126938,1405.5914664922,701.639944432468,527.867585872155,2930.15178517809
Arthropoda,281.305589916532,167.858652880963,1097.42318863297,344.224571584329,423.910113958551,3095.89428407061,1021.5432461689,1192.04504340702,1134.95754116384,2225.60314654571
Chordata,15.2078098269556,50.7544350247603,1153.40584776507,87.7408359030443,45.8701746677171,7456.51203387479,342.596667974221,564.445598182844,229.607937968039,558.992267342608
Acidobacteria,7608.23156266125,100.12321492375,721.459008312964,602.429799186493,1051.68660174384,490.987068349505,1742.09253719372,554.565385910038,1244.6188114404,10807.1782189794
Planctomycetes,4797.07356546925,428.728313228987,499.304044166046,1010.42474005308,725.272936337652,896.403509071052,1399.04054300522,775.884960438854,2129.21162190324,189.279991840542
Chloroflexi,1064.11601094864,49.2812872554876,3572.54274937082,402.212616531502,66.8073232650349,165.357486120187,358.235624754756,1350.4184111989,1.64603635755135,0
Verrucomicrobia,3778.05331668485,146.411944967816,21.5237786478633,1306.08038257067,2356.2304854541,1256.97040613413,3431.47876207686,334.277166264625,1143.8194367705,0
Candidatus Saccharibacteria,1117.04875814462,55.6571287365335,130.115855764458,957.703049159296,374.597714570902,231.619654578907,829.063622031805,1644.68121035951,0,3.66796195250281
Nematoda,489.244484694644,143.497486881747,61.1494869762017,1.68464940547671,0.479335056524388,13.1515230428626,188.660348534073,1229.66060884276,0,242.649766765189
