Habit,Week,Level,Weekly Goal,Weekly Success,Daily Target,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Afternoon Lap,2016-10-31,1,2,True,2000,,,,,3331,4807,4112
Afternoon Lap,2016-11-07,2,4,True,2000,4994,1343,350,2041,3592,5403,4100
Afternoon Lap,2016-11-14,3,4,True,2000,2392,2870,1691,1901,2983,4471,1971
Afternoon Lap,2016-11-21,4,4,True,2000,1901,2406,2281,13918,6668,3087,7414
Afternoon Lap,2016-11-28,5,4,True,2000,3727,1527,1555,2036,2710,8396,6580
Afternoon Lap,2016-12-05,5,4,True,2000,2665,955,4212,1337,3967,864,7443
Afternoon Lap,2016-12-12,5,4,True,2000,2960,1434,1430,2091,3835,2168,2442
Afternoon Lap,2016-12-19,5,4,True,2000,3408,1558,2386,2299,2104,4258,1987
Afternoon Lap,2016-12-26,5,4,True,2000,1423,2270,6855,2154,3143,6075,
Wear It,2015-05-18,1,2,True,720,,,491,1403,1421,1369,1415
Wear It,2015-05-25,2,4,True,720,1417,1380,1396,1356,1401,1370,1374
Wear It,2015-06-01,3,4,True,720,1398,1399,934,,,1342,1361
Wear It,2015-06-08,4,4,True,720,1413,1399,1405,1404,1293,1370,1032
Wear It,2015-06-15,5,4,True,720,1035,1402,1366,1381,1363,1423,1393
Wear It,2015-06-22,5,4,True,720,1373,1400,1404,1418,1421,1001,1374
Wear It,2015-06-29,5,4,True,720,1381,1408,1406,1410,1405,1422,1079
Wear It,2015-07-06,5,4,True,720,1413,1352,1346,1380,1434,1375,1398
Wear It,2015-07-20,5,4,True,720,1420,1398,1390,1046,1401,1235,1381
Wear It,2015-07-27,5,4,True,720,1408,1408,1372,1402,1395,1197,1404
Wear It,2015-08-03,5,4,True,720,1378,1417,1422,1376,1399,1397,1388
Wear It,2015-08-10,5,4,True,720,1402,1392,1399,1388,1409,1361,1415
Wear It,2015-08-17,5,4,True,720,1348,1417,1416,1387,1343,1415,1413
Wear It,2015-08-24,5,4,True,720,1417,1414,1396,705,1423,1408,1374
Wear It,2015-08-31,5,4,True,720,1383,1403,1423,1416,1288,1076,1412
Wear It,2015-09-07,5,4,True,720,1350,1385,1403,1417,1420,1429,1407
Wear It,2015-09-14,5,4,True,720,1063,1402,1416,1376,1414,1401,1360
Wear It,2015-09-21,5,4,True,720,1409,1165,1035,1191,1393,1388,1413
Wear It,2015-09-28,5,4,True,720,1408,1380,1408,1374,1424,1404,1389
Wear It,2015-10-05,5,4,True,720,1438,1404,1358,757,1397,1404,1350
Wear It,2015-10-12,5,4,True,720,1405,1377,1409,1401,1416,1396,1388
