Timestamp (UTC),Timestamp (local),Calories,GSR,Heart Rate,Skin Temperature (F),Steps
2016-08-31 22:00:00,2016-09-01 00:00:00,1,7.51423140173e-05,65,90.5,0
2016-08-31 22:01:00,2016-09-01 00:01:00,1.1,7.34969435143e-05,66,90.5,0
2016-08-31 22:02:00,2016-09-01 00:02:00,1.1,7.55593791837e-05,62,90.5,0
2016-08-31 22:03:00,2016-09-01 00:03:00,1,7.47275553294e-05,61,90.5,0
2016-08-31 22:04:00,2016-09-01 00:04:00,1.1,7.34969435143e-05,71,90.5,0
2016-08-31 22:05:00,2016-09-01 00:05:00,1.1,0.000101318990346,60,90.5,0
2016-08-31 22:06:00,2016-09-01 00:06:00,1,0.000104162158095,66,90.5,0
2016-08-31 22:07:00,2016-09-01 00:07:00,1.1,8.44043461257e-05,69,89.6,0
2016-08-31 22:08:00,2016-09-01 00:08:00,1.1,8.48728159326e-05,65,89.6,0
2016-08-31 22:09:00,2016-09-01 00:09:00,1.1,8.53438905324e-05,65,89.6,0
2016-08-31 22:10:00,2016-09-01 00:10:00,1,8.53438905324e-05,63,89.6,0
2016-08-31 22:11:00,2016-09-01 00:11:00,1.1,8.58175772009e-05,65,89.6,0
2016-08-31 22:12:00,2016-09-01 00:12:00,1.1,8.62938977662e-05,70,89.6,0
2016-08-31 22:13:00,2016-09-01 00:13:00,1.1,8.53438905324e-05,67,89.6,0
2016-08-31 22:14:00,2016-09-01 00:14:00,1,7.34969435143e-05,66,89.6,0
2016-08-31 22:15:00,2016-09-01 00:15:00,1.1,8.25561655802e-05,72,89.6,0
2016-08-31 22:16:00,2016-09-01 00:16:00,1.1,9.91004417301e-05,74,89.6,13
2016-08-31 22:17:00,2016-09-01 00:17:00,1,9.02008541743e-05,92,89.6,21
2016-08-31 22:18:00,2016-09-01 00:18:00,1.1,6.22521984042e-05,101,88.7,19
2016-08-31 22:19:00,2016-09-01 00:19:00,1.1,6.29451606073e-05,88,88.7,12
2016-08-31 22:20:00,2016-09-01 00:20:00,1.5,7.1490809205e-05,95,88.7,0
