mz-peak	PIUMet-ID	Metabolite-Name	HMDB-ID	origin	super-class	Cellular-location	monisotopic-moleculate-weight	Chemical-formula
m/z=246.1437	met2334	Dibutyl malate	HMDB0031696	Endogenous|Food	Organic acids and derivatives	Cytoplasm|Extracellular	246.14672381	C12H22O5
m/z=246.1437	met47795	3-Hydroxydodecanedioic acid	HMDB0000413	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane	246.14672381	C12H22O5
m/z=297.1139	met40110	Phenethylamine glucuronide	HMDB0010323	Endogenous	Organic compounds	NULL	297.12123734	C14H19NO6
m/z=297.1139	met14538	3-O-Methylguanosine	HMDB0006038	Endogenous	Organic compounds	NULL	297.10731861	C11H15N5O5
m/z=297.1139	met69269	1-Methylguanosine	HMDB0001563	Endogenous	Organic compounds	NULL	297.10731861	C11H15N5O5
m/z=297.1139	met61291	2-Methylguanosine	HMDB0005862	Endogenous	Organic compounds	NULL	297.10731861	C11H15N5O5
m/z=157.1174	met14412	(S)-Homostachydrine	HMDB0033433	Food	Organic compounds	Extracellular|Cytoplasm	157.11027873	C8H15NO2
m/z=181.081	met18168	4-Hydroxy-4-(3-pyridyl)-butanoic acid	HMDB0001119	Endogenous	Organic compounds	NULL	181.07389322	C9H11NO3
m/z=181.081	met51297	o-Tyrosine	HMDB0006050	Endogenous	Organic compounds	NULL	181.07389322	C9H11NO3
m/z=181.081	met12764	Beta-Tyrosine	HMDB0003831	Endogenous	Organic compounds	NULL	181.07389322	C9H11NO3
m/z=181.081	met50143	L-Tyrosine	HMDB0000158	Endogenous	Organic acids and derivatives	Cytoplasm|Extracellular|Mitochondria	181.07389322	C9H11NO3
m/z=181.081	met28883	L-Threo-3-Phenylserine	HMDB0002184	Endogenous	Organic compounds	NULL	181.07389322	C9H11NO3
m/z=187.128	met24868	N-Heptanoylglycine	HMDB0013010	Endogenous	Organic compounds	NULL	187.12084341	C9H17NO3
