"","hmdb_id"
"1","HMDB00157"
"2","HMDB00650"
"3","HMDB0000895"
"4","HMDB03869"
"5","HMDB01043"
"6","HMDB00788"
"7","HMDB00884"
"8","HMDB01847"
"9","HMDB00157"
"10","HMDB00650"
"11","HMDB0000895"
"12","HMDB01043"
"13","HMDB00788"
"14","HMDB00884"
"15","HMDB01847"
"16","HMDB00039|HMDB01873"
"17","HMDB00190"
"18","HMDB00157"
"19","HMDB00650"
"20","HMDB0000895"
"21","HMDB01043"
"22","HMDB00788"
"23","HMDB00884"
"24","HMDB01847"
"25","HMDB13164"
"26","HMDB00641"
"27","HMDB29159"
"28","HMDB01539"
"29","HMDB00517"
"30","HMDB00705"
"31","HMDB00651"
"32","HMDB13326"
"33","HMDB0000746"
"34","HMDB00529"
"35","HMDB00036"
"36","HMDB00784"
"37","HMDB01325"
"38","HMDB00682"
"39","HMDB00562"
"40","HMDB01563"
"41","HMDB33433"
"42","HMDB00929"
"43","HMDB00696"
"44","HMDB00070"
"45","HMDB00158"
"46","HMDB00123"
"47","HMDB02366"
"48","HMDB0001889"
"49","HMDB29006"
"50","HMDB00872"
"51","HMDB00669"
"52","HMDB00157"
"53","HMDB00650"
"54","HMDB0000895"
"55","HMDB01043"
"56","HMDB00788"
"57","HMDB00884"
"58","HMDB01847"
"59","HMDB33433"
"60","HMDB00158"
"61","HMDB00872"
"62","HMDB00159"
"63","HMDB00001"
"64","HMDB00182"
"65","HMDB02183"
"66","HMDB00300"
"67","HMDB10351"
"68","HMDB00479"
"69","HMDB00062"
"70","HMDB11749"
"71","HMDB10398"
"72","HMDB00036"
"73","HMDB00329"
"74","HMDB00641"
"75","HMDB29159"
"76","HMDB01539"
"77","HMDB00517"
"78","HMDB00705"
"79","HMDB00651"
"80","HMDB13326"
"81","HMDB0000746"
"82","HMDB00529"
"83","HMDB00036"
"84","HMDB00784"
"85","HMDB00039|HMDB01873"
"86","HMDB00190"
"87","HMDB00157"
"88","HMDB00650"
"89","HMDB0000895"
"90","HMDB01043"
"91","HMDB00788"
"92","HMDB00884"
"93","HMDB01847"
"94","HMDB04827"
"95","HMDB01868"
"96","HMDB00192"
"97","HMDB01999"
"98","HMDB00152"
"99","HMDB02000"
"100","HMDB00529"
"101","HMDB00138"
"102","HMDB33724"
"103","HMDB01008"
"104","HMDB11474"
"105","HMDB00097"
"106","HMDB00730"
"107","HMDB00725"
"108","HMDB00883"
"109","HMDB00772"
"110","HMDB04400"
"111","HMDB00791"
"112","HMDB29377"
"113","HMDB37844"
"114","HMDB00782"
"115","HMDB00562"
"116","HMDB01563"
"117","HMDB00929"
"118","HMDB00696"
"119","HMDB00070"
"120","HMDB00123"
"121","HMDB02366"
"122","HMDB0001889"
"123","HMDB29006"
"124","HMDB00669"
