"true_name","from","to","Correlation","p_value","fdr"
"genus_Dolosigranulum","genus_Dolosigranulum","dSO2",0.939552351223526,5.4279957242675e-05,4.26536050311395
"genus_Paenibacillus","genus_Paenibacillus","temperature",0.915151515151515,0.000466722165549449,3.33094157312979
"genus_Streptomyces","genus_Streptomyces","humid",0.924506702884387,0.00012963268591554,3.88728548054117
"Acephate","NM3057","humid",-0.903030303030303,0.000880224994754135,3.05540630342852
"4-Nitrophenol","NM1340","genus_Cylindrobasidium",-0.914179247518375,0.000213749256243363,3.67009538775752
"4-Chloro-o-toluidine","NM1550","genus_Phialocephala",-0.939393939393939,0,Inf
"Acephate","NM3057","genus_Fibulorhizoctonia",-0.927272727272727,0.000130162394465273,3.88551447072355
"Propoxur","NM3471","genus_Tricholoma",-0.914179247518375,0.000213749256243363,3.67009538775752
"Propoxur","NM3471","genus_Piriformospora",-0.914179247518375,0.000213749256243363,3.67009538775752
"Oxybenzone","NM3747","genus_Tricholoma",-0.901908385135578,0.000359290454388358,3.44455432095714
"Oxybenzone","NM3747","genus_Cylindrobasidium",-0.938720972283969,5.72698665143597e-05,3.94104383348294
"Bentazone","NM3850","genus_Erysiphe",-0.901908385135578,0.000359290454388358,3.44455432095714
"Pentachloronaphthalene","NM4272","genus_Hirsutella",-0.912945883241855,0.000225958596236112,3.64597113197432
"Captan","NM4280","genus_Agaricus",-0.931705045226276,8.75967735364386e-05,4.0575118899635
"Fenazaquin","NM4303","genus_Baudoinia",-0.909741195407544,0.000260078172691073,3.58489609485372
"N-Nitrosodiethylamine","PM0320","genus_Aspergillus",0.927272727272727,0.000130162394465275,3.88551447072354
"Diethylene glycol","PM0594","genus_Cylindrobasidium",-0.901908385135578,0.000359290454388358,3.44455432095714
"o-Toluidine","PM0626","genus_Cylindrobasidium",-0.914179247518375,0.000213749256243363,3.67009538775752
"Dimethyl sulfate","PM0711","genus_Cylindrobasidium",-0.914179247518375,0.000213749256243363,3.67009538775752
"Octanoic acid","PM0799","genus_Erysiphe",-0.914179247518375,0.000213749256243363,3.67009538775752
"Chloral","PM0834","genus_Byssochlamys",0.938720972283969,5.72698665143589e-05,4.24207382914693
"Chloronaphthalene","PM0964","genus_Neolentinus",0.901908385135578,0.000359290454388358,3.44455432095714
"Ethylparaben","PM1015","genus_Tricholoma",-0.938720972283969,5.72698665143597e-05,3.94104383348294
"Ethylparaben","PM1015","genus_Cylindrobasidium",-0.926450109901172,0.000117071242177328,3.93154977356589
"Cyromazine","PM1018","genus_Tricholoma",-0.901908385135578,0.000359290454388358,3.44455432095714
"Anthracene","PM1121","genus_Tricholoma",-0.901908385135578,0.000359290454388358,3.44455432095714
