"from","to","Correlation","p_value","fdr","from_class","from_name","to_class","to_name","from_num","to_num"
"NM1254","IL17A",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (chemical)","Salicylic acid","Cytokine","IL17A",3,11
"NM1254","GROA",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (chemical)","Salicylic acid","Cytokine","GROA",3,4
"NM1254","MCP3",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (chemical)","Salicylic acid","Cytokine","MCP3",3,11
"NM1446","IL17A",-1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Trimethyl Phosphate","Cytokine","IL17A",2,11
"NM1446","MCP3",-1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Trimethyl Phosphate","Cytokine","MCP3",2,11
"NM1550","IL6",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","4-Chloro-o-toluidine","Cytokine","IL6",5,8
"NM1550","NGF",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","4-Chloro-o-toluidine","Cytokine","NGF",5,8
"NM1550","IL12P40",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","4-Chloro-o-toluidine","Cytokine","IL12P40",5,8
"NM1550","IL15",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","4-Chloro-o-toluidine","Cytokine","IL15",5,8
"NM1550","ICAM1",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","4-Chloro-o-toluidine","Cytokine","ICAM1",5,8
"NM2680","IL17A",-1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Tetrachloroethylene","Cytokine","IL17A",2,11
"NM2680","MCP3",-1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Tetrachloroethylene","Cytokine","MCP3",2,11
"NM3057","FASL",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Acephate","Cytokine","FASL",10,8
"NM3057","IL27",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Acephate","Cytokine","IL27",10,8
"NM3057","IL4",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Acephate","Cytokine","IL4",10,8
"NM3057","IL5",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Acephate","Cytokine","IL5",10,8
"NM3057","IL7",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Acephate","Cytokine","IL7",10,8
"NM3057","IFNB",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Acephate","Cytokine","IFNB",10,8
"NM3057","IL13",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Acephate","Cytokine","IL13",10,8
"NM3057","IL31",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Acephate","Cytokine","IL31",10,8
"NM3057","IFNG",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Acephate","Cytokine","IFNG",10,8
"NM3057","GCSF",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Acephate","Cytokine","GCSF",10,8
"NM4337","IL17A",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Zeranol","Cytokine","IL17A",2,11
"NM4337","MCP3",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Zeranol","Cytokine","MCP3",2,11
"PM1171","IL23",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Triethyl phosphate","Cytokine","IL23",1,21
"PM1880","IL6",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","p-Hydroxy-meta-chlorophenylpiperazine","Cytokine","IL6",5,8
"PM1880","NGF",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","p-Hydroxy-meta-chlorophenylpiperazine","Cytokine","NGF",5,8
"PM1880","IL12P40",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","p-Hydroxy-meta-chlorophenylpiperazine","Cytokine","IL12P40",5,8
"PM1880","IL15",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","p-Hydroxy-meta-chlorophenylpiperazine","Cytokine","IL15",5,8
"PM1880","ICAM1",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","p-Hydroxy-meta-chlorophenylpiperazine","Cytokine","ICAM1",5,8
"PM1935","IL17A",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Pymetrozin","Cytokine","IL17A",2,11
"PM1935","MCP3",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Pymetrozin","Cytokine","MCP3",2,11
