"from","to","Correlation","p_value","fdr"
"NM0104","class_Bacilli",1,0.0166666666666667,1.77815125038364
"NM0104","order_Lactobacillales",1,0.0166666666666667,1.77815125038364
"NM0104","family_Streptococcaceae",1,0.0166666666666667,1.77815125038364
"NM0522","class_Betaproteobacteria",-1,0.0166666666666667,1.77815125038364
"NM0522","order_Burkholderiales",-1,0.0166666666666667,1.77815125038364
"NM0522","family_Clostridiaceae.1",1,0.0166666666666667,1.77815125038364
"NM0522","family_Rikenellaceae",1,0.0166666666666667,1.77815125038364
"NM0522","family_Sutterellaceae",-1,0.0166666666666667,1.77815125038364
"NM0522","genus_Alistipes",1,0.0166666666666667,1.77815125038364
"NM0522","genus_Clostridium.sensu.stricto",1,0.0166666666666667,1.77815125038364
"NM0522","genus_Eggerthella",1,0.0166666666666667,1.77815125038364
"NM0522","genus_Odoribacter",1,0.0166666666666667,1.77815125038364
"NM0522","genus_Parasutterella",1,0.0166666666666667,1.77815125038364
"NM0522","genus_Roseburia",-1,0.0166666666666667,1.77815125038364
"NM1145","genus_Barnesiella",-1,0.0166666666666667,1.77815125038364
"NM1145","genus_Clostridium.IV",-1,0.0166666666666667,1.77815125038364
"NM1145","genus_unclassified_Ruminococcaceae",-1,0.0166666666666667,1.77815125038364
"NM1240","family_Peptostreptococcaceae",-1,0.0166666666666667,1.77815125038364
"NM1240","family_unclassified_Clostridiales",1,0.0166666666666667,1.77815125038364
"NM1240","genus_Clostridium.XI",-1,0.0166666666666667,1.77815125038364
"NM1240","genus_Clostridium.XlVa",-1,0.0166666666666667,1.77815125038364
"NM1240","genus_unclassified_Clostridiales",1,0.0166666666666667,1.77815125038364
"NM1340","class_Betaproteobacteria",-1,0.0166666666666667,1.77815125038364
"NM1340","order_Burkholderiales",-1,0.0166666666666667,1.77815125038364
"NM1340","family_Clostridiaceae.1",1,0.0166666666666667,1.77815125038364
"NM1340","family_Rikenellaceae",1,0.0166666666666667,1.77815125038364
"NM1340","family_Sutterellaceae",-1,0.0166666666666667,1.77815125038364
"NM1340","genus_Alistipes",1,0.0166666666666667,1.77815125038364
"NM1340","genus_Clostridium.sensu.stricto",1,0.0166666666666667,1.77815125038364
"NM1340","genus_Eggerthella",1,0.0166666666666667,1.77815125038364
"NM1340","genus_Odoribacter",1,0.0166666666666667,1.77815125038364
"NM1340","genus_Parasutterella",1,0.0166666666666667,1.77815125038364
"NM1340","genus_Roseburia",-1,0.0166666666666667,1.77815125038364
"NM1446","class_Betaproteobacteria",-1,0.0166666666666667,1.77815125038364
"NM1446","order_Burkholderiales",-1,0.0166666666666667,1.77815125038364
"NM1446","family_Clostridiaceae.1",1,0.0166666666666667,1.77815125038364
"NM1446","family_Rikenellaceae",1,0.0166666666666667,1.77815125038364
"NM1446","family_Sutterellaceae",-1,0.0166666666666667,1.77815125038364
"NM1446","genus_Alistipes",1,0.0166666666666667,1.77815125038364
"NM1446","genus_Clostridium.sensu.stricto",1,0.0166666666666667,1.77815125038364
"NM1446","genus_Eggerthella",1,0.0166666666666667,1.77815125038364
"NM1446","genus_Odoribacter",1,0.0166666666666667,1.77815125038364
"NM1446","genus_Parasutterella",1,0.0166666666666667,1.77815125038364
"NM1446","genus_Roseburia",-1,0.0166666666666667,1.77815125038364
"NM1550","phylum_Verrucomicrobia",-1,0.0166666666666667,1.77815125038364
"NM1550","class_Verrucomicrobiae",-1,0.0166666666666667,1.77815125038364
"NM1550","order_Verrucomicrobiales",-1,0.0166666666666667,1.77815125038364
"NM1550","family_Verrucomicrobiaceae",-1,0.0166666666666667,1.77815125038364
"NM1550","genus_Akkermansia",-1,0.0166666666666667,1.77815125038364
"NM1550","genus_Oscillibacter",-1,0.0166666666666667,1.77815125038364
"NM1550","genus_Parabacteroides",-1,0.0166666666666667,1.77815125038364
"NM2328","family_Peptostreptococcaceae",-1,0.0166666666666667,1.77815125038364
"NM2328","family_unclassified_Clostridiales",1,0.0166666666666667,1.77815125038364
"NM2328","genus_Clostridium.XI",-1,0.0166666666666667,1.77815125038364
"NM2328","genus_Clostridium.XlVa",-1,0.0166666666666667,1.77815125038364
"NM2328","genus_unclassified_Clostridiales",1,0.0166666666666667,1.77815125038364
"NM3853","class_Bacilli",1,0.0166666666666667,1.77815125038364
"NM3853","order_Lactobacillales",1,0.0166666666666667,1.77815125038364
"NM3853","family_Streptococcaceae",1,0.0166666666666667,1.77815125038364
"NM4256","phylum_Verrucomicrobia",1,0.0166666666666667,1.77815125038364
"NM4256","class_Verrucomicrobiae",1,0.0166666666666667,1.77815125038364
"NM4256","order_Verrucomicrobiales",1,0.0166666666666667,1.77815125038364
"NM4256","family_Verrucomicrobiaceae",1,0.0166666666666667,1.77815125038364
"NM4256","genus_Akkermansia",1,0.0166666666666667,1.77815125038364
"NM4256","genus_Oscillibacter",1,0.0166666666666667,1.77815125038364
"NM4256","genus_Parabacteroides",1,0.0166666666666667,1.77815125038364
"NM4280","genus_unclassified_Coriobacteriaceae",1,0.0166666666666667,1.77815125038364
"NM4281","class_Betaproteobacteria",-1,0.0166666666666667,1.77815125038364
"NM4281","order_Burkholderiales",-1,0.0166666666666667,1.77815125038364
"NM4281","family_Clostridiaceae.1",1,0.0166666666666667,1.77815125038364
"NM4281","family_Rikenellaceae",1,0.0166666666666667,1.77815125038364
"NM4281","family_Sutterellaceae",-1,0.0166666666666667,1.77815125038364
"NM4281","genus_Alistipes",1,0.0166666666666667,1.77815125038364
"NM4281","genus_Clostridium.sensu.stricto",1,0.0166666666666667,1.77815125038364
"NM4281","genus_Eggerthella",1,0.0166666666666667,1.77815125038364
"NM4281","genus_Odoribacter",1,0.0166666666666667,1.77815125038364
"NM4281","genus_Parasutterella",1,0.0166666666666667,1.77815125038364
"NM4281","genus_Roseburia",-1,0.0166666666666667,1.77815125038364
"NM4287","phylum_Verrucomicrobia",1,0.0166666666666667,1.77815125038364
"NM4287","class_Verrucomicrobiae",1,0.0166666666666667,1.77815125038364
"NM4287","order_Verrucomicrobiales",1,0.0166666666666667,1.77815125038364
"NM4287","family_Verrucomicrobiaceae",1,0.0166666666666667,1.77815125038364
"NM4287","genus_Akkermansia",1,0.0166666666666667,1.77815125038364
"NM4287","genus_Oscillibacter",1,0.0166666666666667,1.77815125038364
"NM4287","genus_Parabacteroides",1,0.0166666666666667,1.77815125038364
"NM4327","family_Porphyromonadaceae",1,0.0166666666666667,1.77815125038364
"NM4327","family_Veillonellaceae",1,0.0166666666666667,1.77815125038364
"NM4327","genus_Butyricimonas",1,0.0166666666666667,1.77815125038364
"NM4327","genus_Veillonella",1,0.0166666666666667,1.77815125038364
"NM4337","class_unclassified_Firmicutes",1,0.0166666666666667,1.77815125038364
