"node","Class","true_name","Degree"
"exposome_genus_Globodera","Exposome (biological)","Globodera","3"
"exposome_genus_Ruminiclostridium","Exposome (biological)","Ruminiclostridium","3"
"NM1145","Exposome (chemical)","4-Nitrotoluene","3"
"PM0834","Exposome (chemical)","Chloral","3"
"PM1048","Exposome (chemical)","Glyphosate","3"
"PM1149","Exposome (chemical)","Aspirin","3"
"PM1527","Exposome (chemical)","Diethyltoluamide","3"
"genus_Barnesiella","Gut microbiome","Barnesiella","12"
"genus_Clostridium.IV","Gut microbiome","Clostridium.IV","12"
"genus_unclassified_Ruminococcaceae","Gut microbiome","unclassified_Ruminococcaceae","12"
