"subnetwork","node","edge","RNA","Protein","Metabolite","Cytokine","Virginal microbiome","Gut microbiome","Clinical"
1,47,124,0,0,0,0,0,0,0
2,34,103,0,0,0,0,0,0,0
3,10,9,0,0,0,0,0,0,0
4,133,908,0,0,0,0,0,0,0
5,48,76,0,0,0,0,0,0,0
6,65,368,0,0,0,0,0,0,0
7,88,392,0,0,0,0,0,0,0
8,64,404,0,0,0,0,0,0,0
9,26,98,0,0,0,0,0,0,0
10,93,1148,0,0,0,0,0,0,0
11,60,641,0,0,0,0,0,0,0
12,70,501,0,0,0,0,0,0,0
14,24,59,0,0,0,0,0,0,0
15,94,270,0,0,0,0,0,0,0
16,54,326,0,0,0,0,0,0,0
18,12,32,0,0,0,0,0,0,0
19,25,127,0,0,0,0,0,0,0
20,13,12,0,0,0,0,0,0,0
21,47,201,0,0,0,0,0,0,0
22,61,330,0,0,0,0,0,0,0
23,23,64,0,0,0,0,0,0,0
24,6,5,0,0,0,0,0,0,0
25,6,5,0,0,0,0,0,0,0
27,87,328,0,0,0,0,0,0,0
28,16,54,0,0,0,0,0,0,0
29,25,114,0,0,0,0,0,0,0
30,66,242,0,0,0,0,0,0,0
31,22,105,0,0,0,0,0,0,0
32,46,168,0,0,0,0,0,0,0
33,11,30,0,0,0,0,0,0,0
34,55,156,0,0,0,0,0,0,0
35,58,216,0,0,0,0,0,0,0
36,10,21,0,0,0,0,0,0,0
37,44,123,0,0,0,0,0,0,0
39,9,14,0,0,0,0,0,0,0
40,64,124,0,0,0,0,0,0,0
